IMPEDANCE MEASUREMENT 
3/16/2023-3:09 PM
Chamber temperature (K): 296.41
Chamber pressure (MPa): -0.88
Description: 	Rcal_1ohm_noFoil
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	2.9692449569702	42.8140716552734
1	825585.9374999999990	2.4939033985138	37.6157417297363
2	681445.3124999999990	2.1835281848907	32.9233818054199
3	562382.8124999999990	1.9756350517273	28.7316913604736
4	464179.6874999999990	1.8308209180832	25.0066471099854
5	383320.3124999999990	1.7278496026993	21.7288951873779
6	316289.0624999999990	1.6271791458130	19.3809986114502
7	261210.9375000000000	1.5972735881805	16.3500423431396
8	215507.8125000000000	1.5442010164261	14.3683624267578
9	178007.8125000000000	1.5122857093811	11.8225946426392
10	146835.9375000000000	1.4887379407883	10.2210655212402
11	121289.0625000000000	1.4716897010803	8.8106431961060
12	100195.3125000000000	1.4556150436401	7.6094627380371
13	82617.1874999999999	1.4443393945694	6.5334014892578
14	68320.3124999999999	1.4354758262634	5.6005206108093
15	56367.1874999999999	1.4281475543976	4.7919721603394
16	46523.4374999999999	1.4223654270172	4.0987176895142
17	38320.3124999999999	1.4223760366440	3.6953759193420
18	31757.8125000000000	1.4139946699142	3.0158829689026
19	26132.8125000000000	1.4147905111313	2.7397000789642
20	21679.6875000000000	1.4114824533463	2.3644106388092
21	17929.6875000000000	1.4088338613510	2.0430967807770
22	14519.8173828125000	1.4062045812607	1.7433234453201
23	12004.5732421875000	1.4034616947174	1.5027779340744
24	9946.6464843750000	1.4017449617386	1.3035384416580
25	8320.3125000000000	1.4001263380051	1.1324793100357
26	6745.4267578125000	1.3988426923752	0.9674799442291
27	5602.1342773437500	1.3977950811386	0.8355357050896
28	4687.5000000000000	1.3968307971954	0.7308616042137
29	3867.1875000000000	1.3960635662079	0.6301169395447
30	3164.0625000000000	1.3953726291656	0.5405153632164
31	2629.5732421875000	1.3948012590408	0.4719264507294
32	2172.2561035156250	1.3942394256592	0.4075733721256
33	1770.8333740234375	1.3938215970993	0.3482422828674
34	1450.8928222656250	1.3935226202011	0.3000145852566
35	1199.1279296875000	1.3931500911713	0.2605326771736
36	1004.4642944335937	1.3929771184921	0.2302380055189
37	827.2058715820312	1.3927246332169	0.2001773566008
38	683.5937500000000	1.3924599885941	0.1701730191708
39	558.0357055664062	1.3922382593155	0.1473701596260
40	468.7500000000000	1.3921548128128	0.1227324977517
41	384.2213134765625	1.3920735120773	0.1053201705217
42	319.6022644042969	1.3920671939850	0.0919458866119
43	260.4166564941406	1.3920322656631	0.0794782266021
44	216.3461608886719	1.3920475244522	0.0631177574396
45	178.0063323974609	1.3919376134872	0.0535327345133
46	146.4843750000000	1.3919571638107	0.0469344332814
47	121.2284469604492	1.3918575048447	0.0419552586973
48	99.7340393066406	1.3920248746872	0.0348482169211
49	82.2368392944336	1.3919053077698	0.0258022751659
50	67.9347839355469	1.3920756578445	0.0237165968865
51	55.8035697937012	1.3921031951904	0.0198803301901
52	46.8750000000000	1.3921662569046	0.0169480722398
53	38.1097564697266	1.3921890258789	0.0132291913033
54	31.8877544403076	1.3922553062439	0.0125601952896
55	26.0416660308838	1.3923708200455	0.0085556153208
56	21.3068180084229	1.3924481868744	0.0054723187350
57	17.7556819915771	1.3924469947815	0.0058377343230
58	14.5574531555176	1.3925571441650	0.0057065514848
59	12.1124029159546	1.3926460742950	0.0046768607572
60	9.9101476669312	1.3927335739136	0.0038138565142
