IMPEDANCE MEASUREMENT 
3/16/2023-9:34 AM
Chamber temperature (K): 296.29
Chamber pressure (MPa): 0.02
Description: 	Rcal_1ohm_noNut
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	4.5787558555603	53.0544204711914
1	841523.4374999999990	3.7902059555054	52.4144210815430
2	708164.0624999999990	3.2436754703522	50.1333084106445
3	595664.0624999999990	2.8506402969360	48.3576850891113
4	501210.9374999999990	2.5184316635132	45.9555435180664
5	421757.8124999999990	2.2526159286499	43.1138572692871
6	354960.9374999999990	2.0414416790009	39.7863273620605
7	298710.9374999999990	1.8884744644165	36.2807159423828
8	251367.1875000000000	1.7573566436768	32.7634010314941
9	211523.4375000000000	1.6621649265289	29.3165378570557
10	178007.8125000000000	1.5836274623871	26.1483058929443
11	149648.4375000000000	1.5238956212997	22.7864513397217
12	125976.5625000000000	1.4795162677765	19.7045402526855
13	106054.6875000000000	1.4414798021317	17.0982742309570
14	89179.6874999999999	1.4108353853226	15.0414552688599
15	75117.1874999999999	1.3894057273865	13.1836156845093
16	63164.0624999999999	1.3823606967926	10.7850112915039
17	53320.3124999999999	1.3653504848480	9.3825473785400
18	44882.8124999999999	1.3594393730164	8.1396903991699
19	37617.1874999999999	1.3425602912903	7.2713680267334
20	31757.8125000000000	1.3683632612228	5.5057935714722
21	26835.9375000000000	1.3334144353867	4.8031311035156
22	22617.1875000000000	1.3362429141998	4.1577658653259
23	18867.1875000000000	1.3191255331039	4.1662902832031
24	15663.1093750000000	1.3315126895905	3.2236425876617
25	13476.5625000000000	1.3307849168777	2.8629002571106
26	11089.9394531250000	1.3244078159332	2.3887541294098
27	9492.1875000000000	1.3290146589279	1.9469586610794
28	7888.7197265625000	1.3238148689270	1.6616711616516
29	6745.4267578125000	1.3213922977448	1.4199439287186
30	5602.1342773437500	1.3111509084702	1.4196667671204
31	4687.5000000000000	1.3186701536179	1.0514979362488
32	4001.5244140625000	1.3192713260651	0.9296746253967
33	3315.5488281250000	1.3179588317871	0.7506227493286
34	2790.1784667968750	1.3185878992081	0.5906243324280
35	2343.7500000000000	1.3178956508636	0.4905268847942
36	1979.1666259765625	1.3161431550980	0.4350305199623
37	1674.1071777343750	1.3178633451462	0.3259805440903
38	1417.1511230468750	1.3188515901566	0.2281916737556
39	1199.1279296875000	1.3185873031616	0.2034333199263
40	1004.4642944335937	1.3177324533463	0.0444176271558
