IMPEDANCE MEASUREMENT 
3/16/2023-4:40 PM
Chamber temperature (K): 296.34
Chamber pressure (MPa): -0.77
Description: 	Rcal_1ohm_tightFoil
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	2.9215519428253	47.5327568054199
1	825585.9374999999990	2.5313067436218	43.4234428405762
2	681445.3124999999990	2.2487640380859	39.3150978088379
3	562382.8124999999990	2.0418124198914	35.3181343078613
4	464179.6874999999990	1.8871710300446	31.4505596160889
5	383320.3124999999990	1.7703192234039	27.8211479187012
6	316289.0624999999990	1.6820554733276	24.4346237182617
7	261210.9375000000000	1.6075439453125	21.6579971313477
8	215507.8125000000000	1.5575500726700	18.8020420074463
9	178007.8125000000000	1.5158820152283	15.6856079101562
10	146835.9375000000000	1.4840862751007	13.6146850585937
11	121289.0625000000000	1.4579873085022	11.8017139434814
12	100195.3125000000000	1.4380059242249	10.1455736160278
13	82617.1874999999999	1.4226230382919	8.7109498977661
14	68320.3124999999999	1.4106466770172	7.4803261756897
15	56367.1874999999999	1.4003288745880	6.4021677970886
16	46523.4374999999999	1.3918277025223	5.4836397171021
17	38320.3124999999999	1.3850785493851	4.6802191734314
18	31757.8125000000000	1.3847267627716	4.1869988441467
19	26132.8125000000000	1.3795870542526	3.5927569866180
20	21679.6875000000000	1.3756006956100	3.0982308387756
21	17929.6875000000000	1.3719757795334	2.6725609302521
22	14519.8173828125000	1.3686567544937	2.2634372711182
23	12004.5732421875000	1.3659739494324	1.9479199647903
24	9946.6464843750000	1.3636490106583	1.6866486072540
25	8320.3125000000000	1.3620023727417	1.4653501510620
26	6745.4267578125000	1.3601173162460	1.2361738681793
27	5602.1342773437500	1.3588032722473	1.0681189298630
28	4687.5000000000000	1.3576877117157	0.9338332414627
29	3867.1875000000000	1.3565633296967	0.7996362447739
30	3164.0625000000000	1.3557063341141	0.6803596615791
31	2629.5732421875000	1.3549321889877	0.5917711257935
32	2172.2561035156250	1.3543573617935	0.5078262090683
33	1770.8333740234375	1.3538086414337	0.4328353703022
34	1450.8928222656250	1.3533748388290	0.3675895035267
35	1199.1279296875000	1.3529652357101	0.3166086077690
36	1004.4642944335937	1.3526461124420	0.2744570672512
37	827.2058715820312	1.3523775339127	0.2343501001596
38	683.5937500000000	1.3520610332489	0.2034175693989
39	558.0357055664062	1.3518894910812	0.1724352389574
40	468.7500000000000	1.3517658710480	0.1475137323141
41	384.2213134765625	1.3515495061874	0.1290391981602
42	319.6022644042969	1.3514288663864	0.1093031242490
43	260.4166564941406	1.3514202833176	0.0880210772157
44	216.3461608886719	1.3514019250870	0.0789584815502
45	178.0063323974609	1.3512595891953	0.0645050033927
46	146.4843750000000	1.3512445688248	0.0542935281992
47	121.2284469604492	1.3512514829636	0.0435061976314
48	99.7340393066406	1.3510923385620	0.0412413850427
49	82.2368392944336	1.3511723279953	0.0342500768602
50	67.9347839355469	1.3511679172516	0.0247308127582
51	55.8035697937012	1.3512222766876	0.0242599416524
52	46.8750000000000	1.3513464927673	0.0189200006425
53	38.1097564697266	1.3512181043625	0.0168796274811
54	31.8877544403076	1.3515709638596	0.0129261221737
55	26.0416660308838	1.3512487411499	0.0121947741136
56	21.3068180084229	1.3513602018356	0.0086680334061
57	17.7556819915771	1.3514212369919	0.0074724256992
58	14.5574531555176	1.3514469861984	0.0084268907085
59	12.1124029159546	1.3514181375504	0.0053503345698
60	9.9101476669312	1.3514641523361	0.0069138440304
