IMPEDANCE MEASUREMENT 
3/16/2023-3:20 PM
Chamber temperature (K): 296.43
Chamber pressure (MPa): -0.66
Description: 	Rcal_1ohm_tightFoil_noGround
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	3.3341095447540	49.2018203735352
1	825585.9374999999990	2.7824468612671	44.8426856994629
2	681445.3124999999990	2.4054069519043	40.5460777282715
3	562382.8124999999990	2.1413018703461	36.3457145690918
4	464179.6874999999990	1.9513238668442	32.3258323669434
5	383320.3124999999990	1.8126330375671	28.5713195800781
6	316289.0624999999990	1.7095524072647	25.0855884552002
7	261210.9375000000000	1.6174247264862	22.3329486846924
8	215507.8125000000000	1.5738891363144	19.0625247955322
9	178007.8125000000000	1.5185034275055	16.1391658782959
10	146835.9375000000000	1.4861156940460	13.9887752532959
11	121289.0625000000000	1.4598715305328	12.0735454559326
12	100195.3125000000000	1.4388972520828	10.4046773910522
13	82617.1874999999999	1.4227412939072	8.9121513366699
14	68320.3124999999999	1.4103899002075	7.6426138877869
15	56367.1874999999999	1.4005477428436	6.5295276641846
16	46523.4374999999999	1.3914667367935	5.5763616561890
17	38320.3124999999999	1.3849139213562	4.7714881896973
18	31757.8125000000000	1.3842155933380	4.2662777900696
19	26132.8125000000000	1.3791234493256	3.6555671691895
20	21679.6875000000000	1.3750603199005	3.1533546447754
21	17929.6875000000000	1.3715041875839	2.7136559486389
22	14519.8173828125000	1.3680415153503	2.2985947132111
23	12004.5732421875000	1.3654725551605	1.9776071310043
24	9946.6464843750000	1.3632144927979	1.7106697559357
25	8320.3125000000000	1.3613708019257	1.4876592159271
26	6745.4267578125000	1.3596318960190	1.2495464086533
27	5602.1342773437500	1.3582192659378	1.0905809402466
28	4687.5000000000000	1.3571022748947	0.9388175606728
29	3867.1875000000000	1.3560492992401	0.8064934015274
30	3164.0625000000000	1.3551750183105	0.6896666288376
31	2629.5732421875000	1.3545081615448	0.5971809029579
32	2172.2561035156250	1.3538053035736	0.5119691491127
33	1770.8333740234375	1.3532959222794	0.4373625814915
34	1450.8928222656250	1.3528150320053	0.3740522861481
35	1199.1279296875000	1.3524036407471	0.3231355249882
36	1004.4642944335937	1.3519792556763	0.2811523675919
37	827.2058715820312	1.3518218994141	0.2340328395367
38	683.5937500000000	1.3515392541885	0.2054865807295
39	558.0357055664062	1.3513977527618	0.1765555292368
40	468.7500000000000	1.3512244224548	0.1538812518120
41	384.2213134765625	1.3510665893555	0.1311701834202
42	319.6022644042969	1.3510439395905	0.1104769334197
43	260.4166564941406	1.3508870601654	0.0891749709845
44	216.3461608886719	1.3508366346359	0.0761324837804
45	178.0063323974609	1.3507232666016	0.0674368590117
46	146.4843750000000	1.3508024215698	0.0534194111824
47	121.2284469604492	1.3507817983627	0.0482406653464
48	99.7340393066406	1.3507239818573	0.0402358770370
49	82.2368392944336	1.3507542610168	0.0349152274430
50	67.9347839355469	1.3508150577545	0.0279227364808
51	55.8035697937012	1.3507645130157	0.0258133132011
52	46.8750000000000	1.3508436679840	0.0203406121582
53	38.1097564697266	1.3508870601654	0.0173334050924
54	31.8877544403076	1.3509308099747	0.0161721799523
55	26.0416660308838	1.3509744405746	0.0096217533574
56	21.3068180084229	1.3509522676468	0.0106936469674
57	17.7556819915771	1.3510068655014	0.0083862012252
58	14.5574531555176	1.3510760068893	0.0053198551759
59	12.1124029159546	1.3510667085648	0.0041075162590
60	9.9101476669312	1.3511443138123	0.0042449887842
