IMPEDANCE MEASUREMENT 
3/17/2023-4:50 PM
Chamber temperature (K): 296.67
Chamber pressure (MPa): -0.29
Description: 	Rcal_1000ohm_chamber
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	989.7004394531250	-8.4081258773804
1	825585.9374999999990	993.0582885742187	-4.6339750289917
2	681445.3124999999990	990.4276123046875	-3.9089400768280
3	562382.8124999999990	989.6995239257812	-3.4202046394348
4	464179.6874999999990	989.9821777343750	-2.8588471412659
5	383320.3124999999990	988.8938598632812	-2.3966572284698
6	316289.0624999999990	987.1570434570312	-1.7948760986328
7	261210.9375000000000	1035.6384277343750	5.0585799217224
8	215507.8125000000000	1024.7333984375000	4.3908166885376
9	178007.8125000000000	1013.0004272460937	3.7760789394379
10	146835.9375000000000	1004.5183105468750	3.2372725009918
11	121289.0625000000000	1000.5755615234375	2.7896823883057
12	100195.3125000000000	995.6901245117187	2.4417207241058
13	82617.1874999999999	993.4154663085937	2.0383720397949
14	68320.3124999999999	991.6541137695312	1.6947818994522
15	56367.1874999999999	990.1533203125000	1.3766760826111
16	46523.4374999999999	989.5662841796875	1.1317187547684
17	38320.3124999999999	989.0934448242187	0.9380900263786
18	31757.8125000000000	988.5931396484375	0.8024187684059
19	26132.8125000000000	988.1186523437500	0.6460530757904
20	21679.6875000000000	988.6295776367187	0.5499956011772
21	17929.6875000000000	988.1920776367187	0.4797071218491
22	14519.8173828125000	987.7210693359375	0.3833434581757
23	12004.5732421875000	988.0178222656250	0.3356921374798
24	9946.6464843750000	988.0336303710937	0.2748283445835
25	8320.3125000000000	987.0375366210937	0.2118933647871
26	6745.4267578125000	987.5817260742187	0.1610843837261
27	5602.1342773437500	987.4141845703125	0.1462698131800
28	4687.5000000000000	987.3441772460937	0.1324477940798
29	3867.1875000000000	987.2758789062500	0.1105474233627
30	3164.0625000000000	987.2847900390625	0.0895409509540
31	2629.5732421875000	987.1777343750000	0.0787160992622
32	2172.2561035156250	987.3569946289062	0.0616554394364
33	1770.8333740234375	987.2053833007812	0.0495326854289
34	1450.8928222656250	987.2684326171875	0.0421262793243
35	1199.1279296875000	987.1964111328125	0.0410390570760
36	1004.4642944335937	987.1984252929687	0.0384545400739
37	827.2058715820312	987.2518920898437	0.0378452911973
38	683.5937500000000	987.1253051757812	0.0345918610692
39	558.0357055664062	987.0257568359375	0.0157275963575
40	468.7500000000000	984.6713256835937	-0.0753897204995
41	384.2213134765625	985.7884521484375	-0.0476261824369
42	319.6022644042969	986.1673583984375	-0.0262222662568
43	260.4166564941406	986.6287841796875	-0.0172684080899
44	216.3461608886719	986.6596069335937	-0.0161082092673
45	178.0063323974609	986.8898315429687	-0.0162807814777
46	146.4843750000000	986.8955078125000	-0.0097426874563
47	121.2284469604492	987.1572875976562	-0.0169142484665
48	99.7340393066406	987.0461425781250	-0.0073258080520
49	82.2368392944336	987.0518188476562	-0.0027935632970
50	67.9347839355469	986.9789428710937	-0.0143252415583
51	55.8035697937012	986.9757690429687	-0.0053539332002
52	46.8750000000000	987.4699707031250	0.0037936386652
53	38.1097564697266	987.1446533203125	-0.0068622366525
54	31.8877544403076	986.9979248046875	-0.0191631149501
55	26.0416660308838	987.1923828125000	0.0275256354362
56	21.3068180084229	987.0469360351562	-0.0029842138756
57	17.7556819915771	987.1628417968750	0.0014903827105
58	14.5574531555176	987.1328735351562	-0.0001912766456
59	12.1124029159546	987.0740966796875	0.0028897712473
60	9.9101476669312	987.1773071289062	0.0040173637681
