IMPEDANCE MEASUREMENT 
3/17/2023-4:35 PM
Chamber temperature (K): 296.56
Chamber pressure (MPa): -0.30
Description: 	Rcal_100ohm_chamber
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	100.9091415405273	-0.4347494244576
1	825585.9374999999990	103.1021041870117	1.1712950468063
2	681445.3124999999990	101.6233520507812	1.0806224346161
3	562382.8124999999990	100.7510452270508	0.9655960202217
4	464179.6874999999990	100.2598190307617	0.9378043413162
5	383320.3124999999990	99.6194381713867	0.8792455196381
6	316289.0624999999990	99.2560119628906	0.7368087172508
7	261210.9375000000000	98.9214630126953	0.6472547650337
8	215507.8125000000000	98.6771621704102	0.5427329540253
9	178007.8125000000000	98.5437850952148	0.4336242079735
10	146835.9375000000000	98.5059509277344	0.3436644077301
11	121289.0625000000000	98.4321289062500	0.2773463129997
12	100195.3125000000000	98.5745544433594	0.3652080595493
13	82617.1874999999999	98.5683822631836	0.2899994850159
14	68320.3124999999999	98.5443344116211	0.2425049245358
15	56367.1874999999999	98.5189590454102	0.1913109868765
16	46523.4374999999999	98.5107574462891	0.1666396558285
17	38320.3124999999999	98.5193252563477	0.1325327605009
18	31757.8125000000000	98.5015029907227	0.1161666288972
19	26132.8125000000000	98.4967956542969	0.0955917611718
20	21679.6875000000000	98.4936141967773	0.0975394472480
21	17929.6875000000000	98.4798278808594	0.0750820636749
22	14519.8173828125000	98.4770355224609	0.0807959511876
23	12004.5732421875000	98.4646759033203	0.0691602751613
24	9946.6464843750000	98.4696655273437	0.0640559047461
25	8320.3125000000000	98.4532852172852	0.0482558980584
26	6745.4267578125000	98.4658432006836	0.0545239113271
27	5602.1342773437500	98.4705123901367	0.0407011508942
28	4687.5000000000000	98.4307327270508	0.0289454106241
29	3867.1875000000000	98.4376449584961	0.0285604260862
30	3164.0625000000000	98.4301528930664	0.0238221436739
31	2629.5732421875000	98.4275512695312	0.0199431553483
32	2172.2561035156250	98.4295349121094	0.0181604046375
33	1770.8333740234375	98.4271621704102	0.0131526468322
34	1450.8928222656250	98.4286499023437	0.0128210783005
35	1199.1279296875000	98.4289474487305	0.0114287789911
36	1004.4642944335937	98.4216003417969	0.0152640808374
37	827.2058715820312	98.4220352172852	0.0135900136083
38	683.5937500000000	98.4221267700195	0.0136307226494
39	558.0357055664062	98.4132766723633	0.0069112787023
40	468.7500000000000	98.2651596069336	-0.0546374246478
41	384.2213134765625	98.3337707519531	-0.0321724973619
42	319.6022644042969	98.3520965576172	-0.0231172963977
43	260.4166564941406	98.3749618530273	-0.0175797864795
44	216.3461608886719	98.3946075439453	-0.0100647713989
45	178.0063323974609	98.4012832641602	-0.0152526851743
46	146.4843750000000	98.4053573608398	-0.0064614457078
47	121.2284469604492	98.4151763916016	-0.0044344807975
48	99.7340393066406	98.4171600341797	-0.0012198416516
49	82.2368392944336	98.4253387451172	-0.0123839806765
50	67.9347839355469	98.4266815185547	-0.0114105138928
51	55.8035697937012	98.4187240600586	-0.0072624133900
52	46.8750000000000	98.4186248779297	-0.0012431361247
53	38.1097564697266	98.4115524291992	-0.0050992844626
54	31.8877544403076	98.4247970581055	-0.0151247745380
55	26.0416660308838	98.4167175292969	-0.0128815835342
56	21.3068180084229	98.4233398437500	-0.0066993767396
57	17.7556819915771	98.4154510498047	-0.0016481431667
58	14.5574531555176	98.4186325073242	0.0022029848769
59	12.1124029159546	98.4246902465820	-0.0000929708258
60	9.9101476669312	98.4245758056641	-0.0015425152378
