IMPEDANCE MEASUREMENT 
3/17/2023-4:18 PM
Chamber temperature (K): 296.75
Chamber pressure (MPa): -0.37
Description: 	Rcal_100ohm_noFoil
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	99.4288635253906	0.5810885429382
1	825585.9374999999990	100.8345565795898	2.0282967090607
2	681445.3124999999990	100.0578918457031	1.7591866254807
3	562382.8124999999990	99.5824050903320	1.4686009883881
4	464179.6874999999990	99.2789764404297	1.2421762943268
5	383320.3124999999990	98.9970092773437	1.0734829902649
6	316289.0624999999990	98.7275466918945	0.8948752284050
7	261210.9375000000000	98.5847320556641	0.7480645775795
8	215507.8125000000000	98.4579849243164	0.6115570068359
9	178007.8125000000000	98.4280853271484	0.5066617131233
10	146835.9375000000000	98.3513183593750	0.4294360876083
11	121289.0625000000000	98.3155212402344	0.3607284426689
12	100195.3125000000000	98.3537979125977	0.3369787633419
13	82617.1874999999999	98.3553771972656	0.2676370441914
14	68320.3124999999999	98.3320312500000	0.2175535112619
15	56367.1874999999999	98.3247146606445	0.1742246598005
16	46523.4374999999999	98.3187255859375	0.1421094387770
17	38320.3124999999999	98.3120040893555	0.1136251986027
18	31757.8125000000000	98.3209152221680	0.0856249630451
19	26132.8125000000000	98.3235702514648	0.0749679356813
20	21679.6875000000000	98.3299255371094	0.0497618876398
21	17929.6875000000000	98.3320236206055	0.0463841743767
22	14519.8173828125000	98.3355255126953	0.0348991863430
23	12004.5732421875000	98.3433074951172	0.0324357375503
24	9946.6464843750000	98.3391418457031	0.0312603004277
25	8320.3125000000000	98.3272247314453	0.0231399852782
26	6745.4267578125000	98.3403091430664	0.0148079590872
27	5602.1342773437500	98.3392868041992	0.0121217686683
28	4687.5000000000000	98.3323059082031	0.0106173036620
29	3867.1875000000000	98.3330154418945	0.0104867294431
30	3164.0625000000000	98.3405609130859	0.0090442327783
31	2629.5732421875000	98.3342742919922	0.0104408655316
32	2172.2561035156250	98.3311309814453	0.0065338755958
33	1770.8333740234375	98.3335266113281	0.0078803896904
34	1450.8928222656250	98.3271102905273	0.0084013091400
35	1199.1279296875000	98.3329010009766	0.0068954550661
36	1004.4642944335937	98.3318634033203	0.0087726097554
37	827.2058715820312	98.3288650512695	0.0069333384745
38	683.5937500000000	98.3256225585937	0.0048526185565
39	558.0357055664062	98.3193283081055	0.0033789612353
40	468.7500000000000	98.2408065795898	-0.0345991998911
41	384.2213134765625	98.2692184448242	-0.0251520015299
42	319.6022644042969	98.2983551025391	-0.0175120569766
43	260.4166564941406	98.3066101074219	-0.0127364341170
44	216.3461608886719	98.3191528320312	-0.0102349305525
45	178.0063323974609	98.3102111816406	-0.0109883006662
46	146.4843750000000	98.3204040527344	-0.0064052348025
47	121.2284469604492	98.3282012939453	-0.0033831337932
48	99.7340393066406	98.3238601684570	-0.0067802923732
49	82.2368392944336	98.3263626098633	-0.0030270426068
50	67.9347839355469	98.3305435180664	-0.0055852350779
51	55.8035697937012	98.3210906982422	-0.0014305637451
52	46.8750000000000	98.3244323730469	-0.0034951502457
53	38.1097564697266	98.3310852050781	-0.0032115213107
54	31.8877544403076	98.3270416259766	-0.0029897997156
55	26.0416660308838	98.3277359008789	-0.0020826035179
56	21.3068180084229	98.3275070190430	-0.0013183653355
57	17.7556819915771	98.3269195556641	-0.0020330732223
58	14.5574531555176	98.3278656005859	-0.0003747033479
59	12.1124029159546	98.3306045532227	-0.0002017488732
60	9.9101476669312	98.3272781372070	-0.0010738745332
