IMPEDANCE MEASUREMENT 
3/17/2023-3:34 PM
Chamber temperature (K): 296.47
Chamber pressure (MPa): -0.25
Description: 	Rcal_10ohm_chamber_looseFit
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	11.6985292434692	18.2462615966797
1	825585.9374999999990	11.3378534317017	15.2742862701416
2	681445.3124999999990	11.0886220932007	12.8078088760376
3	562382.8124999999990	10.9121894836426	10.7504034042358
4	464179.6874999999990	10.7870159149170	9.0613842010498
5	383320.3124999999990	10.7023000717163	7.5728883743286
6	316289.0624999999990	10.6408433914185	6.3752803802490
7	261210.9375000000000	10.5868110656738	5.3705430030823
8	215507.8125000000000	10.5478296279907	4.4429965019226
9	178007.8125000000000	10.5172042846680	3.7193210124969
10	146835.9375000000000	10.4851665496826	3.1934704780579
11	121289.0625000000000	10.4696235656738	2.6574883460999
12	100195.3125000000000	10.4527349472046	2.2905547618866
13	82617.1874999999999	10.4410572052002	1.9271073341370
14	68320.3124999999999	10.4294128417969	1.6125473976135
15	56367.1874999999999	10.4209232330322	1.3413311243057
16	46523.4374999999999	10.4152402877808	1.1239175796509
17	38320.3124999999999	10.4100551605225	0.9252313375473
18	31757.8125000000000	10.4080457687378	0.7747968435287
19	26132.8125000000000	10.4056529998779	0.6328166723251
20	21679.6875000000000	10.4032707214355	0.5235708951950
21	17929.6875000000000	10.4030284881592	0.4420148432255
22	14519.8173828125000	10.4021100997925	0.3566750884056
23	12004.5732421875000	10.4010334014893	0.2899305820465
24	9946.6464843750000	10.4016933441162	0.2446743845940
25	8320.3125000000000	10.4023380279541	0.2087775021791
26	6745.4267578125000	10.4013509750366	0.1601852327585
27	5602.1342773437500	10.3997058868408	0.1453232467175
28	4687.5000000000000	10.4010419845581	0.1179002597928
29	3867.1875000000000	10.4004716873169	0.0996772572398
30	3164.0625000000000	10.3999052047729	0.0899330079556
31	2629.5732421875000	10.3995199203491	0.0731582418084
32	2172.2561035156250	10.3991069793701	0.0640787258744
33	1770.8333740234375	10.3989696502686	0.0546519793570
34	1450.8928222656250	10.3982563018799	0.0456340089440
35	1199.1279296875000	10.3983478546143	0.0364494957030
36	1004.4642944335937	10.3987751007080	0.0348278209567
37	827.2058715820312	10.3973484039307	0.0331285037100
38	683.5937500000000	10.3975620269775	0.0274039264768
39	558.0357055664062	10.3970985412598	0.0214118380100
40	468.7500000000000	10.3961505889893	0.0156075479463
41	384.2213134765625	10.3967962265015	0.0113658392802
42	319.6022644042969	10.3957967758179	0.0092923045158
43	260.4166564941406	10.3959512710571	0.0094881681725
44	216.3461608886719	10.3962202072144	0.0074196793139
45	178.0063323974609	10.3965816497803	0.0035966534633
46	146.4843750000000	10.3959169387817	0.0032623161096
47	121.2284469604492	10.3963251113892	0.0072388378903
48	99.7340393066406	10.3961162567139	0.0035657736007
49	82.2368392944336	10.3956203460693	0.0048925643787
50	67.9347839355469	10.3957538604736	0.0022469337564
51	55.8035697937012	10.3959884643555	-0.0010075112805
52	46.8750000000000	10.3960962295532	-0.0010741956066
53	38.1097564697266	10.3958234786987	0.0004043275549
54	31.8877544403076	10.3961496353149	0.0018528773217
55	26.0416660308838	10.3960123062134	0.0000413490343
56	21.3068180084229	10.3958091735840	0.0013870850671
57	17.7556819915771	10.3958158493042	-0.0001029070700
58	14.5574531555176	10.3962764739990	0.0014510583133
59	12.1124029159546	10.3957262039185	0.0001772904070
60	9.9101476669312	10.3961572647095	0.0014782974031
