IMPEDANCE MEASUREMENT 
3/17/2023-3:34 PM
Chamber temperature (K): 296.46
Chamber pressure (MPa): -0.14
Description: 	Rcal_10ohm_chamber_looseFit
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	11.6888685226440	18.2352638244629
1	825585.9374999999990	11.3364772796631	15.2556734085083
2	681445.3124999999990	11.0891323089600	12.8457250595093
3	562382.8124999999990	10.9173793792725	10.6984148025513
4	464179.6874999999990	10.7861785888672	8.9997587203979
5	383320.3124999999990	10.6989984512329	7.5640902519226
6	316289.0624999999990	10.6321535110474	6.3458786010742
7	261210.9375000000000	10.5848369598389	5.3655633926392
8	215507.8125000000000	10.5553159713745	4.4845666885376
9	178007.8125000000000	10.5021867752075	3.8254430294037
10	146835.9375000000000	10.4958992004395	3.1798086166382
11	121289.0625000000000	10.4749889373779	2.6419520378113
12	100195.3125000000000	10.4527015686035	2.2997009754181
13	82617.1874999999999	10.4411964416504	1.9257420301437
14	68320.3124999999999	10.4294977188110	1.6148511171341
15	56367.1874999999999	10.4209814071655	1.3499219417572
16	46523.4374999999999	10.4146413803101	1.1222555637360
17	38320.3124999999999	10.4100847244263	0.9306533336639
18	31757.8125000000000	10.4077386856079	0.7716366052628
19	26132.8125000000000	10.4051256179810	0.6335951685905
20	21679.6875000000000	10.4040565490723	0.5246617197990
21	17929.6875000000000	10.4035568237305	0.4325625896454
22	14519.8173828125000	10.4021921157837	0.3573969900608
23	12004.5732421875000	10.4036693572998	0.2973524332047
24	9946.6464843750000	10.4010992050171	0.2379918396473
25	8320.3125000000000	10.4006328582764	0.2137904763222
26	6745.4267578125000	10.4022922515869	0.1645558476448
27	5602.1342773437500	10.4009437561035	0.1476611047983
28	4687.5000000000000	10.4001064300537	0.1236136481166
29	3867.1875000000000	10.3996725082397	0.1040116399527
30	3164.0625000000000	10.3998241424561	0.0837567895651
31	2629.5732421875000	10.3994941711426	0.0743181183934
32	2172.2561035156250	10.3994989395142	0.0635952726007
33	1770.8333740234375	10.3990964889526	0.0554166883230
34	1450.8928222656250	10.3987216949463	0.0435523167253
35	1199.1279296875000	10.3982686996460	0.0412267781794
36	1004.4642944335937	10.3977870941162	0.0381018780172
37	827.2058715820312	10.3969297409058	0.0325860641897
38	683.5937500000000	10.3974504470825	0.0281218476593
39	558.0357055664062	10.3961734771729	0.0197068080306
40	468.7500000000000	10.3959798812866	0.0143927782774
41	384.2213134765625	10.3963441848755	0.0097510069609
42	319.6022644042969	10.3963899612427	0.0121503081173
43	260.4166564941406	10.3960857391357	0.0058576026931
44	216.3461608886719	10.3961906433105	0.0064562251791
45	178.0063323974609	10.3960990905762	0.0057703610510
46	146.4843750000000	10.3969230651855	0.0058782710694
47	121.2284469604492	10.3962030410767	-0.0007631829940
48	99.7340393066406	10.3960990905762	0.0039770416915
49	82.2368392944336	10.3956260681152	0.0001171766271
50	67.9347839355469	10.3956823348999	0.0032715934794
51	55.8035697937012	10.3964223861694	0.0039039573167
52	46.8750000000000	10.3968105316162	0.0017873385223
53	38.1097564697266	10.3960285186768	-0.0000403903832
54	31.8877544403076	10.3964586257935	0.0036124847829
55	26.0416660308838	10.3957538604736	-0.0002625593916
56	21.3068180084229	10.3961639404297	-0.0002477064554
57	17.7556819915771	10.3961982727051	0.0003244476975
58	14.5574531555176	10.3961658477783	0.0010340433801
59	12.1124029159546	10.3963479995728	-0.0010374283884
60	9.9101476669312	10.3960285186768	0.0008327097166
