IMPEDANCE MEASUREMENT 
3/17/2023-3:11 PM
Chamber temperature (K): 296.47
Chamber pressure (MPa): -0.77
Description: 	Rcal_10ohm_foil
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	11.1404628753662	8.0332317352295
1	825585.9374999999990	10.9432325363159	6.6256346702576
2	681445.3124999999990	10.8074970245361	5.5224251747131
3	562382.8124999999990	10.7106418609619	4.6234049797058
4	464179.6874999999990	10.6414508819580	3.8994996547699
5	383320.3124999999990	10.5884761810303	3.3138866424561
6	316289.0624999999990	10.5474967956543	2.8086426258087
7	261210.9375000000000	10.5143232345581	2.4117980003357
8	215507.8125000000000	10.4892606735229	2.0440297126770
9	178007.8125000000000	10.4700527191162	1.7775404453278
10	146835.9375000000000	10.4521751403809	1.5239591598511
11	121289.0625000000000	10.4369173049927	1.3038029670715
12	100195.3125000000000	10.4189558029175	1.1432778835297
13	82617.1874999999999	10.4097175598145	0.9644696116447
14	68320.3124999999999	10.4005384445190	0.8164191246033
15	56367.1874999999999	10.3917646408081	0.6901558041573
16	46523.4374999999999	10.3872213363647	0.5728875398636
17	38320.3124999999999	10.3837575912476	0.4764318168163
18	31757.8125000000000	10.3808860778809	0.3977263867855
19	26132.8125000000000	10.3784856796265	0.3274415731430
20	21679.6875000000000	10.3779954910278	0.2730703651905
21	17929.6875000000000	10.3771553039551	0.2218642383814
22	14519.8173828125000	10.3770112991333	0.1821131259203
23	12004.5732421875000	10.3764448165894	0.1525330096483
24	9946.6464843750000	10.3760795593262	0.1225484088063
25	8320.3125000000000	10.3770380020142	0.1084399893880
26	6745.4267578125000	10.3763685226440	0.0931102782488
27	5602.1342773437500	10.3754692077637	0.0705203711987
28	4687.5000000000000	10.3753662109375	0.0697173327208
29	3867.1875000000000	10.3748779296875	0.0571725927293
30	3164.0625000000000	10.3749046325684	0.0491301305592
31	2629.5732421875000	10.3745794296265	0.0443528629839
32	2172.2561035156250	10.3741540908813	0.0366411507130
33	1770.8333740234375	10.3738574981689	0.0336314886808
34	1450.8928222656250	10.3738069534302	0.0296574607491
35	1199.1279296875000	10.3732919692993	0.0224177613854
36	1004.4642944335937	10.3723955154419	0.0221556276083
37	827.2058715820312	10.3726129531860	0.0198410879821
38	683.5937500000000	10.3723239898682	0.0205221325159
39	558.0357055664062	10.3715658187866	0.0144516155124
40	468.7500000000000	10.3718290328979	0.0126353837550
41	384.2213134765625	10.3713645935059	0.0110111841932
42	319.6022644042969	10.3711814880371	0.0084057627246
43	260.4166564941406	10.3711061477661	0.0069557912648
44	216.3461608886719	10.3711299896240	0.0076560140587
45	178.0063323974609	10.3719596862793	0.0086552500725
46	146.4843750000000	10.3711109161377	0.0011777279433
47	121.2284469604492	10.3712730407715	0.0030975234695
48	99.7340393066406	10.3709907531738	0.0004750482622
49	82.2368392944336	10.3712558746338	0.0031418849248
50	67.9347839355469	10.3714523315430	0.0007405990618
51	55.8035697937012	10.3714876174927	0.0023919227533
52	46.8750000000000	10.3714313507080	0.0018389782635
53	38.1097564697266	10.3709859848022	0.0004066766705
54	31.8877544403076	10.3711433410645	0.0010710188653
55	26.0416660308838	10.3711900711060	0.0008241476025
56	21.3068180084229	10.3715286254883	0.0019719414413
57	17.7556819915771	10.3710250854492	-0.0012183034560
58	14.5574531555176	10.3711738586426	0.0009153330466
59	12.1124029159546	10.3711109161377	0.0004839962930
60	9.9101476669312	10.3711109161377	-0.0001289408247
