IMPEDANCE MEASUREMENT 
3/17/2023-2:23 PM
Chamber temperature (K): 296.47
Chamber pressure (MPa): -0.51
Description: 	Rcal_1ohm_PV
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	3.4550409317017	54.7739181518555
1	825585.9374999999990	2.9482831954956	51.1339111328125
2	681445.3124999999990	2.5727832317352	47.1362113952637
3	562382.8124999999990	2.2871222496033	43.0357818603516
4	464179.6874999999990	2.0733177661896	38.8643341064453
5	383320.3124999999990	1.9109476804733	34.7688407897949
6	316289.0624999999990	1.7851191759109	30.8059616088867
7	261210.9375000000000	1.6888568401337	27.1043891906738
8	215507.8125000000000	1.6125414371490	23.8308734893799
9	178007.8125000000000	1.5587143898010	20.6803798675537
10	146835.9375000000000	1.5115283727646	17.3964328765869
11	121289.0625000000000	1.4773479700089	14.9962911605835
12	100195.3125000000000	1.4578901529312	13.1327934265137
13	82617.1874999999999	1.4317213296890	10.9825582504272
14	68320.3124999999999	1.4164390563965	9.3677034378052
15	56367.1874999999999	1.4098442792892	8.2022571563721
16	46523.4374999999999	1.3999923467636	6.9834065437317
17	38320.3124999999999	1.3917917013168	5.9585490226746
18	31757.8125000000000	1.3851264715195	5.1008853912354
19	26132.8125000000000	1.3796256780624	4.3398799896240
20	21679.6875000000000	1.3750483989716	3.7171738147736
21	17929.6875000000000	1.3713480234146	3.1795058250427
22	14519.8173828125000	1.3677288293839	2.6734354496002
23	12004.5732421875000	1.3651095628738	2.2896566390991
24	9946.6464843750000	1.3628847599030	1.9586594104767
25	8320.3125000000000	1.3610650300980	1.7040605545044
26	6745.4267578125000	1.3590260744095	1.4332368373871
27	5602.1342773437500	1.3575943708420	1.2286607027054
28	4687.5000000000000	1.3565647602081	1.0590841770172
29	3867.1875000000000	1.3555383682251	0.9108353257179
30	3164.0625000000000	1.3545933961868	0.7710515856743
31	2629.5732421875000	1.3539305925369	0.6669617295265
32	2172.2561035156250	1.3532539606094	0.5697099566460
33	1770.8333740234375	1.3527255058289	0.4862729012966
34	1450.8928222656250	1.3522328138351	0.4105338752270
35	1199.1279296875000	1.3517349958420	0.3554750084877
36	1004.4642944335937	1.3514810800552	0.3054016530514
37	827.2058715820312	1.3512036800385	0.2591655552387
38	683.5937500000000	1.3510375022888	0.2244439423084
39	558.0357055664062	1.3506878614426	0.1916590929031
40	468.7500000000000	1.3504991531372	0.1602192521095
41	384.2213134765625	1.3504637479782	0.1352374553680
42	319.6022644042969	1.3502571582794	0.1180088296533
43	260.4166564941406	1.3500866889954	0.0948570892215
44	216.3461608886719	1.3500959873199	0.0814654976130
45	178.0063323974609	1.3501098155975	0.0693734884262
46	146.4843750000000	1.3500530719757	0.0599959008396
47	121.2284469604492	1.3502862453461	0.0497480407357
48	99.7340393066406	1.3500460386276	0.0443076789379
49	82.2368392944336	1.3500307798386	0.0354889631271
50	67.9347839355469	1.3500642776489	0.0268379990011
51	55.8035697937012	1.3501261472702	0.0253826174885
52	46.8750000000000	1.3501498699188	0.0220314245671
53	38.1097564697266	1.3500863313675	0.0173319298774
54	31.8877544403076	1.3501219749451	0.0137956580147
55	26.0416660308838	1.3501996994019	0.0100195538253
56	21.3068180084229	1.3502695560455	0.0114647494629
57	17.7556819915771	1.3502068519592	0.0061485874467
58	14.5574531555176	1.3502267599106	0.0074285473675
59	12.1124029159546	1.3502511978149	0.0065441541374
60	9.9101476669312	1.3503012657166	0.0056889108382
