IMPEDANCE MEASUREMENT 
3/17/2023-2:18 PM
Chamber temperature (K): 296.47
Chamber pressure (MPa): -0.55
Description: 	Rcal_1ohm_PV_looseFit
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	3.4046826362610	54.2945175170898
1	825585.9374999999990	2.9072329998016	50.6794052124023
2	681445.3124999999990	2.5386922359467	46.8079795837402
3	562382.8124999999990	2.2613809108734	42.7094497680664
4	464179.6874999999990	2.0479936599731	38.5568466186523
5	383320.3124999999990	1.8902418613434	34.4828453063965
6	316289.0624999999990	1.7662386894226	30.5563297271729
7	261210.9375000000000	1.6721614599228	26.8983974456787
8	215507.8125000000000	1.5942409038544	23.5435581207275
9	178007.8125000000000	1.5427874326706	20.4916286468506
10	146835.9375000000000	1.4966588020325	17.2677593231201
11	121289.0625000000000	1.4628701210022	14.8965902328491
12	100195.3125000000000	1.4386593103409	12.7627382278442
13	82617.1874999999999	1.4187966585159	10.9012813568115
14	68320.3124999999999	1.4097841978073	9.5287857055664
15	56367.1874999999999	1.3973213434219	8.1429986953735
16	46523.4374999999999	1.3876842260361	6.9359426498413
17	38320.3124999999999	1.3796080350876	5.9306392669678
18	31757.8125000000000	1.3729447126389	5.0697598457336
19	26132.8125000000000	1.3674972057343	4.3187470436096
20	21679.6875000000000	1.3632094860077	3.7001788616180
21	17929.6875000000000	1.3594053983688	3.1705157756805
22	14519.8173828125000	1.3559372425079	2.6624894142151
23	12004.5732421875000	1.3530445098877	2.2889122962952
24	9946.6464843750000	1.3508210182190	1.9563790559769
25	8320.3125000000000	1.3489221334457	1.6945549249649
26	6745.4267578125000	1.3474384546280	1.4240056276321
27	5602.1342773437500	1.3458896875381	1.2267773151398
28	4687.5000000000000	1.3448078632355	1.0563814640045
29	3867.1875000000000	1.3438223600388	0.9071703553200
30	3164.0625000000000	1.3429456949234	0.7731478810310
31	2629.5732421875000	1.3422054052353	0.6651508808136
32	2172.2561035156250	1.3416266441345	0.5704206824303
33	1770.8333740234375	1.3410234451294	0.4845972359180
34	1450.8928222656250	1.3404964208603	0.4113399982452
35	1199.1279296875000	1.3401415348053	0.3475695252419
36	1004.4642944335937	1.3399499654770	0.3066814839840
37	827.2058715820312	1.3396025896072	0.2606024444103
38	683.5937500000000	1.3393107652664	0.2198551893234
39	558.0357055664062	1.3390918970108	0.1927251368761
40	468.7500000000000	1.3389401435852	0.1609079986811
41	384.2213134765625	1.3387318849564	0.1375385820866
42	319.6022644042969	1.3387008905411	0.1166673377156
43	260.4166564941406	1.3385622501373	0.0940166562796
44	216.3461608886719	1.3384077548981	0.0814921334386
45	178.0063323974609	1.3385769128799	0.0749859586358
46	146.4843750000000	1.3385243415833	0.0583638213575
47	121.2284469604492	1.3384546041489	0.0429567657411
48	99.7340393066406	1.3384809494019	0.0425516702235
49	82.2368392944336	1.3385448455811	0.0328987874091
50	67.9347839355469	1.3385105133057	0.0268981214613
51	55.8035697937012	1.3384951353073	0.0310068055987
52	46.8750000000000	1.3384227752686	0.0212304368615
53	38.1097564697266	1.3384954929352	0.0185151062906
54	31.8877544403076	1.3385305404663	0.0142743662000
55	26.0416660308838	1.3386219739914	0.0077225053683
56	21.3068180084229	1.3385990858078	0.0092197284102
57	17.7556819915771	1.3386681079865	0.0086169829592
58	14.5574531555176	1.3386539220810	0.0076014092192
59	12.1124029159546	1.3386945724487	0.0045539564453
60	9.9101476669312	1.3388308286667	0.0038717715070
