IMPEDANCE MEASUREMENT 
3/17/2023-2:18 PM
Chamber temperature (K): 296.47
Chamber pressure (MPa): -0.67
Description: 	Rcal_1ohm_PV_looseFit
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	3.4037766456604	54.2443542480469
1	825585.9374999999990	2.9103913307190	50.6300811767578
2	681445.3124999999990	2.5401999950409	46.7584724426270
3	562382.8124999999990	2.2629899978638	42.6643142700195
4	464179.6874999999990	2.0536265373230	38.5606079101562
5	383320.3124999999990	1.8937935829163	34.4423522949219
6	316289.0624999999990	1.7709671258926	30.4612445831299
7	261210.9375000000000	1.6770336627960	26.8326854705811
8	215507.8125000000000	1.5990263223648	23.5951175689697
9	178007.8125000000000	1.5469148159027	20.4782257080078
10	146835.9375000000000	1.5010160207748	17.2125072479248
11	121289.0625000000000	1.4677242040634	14.7930736541748
12	100195.3125000000000	1.4421527385712	12.7242374420166
13	82617.1874999999999	1.4228224754333	10.8557014465332
14	68320.3124999999999	1.4136246442795	9.5142078399658
15	56367.1874999999999	1.4014562368393	8.1234741210937
16	46523.4374999999999	1.3915282487869	6.9309353828430
17	38320.3124999999999	1.3833431005478	5.8988418579102
18	31757.8125000000000	1.3769389390945	5.0578355789185
19	26132.8125000000000	1.3716213703156	4.3014621734619
20	21679.6875000000000	1.3671317100525	3.6936385631561
21	17929.6875000000000	1.3634712696075	3.1560022830963
22	14519.8173828125000	1.3597278594971	2.6553049087524
23	12004.5732421875000	1.3571592569351	2.2723770141602
24	9946.6464843750000	1.3547712564468	1.9435104131699
25	8320.3125000000000	1.3530488014221	1.6809927225113
26	6745.4267578125000	1.3512787818909	1.4205943346024
27	5602.1342773437500	1.3500938415527	1.2141920328140
28	4687.5000000000000	1.3487246036530	1.0575860738754
29	3867.1875000000000	1.3476941585541	0.9017385244370
30	3164.0625000000000	1.3467470407486	0.7678140997887
31	2629.5732421875000	1.3460763692856	0.6602118611336
32	2172.2561035156250	1.3453727960587	0.5660766959190
33	1770.8333740234375	1.3447463512421	0.4796104729176
34	1450.8928222656250	1.3443510532379	0.4100959300995
35	1199.1279296875000	1.3439323902130	0.3498206734657
36	1004.4642944335937	1.3435684442520	0.3084672689438
37	827.2058715820312	1.3433216810226	0.2604196965694
38	683.5937500000000	1.3429967164993	0.2223366349936
39	558.0357055664062	1.3428018093109	0.1848477125168
40	468.7500000000000	1.3426517248154	0.1608114689589
41	384.2213134765625	1.3423959016800	0.1394752562046
42	319.6022644042969	1.3423116207123	0.1165572330356
43	260.4166564941406	1.3422100543976	0.0963141843677
44	216.3461608886719	1.3421781063080	0.0854121297598
45	178.0063323974609	1.3420830965042	0.0734847709537
46	146.4843750000000	1.3420418500900	0.0563344508410
47	121.2284469604492	1.3419589996338	0.0423148274422
48	99.7340393066406	1.3419926166534	0.0422789566219
49	82.2368392944336	1.3420113325119	0.0317233838141
50	67.9347839355469	1.3419946432114	0.0286715850234
51	55.8035697937012	1.3419296741486	0.0202071592212
52	46.8750000000000	1.3419946432114	0.0223850179464
53	38.1097564697266	1.3419727087021	0.0154518969357
54	31.8877544403076	1.3419793844223	0.0134880989790
55	26.0416660308838	1.3420805931091	0.0103791244328
56	21.3068180084229	1.3420109748840	0.0105231273919
57	17.7556819915771	1.3420759439468	0.0078067868017
58	14.5574531555176	1.3421008586884	0.0046352730133
59	12.1124029159546	1.3421797752380	0.0055316048674
60	9.9101476669312	1.3421266078949	0.0044406494126
