IMPEDANCE MEASUREMENT 
3/17/2023-2:18 PM
Chamber temperature (K): 296.47
Chamber pressure (MPa): 0.00
Description: 	Rcal_1ohm_PV_looseFit
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	3.4040539264679	54.1451187133789
1	825585.9374999999990	2.9143950939178	50.5189704895020
2	681445.3124999999990	2.5465154647827	46.5854988098145
3	562382.8124999999990	2.2702322006226	42.5147666931152
4	464179.6874999999990	2.0586493015289	38.3842201232910
5	383320.3124999999990	1.8996498584747	34.3060569763184
6	316289.0624999999990	1.7786570787430	30.3402271270752
7	261210.9375000000000	1.6834232807159	26.6867866516113
8	215507.8125000000000	1.6074175834656	23.4112052917480
9	178007.8125000000000	1.5548672676086	20.4069633483887
10	146835.9375000000000	1.5085879564285	17.1098709106445
11	121289.0625000000000	1.4752745628357	14.6908569335937
12	100195.3125000000000	1.4499818086624	12.6480646133423
13	82617.1874999999999	1.4305225610733	10.7905912399292
14	68320.3124999999999	1.4155770540237	9.2195901870728
15	56367.1874999999999	1.4094965457916	8.0701169967651
16	46523.4374999999999	1.3994241952896	6.8862557411194
17	38320.3124999999999	1.3914483785629	5.8699684143066
18	31757.8125000000000	1.3850367069244	5.0225276947021
19	26132.8125000000000	1.3796074390411	4.2728877067566
20	21679.6875000000000	1.3750916719437	3.6683928966522
21	17929.6875000000000	1.3713622093201	3.1479382514954
22	14519.8173828125000	1.3680311441422	2.6392838954926
23	12004.5732421875000	1.3651118278503	2.2596299648285
24	9946.6464843750000	1.3631304502487	1.9343969821930
25	8320.3125000000000	1.3612922430038	1.6714118719101
26	6745.4267578125000	1.3594069480896	1.4083715677261
27	5602.1342773437500	1.3580090999603	1.2090072631836
28	4687.5000000000000	1.3567858934402	1.0487893819809
29	3867.1875000000000	1.3557291030884	0.9000651240349
30	3164.0625000000000	1.3548231124878	0.7608714103699
31	2629.5732421875000	1.3541276454926	0.6575257182121
32	2172.2561035156250	1.3535054922104	0.5643260478973
33	1770.8333740234375	1.3528754711151	0.4783973097801
34	1450.8928222656250	1.3524004220963	0.4070607423782
35	1199.1279296875000	1.3520100116730	0.3472315967083
36	1004.4642944335937	1.3515826463699	0.3083705008030
37	827.2058715820312	1.3513884544373	0.2591304779053
38	683.5937500000000	1.3510698080063	0.2232467830181
39	558.0357055664062	1.3507341146469	0.1918980479240
40	468.7500000000000	1.3506401777267	0.1614645421505
41	384.2213134765625	1.3504407405853	0.1312844455242
42	319.6022644042969	1.3503509759903	0.1154028102756
43	260.4166564941406	1.3502213954926	0.0976565107703
44	216.3461608886719	1.3502870798111	0.0820350125432
45	178.0063323974609	1.3502165079117	0.0708212256432
46	146.4843750000000	1.3501460552216	0.0556462183595
47	121.2284469604492	1.3500542640686	0.0390289686620
48	99.7340393066406	1.3500676155090	0.0394102521241
49	82.2368392944336	1.3501296043396	0.0321956239641
50	67.9347839355469	1.3500586748123	0.0280604995787
51	55.8035697937012	1.3500612974167	0.0268550422043
52	46.8750000000000	1.3501025438309	0.0204191952944
53	38.1097564697266	1.3501187562943	0.0199216250330
54	31.8877544403076	1.3501098155975	0.0100943548605
55	26.0416660308838	1.3499971628189	0.0197045300156
56	21.3068180084229	1.3502227067947	0.0048768753186
57	17.7556819915771	1.3501878976822	0.0083568664268
58	14.5574531555176	1.3502413034439	0.0055402833968
59	12.1124029159546	1.3502337932587	0.0050098653883
60	9.9101476669312	1.3502970933914	0.0045891995542
