IMPEDANCE MEASUREMENT 
3/21/2023-4:46 PM
Chamber temperature (K): 297.15
Chamber pressure (MPa): -0.98
Description: 	RcalChillerMiddleClamp_10ohm
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	12.2841596603394	25.0499439239502
1	825585.9374999999990	11.7004747390747	21.1284294128418
2	681445.3124999999990	11.3037996292114	17.7464714050293
3	562382.8124999999990	11.0286312103271	14.8928012847900
4	464179.6874999999990	10.8413209915161	12.4644575119019
5	383320.3124999999990	10.7087354660034	10.4234476089478
6	316289.0624999999990	10.6119461059570	8.7105913162231
7	261210.9375000000000	10.5421800613403	7.3065104484558
8	215507.8125000000000	10.4937343597412	6.0893507003784
9	178007.8125000000000	10.4536066055298	5.1392035484314
10	146835.9375000000000	10.4268646240234	4.2919363975525
11	121289.0625000000000	10.4055156707764	3.5843195915222
12	100195.3125000000000	10.3802080154419	3.0152080059052
13	82617.1874999999999	10.3686265945435	2.5120983123779
14	68320.3124999999999	10.3578214645386	2.0987193584442
15	56367.1874999999999	10.3491392135620	1.7376745939255
16	46523.4374999999999	10.3423910140991	1.4394505023956
17	38320.3124999999999	10.3394184112549	1.1865836381912
18	31757.8125000000000	10.3366537094116	0.9808093905449
19	26132.8125000000000	10.3344659805298	0.8078246712685
20	21679.6875000000000	10.3341274261475	0.6688426733017
21	17929.6875000000000	10.3331747055054	0.5489941239357
22	14519.8173828125000	10.3331546783447	0.4544804096222
23	12004.5732421875000	10.3341608047485	0.3695425987244
24	9946.6464843750000	10.3314666748047	0.3090327680111
25	8320.3125000000000	10.3323974609375	0.2589286863804
26	6745.4267578125000	10.3332977294922	0.2082133740187
27	5602.1342773437500	10.3328208923340	0.1746593266726
28	4687.5000000000000	10.3324241638184	0.1450780034065
29	3867.1875000000000	10.3323020935059	0.1214024797082
30	3164.0625000000000	10.3322029113770	0.1051821559668
31	2629.5732421875000	10.3321409225464	0.0891880989075
32	2172.2561035156250	10.3316335678101	0.0723639577627
33	1770.8333740234375	10.3311653137207	0.0626973211765
34	1450.8928222656250	10.3309574127197	0.0546897277236
35	1199.1279296875000	10.3303442001343	0.0483602508903
36	1004.4642944335937	10.3307542800903	0.0411913059652
37	827.2058715820312	10.3302145004272	0.0343171432614
38	683.5937500000000	10.3300638198853	0.0317778997123
39	558.0357055664062	10.3298292160034	0.0280004106462
40	468.7500000000000	10.3291349411011	0.0242331773043
41	384.2213134765625	10.3290367126465	0.0185689702630
42	319.6022644042969	10.3292598724365	0.0165918450803
43	260.4166564941406	10.3298349380493	0.0081926938146
44	216.3461608886719	10.3292703628540	0.0110507979989
45	178.0063323974609	10.3297691345215	0.0366437397897
46	146.4843750000000	10.3288955688477	0.0086967656389
47	121.2284469604492	10.3290653228760	0.0103821605444
48	99.7340393066406	10.3289489746094	-0.0025194603950
49	82.2368392944336	10.3283929824829	0.0062825540081
50	67.9347839355469	10.3308477401733	-0.0062484252267
51	55.8035697937012	10.3323335647583	0.0212918426841
52	46.8750000000000	10.3280792236328	0.0039108698256
53	38.1097564697266	10.3292217254639	-0.0001459199557
54	31.8877544403076	10.3290414810181	0.0026161007117
55	26.0416660308838	10.3289642333984	0.0022613692563
56	21.3068180084229	10.3283214569092	0.0015362668782
57	17.7556819915771	10.3291168212891	0.0023766402155
58	14.5574531555176	10.3290262222290	0.0008087602328
59	12.1124029159546	10.3289651870728	0.0010489989072
60	9.9101476669312	10.3290128707886	0.0011628757929
