IMPEDANCE MEASUREMENT 
3/21/2023-4:55 PM
Chamber temperature (K): 297.31
Chamber pressure (MPa): -0.95
Description: 	RcalChillerMiddleClamp_1ohm
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	5.5934033393860	71.4457321166992
1	825585.9374999999990	4.5985274314880	69.3191909790039
2	681445.3124999999990	3.8333642482758	66.7359390258789
3	562382.8124999999990	3.2341539859772	63.7294731140137
4	464179.6874999999990	2.7622630596161	60.2197914123535
5	383320.3124999999990	2.3897366523743	56.3156814575195
6	316289.0624999999990	2.0948886871338	52.0099220275879
7	261210.9375000000000	1.8647564649582	47.4935684204102
8	215507.8125000000000	1.6854776144028	42.7377433776855
9	178007.8125000000000	1.5466090440750	38.3143615722656
10	146835.9375000000000	1.4374014139175	33.2172813415527
11	121289.0625000000000	1.3594073057175	28.9683437347412
12	100195.3125000000000	1.3055193424225	25.3227901458740
13	82617.1874999999999	1.2611767053604	21.6932735443115
14	68320.3124999999999	1.2286927700043	18.5353069305420
15	56367.1874999999999	1.2038946151733	15.7441787719727
16	46523.4374999999999	1.1855510473251	13.3429269790649
17	38320.3124999999999	1.1715117692947	11.2646856307983
18	31757.8125000000000	1.1611818075180	9.5480680465698
19	26132.8125000000000	1.1527173519135	8.0403175354004
20	21679.6875000000000	1.1465522050858	6.8194556236267
21	17929.6875000000000	1.1414129734039	5.7633314132690
22	14519.8173828125000	1.1370826959610	4.7892465591431
23	12004.5732421875000	1.1338930130005	4.0442485809326
24	9946.6464843750000	1.1313198804855	3.4296944141388
25	8320.3125000000000	1.1291874647141	2.9315249919891
26	6745.4267578125000	1.1272580623627	2.4324202537537
27	5602.1342773437500	1.1257153749466	2.0703012943268
28	4687.5000000000000	1.1244972944260	1.7726345062256
29	3867.1875000000000	1.1234040260315	1.4978106021881
30	3164.0625000000000	1.1225203275681	1.2594037055969
31	2629.5732421875000	1.1217347383499	1.0749585628510
32	2172.2561035156250	1.1210544109344	0.9126776456833
33	1770.8333740234375	1.1204195022583	0.7651364207268
34	1450.8928222656250	1.1199569702148	0.6427047848701
35	1199.1279296875000	1.1194633245468	0.5502318143845
36	1004.4642944335937	1.1190568208694	0.4674431979656
37	827.2058715820312	1.1187908649445	0.4005950093269
38	683.5937500000000	1.1184924840927	0.3391543924809
39	558.0357055664062	1.1182295084000	0.2853926122189
40	468.7500000000000	1.1180572509766	0.2475658059120
41	384.2213134765625	1.1178122758865	0.2088220268488
42	319.6022644042969	1.1177035570145	0.1773676127195
43	260.4166564941406	1.1176198720932	0.1486745327711
44	216.3461608886719	1.1174197196960	0.1267434060574
45	178.0063323974609	1.1172411441803	0.0923032537103
46	146.4843750000000	1.1172510385513	0.0850448906422
47	121.2284469604492	1.1173123121262	0.0746760442853
48	99.7340393066406	1.1173769235611	0.0777570158243
49	82.2368392944336	1.1173635721207	0.0585802383721
50	67.9347839355469	1.1172291040421	0.0322703830898
51	55.8035697937012	1.1174309253693	0.0381085909903
52	46.8750000000000	1.1168385744095	0.0347056798637
53	38.1097564697266	1.1171740293503	0.0290886852890
54	31.8877544403076	1.1169626712799	0.0185472518206
55	26.0416660308838	1.1170676946640	0.0146803176031
56	21.3068180084229	1.1170248985291	0.0150367598981
57	17.7556819915771	1.1170533895493	0.0121845630929
58	14.5574531555176	1.1170543432236	0.0094651533291
59	12.1124029159546	1.1171222925186	0.0082946438342
60	9.9101476669312	1.1171525716782	0.0058197039180
