IMPEDANCE MEASUREMENT 
3/21/2023-3:34 PM
Chamber temperature (K): 296.73
Chamber pressure (MPa): -0.47
Description: 	RcalChiller_100000ohm
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+1
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	910.8725585937500	-92.7947692871094
1	825585.9374999999990	1091.1722412109375	-92.2548370361328
2	681445.3124999999990	1298.0218505859375	-91.4714508056641
3	562382.8124999999990	1560.6018066406250	-90.7012710571289
4	464179.6874999999990	1872.7592773437500	-89.5353546142578
5	383320.3124999999990	2257.5043945312500	-88.7602691650391
6	316289.0624999999990	2724.1943359375000	-87.8875961303711
7	261210.9375000000000	3215.9113769531250	-93.2997360229492
8	215507.8125000000000	3898.4113769531250	-91.3122253417969
9	178007.8125000000000	4719.7407226562500	-90.0899734497070
10	146835.9375000000000	5753.2851562500000	-87.6075744628906
11	121289.0625000000000	6881.2534179687500	-85.3133163452148
12	100195.3125000000000	8307.7910156250000	-83.0002975463867
13	82617.1874999999999	10009.9785156250000	-80.7694396972656
14	68320.3124999999999	12015.1640625000000	-78.0932083129883
15	56367.1874999999999	14440.7978515625000	-75.6820373535156
16	46523.4374999999999	17056.3750000000000	-71.5270690917969
17	38320.3124999999999	20132.5312500000000	-67.7788848876953
18	31757.8125000000000	23341.5371093750000	-63.5965423583984
19	26132.8125000000000	26587.3828125000000	-66.0500106811523
20	21679.6875000000000	30527.3203125000000	-58.5068855285645
21	17929.6875000000000	34041.4414062500000	-52.2564277648926
22	14519.8173828125000	38940.2968749999999	-47.2315444946289
23	12004.5732421875000	42437.7617187499999	-40.7992324829102
24	9946.6464843750000	44234.1562499999999	-35.6528053283691
25	8320.3125000000000	45781.9453124999999	-29.8912906646729
26	6745.4267578125000	47728.1445312499999	-24.2190570831299
27	5602.1342773437500	48324.7617187499999	-21.0112209320068
28	4687.5000000000000	52402.6718749999999	-23.7087211608887
29	3867.1875000000000	53037.7734374999999	-20.7382087707520
30	3164.0625000000000	51880.0312499999999	-16.3900356292725
31	2629.5732421875000	54428.7578124999999	-21.8004093170166
32	2172.2561035156250	52194.2460937499999	-16.5387248992920
33	1770.8333740234375	50569.7851562499999	-11.1549949645996
34	1450.8928222656250	53740.6249999999999	-14.2487087249756
35	1199.1279296875000	55450.9570312499999	-15.1396818161011
36	1004.4642944335937	56110.5273437499999	-14.9447412490845
37	827.2058715820312	52830.6562499999999	-10.0533599853516
38	683.5937500000000	53082.9453124999999	-9.9193878173828
39	558.0357055664062	80685.6328124999999	-17.6521377563477
40	468.7500000000000	80769.2265624999999	-17.4532241821289
41	384.2213134765625	85112.4374999999999	-15.6717576980591
42	319.6022644042969	87558.7499999999999	-14.4377918243408
43	260.4166564941406	91729.1328124999999	-11.6741285324097
44	216.3461608886719	92887.1484374999999	-10.5182886123657
45	178.0063323974609	94246.4453124999999	-9.2956142425537
46	146.4843750000000	96038.7968749999999	-7.2336239814758
47	121.2284469604492	96901.9140624999999	-5.9887442588806
48	99.7340393066406	97156.6562499999999	-4.9813971519470
49	82.2368392944336	97952.4765624999999	-4.1616239547729
50	67.9347839355469	98675.1015624999999	-2.9576847553253
51	55.8035697937012	99808.8749999999999	-2.8980801105499
52	46.8750000000000	98575.7656249999999	-2.1993381977081
53	38.1097564697266	98412.9609374999999	-1.9713097810745
54	31.8877544403076	98647.5859374999999	-1.7805836200714
55	26.0416660308838	98583.8203124999999	-1.6116839647293
56	21.3068180084229	98600.6249999999999	-1.1646487712860
57	17.7556819915771	98685.2343749999999	-1.0257904529572
58	14.5574531555176	98729.3281249999999	-0.7833245396614
59	12.1124029159546	98718.3593749999999	-0.7494997382164
60	9.9101476669312	98769.4062499999999	-0.6597763895988
