IMPEDANCE MEASUREMENT 
4/10/2023-5:39 PM
Chamber temperature (K): 293.31
Chamber pressure (MPa): -0.48
Description: 	80000uScm_KCl_chiller
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	9.1918249130249	23.3934764862061
1	841523.4374999999990	8.7392969131470	19.7558841705322
2	708164.0624999999990	8.4306039810181	16.6627559661865
3	595664.0624999999990	8.2158470153809	13.9693775177002
4	501210.9374999999990	8.0701618194580	11.6697788238525
5	421757.8124999999990	7.9636502265930	9.6578722000122
6	354960.9374999999990	7.8913297653198	7.9607052803040
7	298710.9374999999990	7.8408575057983	6.4781031608582
8	251367.1875000000000	7.8069586753845	5.1825547218323
9	211523.4375000000000	7.7869448661804	4.0368452072144
10	178007.8125000000000	7.7751412391663	3.0174467563629
11	149648.4375000000000	7.7701039314270	2.1024580001831
12	125976.5625000000000	7.7712993621826	1.2326457500458
13	106054.6875000000000	7.7694025039673	0.6055715084076
14	89179.6874999999999	7.7829551696777	-0.2830611169338
15	75117.1874999999999	7.7983336448669	-1.0286325216293
16	63164.0624999999999	7.8166313171387	-1.7761037349701
17	53320.3124999999999	7.8431372642517	-2.5279755592346
18	44882.8124999999999	7.8723387718201	-3.3082065582275
19	37617.1874999999999	7.9114871025085	-4.1545662879944
20	31757.8125000000000	7.9541072845459	-5.0126304626465
21	26835.9375000000000	8.0095300674438	-5.9344644546509
22	22617.1875000000000	8.0693502426147	-6.9630742073059
23	18867.1875000000000	8.1464576721191	-8.1429595947266
24	15663.1093750000000	8.2422447204590	-9.4816131591797
25	13476.5625000000000	8.3344011306763	-10.6671695709229
26	11089.9394531250000	8.4723901748657	-12.3664178848267
27	9492.1875000000000	8.6091384887695	-13.8689603805542
28	7888.7197265625000	8.7960510253906	-15.8147754669189
29	6745.4267578125000	8.9861249923706	-17.6129302978516
30	5602.1342773437500	9.2499170303345	-19.9597434997559
31	4687.5000000000000	9.5550231933594	-22.4092693328857
32	4001.5244140625000	9.8823032379150	-24.7380008697510
33	3315.5488281250000	10.3417654037476	-27.7295265197754
34	2790.1784667968750	10.8520221710205	-30.6637191772461
35	2343.7500000000000	11.4691190719604	-33.8069267272949
36	1979.1666259765625	12.1934547424316	-36.9863815307617
37	1674.1071777343750	13.0485534667969	-40.2784881591797
38	1417.1511230468750	14.0755062103271	-43.6176071166992
39	1199.1279296875000	15.3086709976196	-47.0104866027832
40	1004.4642944335937	16.9106330871582	-50.5837860107422
