IMPEDANCE MEASUREMENT 
4/10/2023-2:06 PM
Chamber temperature (K): 293.25
Chamber pressure (MPa): -0.96
Description: 	84uScm_KCl_chiller
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	814.7839965820312	-86.0034790039062
1	841523.4374999999990	960.2092895507812	-84.6760101318359
2	708164.0624999999990	1122.3925781250000	-82.3192443847656
3	595664.0624999999990	6845.8393554687500	-35.2008171081543
4	501210.9374999999990	10000.6806640625000	-39.7654075622559
5	421757.8124999999990	14354.6572265625000	-42.0305824279785
6	354960.9374999999990	18600.2773437500000	-42.7465133666992
7	298710.9374999999990	2343.5510253906250	-72.4946899414062
8	251367.1875000000000	2672.4062500000000	-66.3359375000000
9	211523.4375000000000	3009.2829589843750	-60.7637939453125
10	178007.8125000000000	3379.9665527343750	-54.4587287902832
11	149648.4375000000000	3657.1796875000000	-48.9052162170410
12	125976.5625000000000	4008.6855468750000	-43.5918998718262
13	106054.6875000000000	4211.8271484375000	-37.8469429016113
14	89179.6874999999999	4442.0156250000000	-32.7528038024902
15	75117.1874999999999	4611.7924804687500	-28.3182106018066
16	63164.0624999999999	4749.1020507812500	-24.1420783996582
17	53320.3124999999999	4839.7773437500000	-20.6243743896484
18	44882.8124999999999	4927.7338867187500	-17.5559139251709
19	37617.1874999999999	4986.9638671875000	-14.7951345443726
20	31757.8125000000000	5031.6616210937500	-12.6181316375732
21	26835.9375000000000	4977.0732421875000	-17.1747951507568
22	22617.1875000000000	5026.0351562500000	-14.5281906127930
23	18867.1875000000000	5023.6474609375000	-12.0650711059570
24	15663.1093750000000	5087.5917968750000	-10.0884170532227
25	13476.5625000000000	5100.2905273437500	-8.7072877883911
26	11089.9394531250000	5112.2480468750000	-7.1671137809753
27	9492.1875000000000	5121.0859375000000	-6.1020145416260
28	7888.7197265625000	5125.4584960937500	-5.1107392311096
29	6745.4267578125000	5129.3012695312500	-4.4177570343018
30	5602.1342773437500	5134.5356445312500	-3.6791541576385
31	4687.5000000000000	5136.0297851562500	-3.0822045803070
32	4001.5244140625000	5137.6206054687500	-2.6580030918121
33	3315.5488281250000	5139.6523437500000	-2.2355303764343
34	2790.1784667968750	5140.8764648437500	-1.9240248203278
35	2343.7500000000000	5141.3325195312500	-1.6636291742325
36	1979.1666259765625	5143.9082031250000	-1.4575999975204
37	1674.1071777343750	5145.2739257812500	-1.2811397314072
38	1417.1511230468750	5146.9829101562500	-1.1582512855530
39	1199.1279296875000	5148.3798828125000	-1.0626131296158
40	1004.4642944335937	5151.0278320312500	-0.9792966246605
