IMPEDANCE MEASUREMENT 
4/10/2023-5:57 PM
Chamber temperature (K): 293.31
Chamber pressure (MPa): -0.68
Description: 	Special_chillerFluid
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	813.8253173828125	-94.7839279174805
1	841523.4374999999990	975.7843017578125	-94.6415557861328
2	708164.0624999999990	1151.2016601562500	-94.0072402954102
3	595664.0624999999990	1358.2800292968750	-93.5604553222656
4	501210.9374999999990	5283.9350585937500	-56.4026565551758
5	421757.8124999999990	7255.2563476562500	-64.4514236450195
6	354960.9374999999990	10159.2929687500000	-67.6530609130859
7	298710.9374999999990	2595.5307617187500	-100.8592071533203
8	251367.1875000000000	3115.5622558593750	-98.9487991333008
9	211523.4375000000000	3722.1254882812500	-97.7126770019531
10	178007.8125000000000	4437.8178710937500	-96.3004074096680
11	149648.4375000000000	5227.1386718750000	-95.0664749145508
12	125976.5625000000000	6243.7441406250000	-94.0768508911133
13	106054.6875000000000	7393.7031250000000	-93.2156295776367
14	89179.6874999999999	8826.4189453125000	-93.0661087036133
15	75117.1874999999999	10479.0478515625000	-92.6012268066406
16	63164.0624999999999	12462.5986328125000	-92.2426071166992
17	53320.3124999999999	14762.8144531250000	-91.8078002929687
18	44882.8124999999999	17532.2421875000000	-91.5654525756836
19	37617.1874999999999	20795.9375000000000	-91.1789779663086
20	31757.8125000000000	24779.1347656250000	-91.0930404663086
21	26835.9375000000000	28620.4082031250000	-99.1148605346680
22	22617.1875000000000	34235.8437500000000	-97.8090667724609
23	18867.1875000000000	41275.1640624999999	-96.8855972290039
24	15663.1093750000000	49717.4140624999999	-95.3875198364258
25	13476.5625000000000	57699.8281249999999	-95.0828857421875
26	11089.9394531250000	70450.8046874999999	-94.0202636718750
27	9492.1875000000000	82299.4765624999999	-93.6110305786133
28	7888.7197265625000	98960.2343749999999	-94.3300170898437
29	6745.4267578125000	117382.8437500000000	-92.7834243774414
30	5602.1342773437500	140417.5468750000000	-95.8260040283203
31	4687.5000000000000	168779.4375000000000	-95.0579757690430
32	4001.5244140625000	199154.8593750000000	-95.5026779174805
33	3315.5488281250000	243565.9531250000000	-96.2086715698242
34	2790.1784667968750	299398.8749999999990	-104.4928588867187
35	2343.7500000000000	368829.3124999999990	-103.3405990600586
36	1979.1666259765625	450873.3437499999990	-102.0186614990234
37	1674.1071777343750	545745.4999999999990	-101.3166656494141
38	1417.1511230468750	678334.3749999999990	-100.6016693115234
39	1199.1279296875000	834439.6249999999990	-98.9124374389648
40	1004.4642944335937	1028791.5000000000000	-96.3964691162109
