IMPEDANCE MEASUREMENT 
4/10/2023-5:57 PM
Chamber temperature (K): 293.30
Chamber pressure (MPa): -0.77
Description: 	Special_chillerFluid
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	814.6327514648437	-94.8274841308594
1	841523.4374999999990	971.7351074218750	-95.0941238403320
2	708164.0624999999990	1146.5684814453125	-94.3630294799805
3	595664.0624999999990	1352.7344970703125	-93.4877319335937
4	501210.9374999999990	1601.9782714843750	-92.9915542602539
5	421757.8124999999990	6075.5781250000000	-62.3699913024902
6	354960.9374999999990	8815.9570312500000	-68.3906326293945
7	298710.9374999999990	2608.5761718750000	-100.5413055419922
8	251367.1875000000000	3083.7167968750000	-98.8173370361328
9	211523.4375000000000	3688.0341796875000	-97.8908767700195
10	178007.8125000000000	4399.5151367187500	-96.4369354248047
11	149648.4375000000000	5217.7719726562500	-95.1941986083984
12	125976.5625000000000	6136.1142578125000	-92.3137817382812
13	106054.6875000000000	7410.3349609375000	-93.6836547851562
14	89179.6874999999999	8802.2578125000000	-93.0636444091797
15	75117.1874999999999	10451.3906250000000	-92.6750564575195
16	63164.0624999999999	12394.1699218750000	-92.2981872558594
17	53320.3124999999999	14692.9414062500000	-91.8937072753906
18	44882.8124999999999	17504.5410156250000	-91.7820358276367
19	37617.1874999999999	20793.9589843750000	-91.5416641235352
20	31757.8125000000000	24619.7167968750000	-91.5099029541016
21	26835.9375000000000	28521.6113281250000	-99.6792907714844
22	22617.1875000000000	34087.9687500000000	-98.4566650390625
23	18867.1875000000000	40037.7539062499999	-93.1914215087891
24	15663.1093750000000	49662.0429687499999	-96.2979278564453
25	13476.5625000000000	57470.7031249999999	-96.0857238769531
26	11089.9394531250000	70176.8515624999999	-95.6164398193359
27	9492.1875000000000	82358.3984374999999	-94.9212417602539
28	7888.7197265625000	98289.7890624999999	-95.2488708496094
29	6745.4267578125000	115396.5468750000000	-95.1451568603516
30	5602.1342773437500	139273.3125000000000	-96.5176620483398
31	4687.5000000000000	167396.5156250000000	-96.5912780761719
32	4001.5244140625000	197936.3281250000000	-97.3296813964844
33	3315.5488281250000	242065.7656250000000	-98.4819793701172
34	2790.1784667968750	301583.4374999999990	-107.3083419799805
35	2343.7500000000000	369589.3124999999990	-106.8010253906250
36	1979.1666259765625	453544.3124999999990	-105.6450958251953
37	1674.1071777343750	561665.1249999999990	-105.1629180908203
38	1417.1511230468750	695346.6249999999990	-104.3397064208984
39	1199.1279296875000	853397.6249999999980	-103.1116867065430
40	1004.4642944335937	1075513.0000000000000	-100.4193267822266
