IMPEDANCE MEASUREMENT 
4/10/2023-6:45 PM
Chamber temperature (K): 293.62
Chamber pressure (MPa): -1.07
Description: 	Special_sebacate_outsideChiller
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	653.3478393554687	-87.3593292236328
1	841523.4374999999990	770.0823974609375	-94.9951248168945
2	708164.0624999999990	907.4636840820312	-93.9059371948242
3	595664.0624999999990	1075.6342773437500	-93.0427932739258
4	501210.9374999999990	1271.0336914062500	-92.2779769897461
5	421757.8124999999990	1510.1013183593750	-91.6594619750977
6	354960.9374999999990	1793.4256591796875	-90.9844207763672
7	298710.9374999999990	2109.2851562500000	-108.8021316528320
8	251367.1875000000000	2535.1257324218750	-106.5483093261719
9	211523.4375000000000	3029.8896484375000	-105.1180572509766
10	178007.8125000000000	3649.0600585937500	-103.3238220214844
11	149648.4375000000000	4368.6274414062500	-103.3856277465820
12	125976.5625000000000	5165.1035156250000	-102.8361511230469
13	106054.6875000000000	6315.2021484375000	-102.2590255737305
14	89179.6874999999999	7626.3984375000000	-102.2195663452148
15	75117.1874999999999	9253.5927734375000	-102.2128601074219
16	63164.0624999999999	11230.2138671875000	-102.3853759765625
17	53320.3124999999999	13658.9072265625000	-102.3761215209961
18	44882.8124999999999	16687.2910156250000	-102.0101776123047
19	37617.1874999999999	20499.3417968750000	-101.7412872314453
20	31757.8125000000000	25087.1464843750000	-101.3438339233398
21	26835.9375000000000	33791.9648437500000	-110.8988571166992
22	22617.1875000000000	41154.3242187499999	-108.3617401123047
23	18867.1875000000000	51175.8867187499999	-108.3660354614258
24	15663.1093750000000	62169.4023437499999	-103.8260269165039
25	13476.5625000000000	73019.6484374999999	-101.9892425537109
26	11089.9394531250000	90515.8906249999999	-99.7599868774414
27	9492.1875000000000	105784.0625000000000	-98.7189483642578
28	7888.7197265625000	126367.0781250000000	-96.8989028930664
29	6745.4267578125000	154389.5781250000000	-96.3639297485352
30	5602.1342773437500	176649.2343750000000	-94.8563690185547
31	4687.5000000000000	217722.6250000000000	-93.9895172119141
32	4001.5244140625000	255760.1875000000000	-93.2012329101562
33	3315.5488281250000	308820.0624999999990	-92.4014968872070
34	2790.1784667968750	367443.1249999999990	-96.2739028930664
35	2343.7500000000000	436191.3437499999990	-95.1035995483398
36	1979.1666259765625	527215.3749999999990	-94.2675094604492
37	1674.1071777343750	613926.0624999999990	-93.2380371093750
38	1417.1511230468750	722728.1249999999990	-92.5573577880859
39	1199.1279296875000	855621.6874999999980	-91.9132995605469
40	1004.4642944335937	1019578.2500000000000	-91.1328201293945
