IMPEDANCE MEASUREMENT 
4/10/2023-6:55 PM
Chamber temperature (K): 293.77
Chamber pressure (MPa): -0.42
Description: 	Special_sebacate
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	825.4185180664062	-94.8908233642578
1	841523.4374999999990	979.1177978515625	-95.1111984252930
2	708164.0624999999990	1152.3886718750000	-94.6385192871094
3	595664.0624999999990	1361.6374511718750	-93.7277679443359
4	501210.9374999999990	4698.4609375000000	-54.3612594604492
5	421757.8124999999990	6317.4858398437500	-62.1526908874512
6	354960.9374999999990	9451.3818359375000	-66.5663833618164
7	298710.9374999999990	2588.1000976562500	-100.7187118530273
8	251367.1875000000000	3094.7695312500000	-99.0979461669922
9	211523.4375000000000	3681.0605468750000	-98.0470352172852
10	178007.8125000000000	4400.1728515625000	-96.2510299682617
11	149648.4375000000000	5269.8632812500000	-95.1794815063477
12	125976.5625000000000	6228.3110351562500	-95.3713989257812
13	106054.6875000000000	7396.4072265625000	-93.8586120605469
14	89179.6874999999999	8809.0087890625000	-93.1648101806641
15	75117.1874999999999	10458.3154296875000	-92.6240692138672
16	63164.0624999999999	12463.1806640625000	-92.2834548950195
17	53320.3124999999999	14751.5400390625000	-91.8498458862305
18	44882.8124999999999	17535.7421875000000	-91.5710067749023
19	37617.1874999999999	20914.6894531250000	-91.2002410888672
20	31757.8125000000000	24726.9199218750000	-91.0416564941406
21	26835.9375000000000	28604.7890625000000	-98.8642578125000
22	22617.1875000000000	34162.6562500000000	-97.4077453613281
23	18867.1875000000000	41112.1874999999999	-96.0773544311523
24	15663.1093750000000	49587.8945312499999	-95.0477447509766
25	13476.5625000000000	57806.1601562499999	-94.1448593139648
26	11089.9394531250000	70235.7031249999999	-93.7841186523437
27	9492.1875000000000	82225.1015624999999	-92.1957168579102
28	7888.7197265625000	99855.5781249999999	-92.4017257690430
29	6745.4267578125000	117114.6171875000000	-91.3180389404297
30	5602.1342773437500	139209.5625000000000	-90.9614105224609
31	4687.5000000000000	166819.1718750000000	-91.2300186157227
32	4001.5244140625000	195227.2968750000000	-90.9711380004883
33	3315.5488281250000	235776.9062500000000	-90.5696640014648
34	2790.1784667968750	272671.0625000000000	-98.5263519287109
35	2343.7500000000000	324372.1562499999990	-97.0127639770508
36	1979.1666259765625	388692.9687499999990	-96.3297119140625
37	1674.1071777343750	459684.9687499999990	-95.0911483764648
38	1417.1511230468750	545609.7499999999990	-93.7289276123047
39	1199.1279296875000	646246.4999999999990	-92.9354476928711
40	1004.4642944335937	767881.9999999999990	-92.2283706665039
