IMPEDANCE MEASUREMENT 
4/10/2023-6:55 PM
Chamber temperature (K): 293.81
Chamber pressure (MPa): -1.08
Description: 	Special_sebacate
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	824.3892822265625	-94.9145507812500
1	841523.4374999999990	979.3673706054687	-95.1291046142578
2	708164.0624999999990	1150.7918701171875	-94.3290481567383
3	595664.0624999999990	1354.4039306640625	-93.6206436157227
4	501210.9374999999990	1595.3291015625000	-93.0392456054687
5	421757.8124999999990	1895.3865966796875	-92.3090209960937
6	354960.9374999999990	7667.7416992187500	-65.7431106567383
7	298710.9374999999990	2589.1943359375000	-100.8783416748047
8	251367.1875000000000	3102.6066894531250	-99.2257080078125
9	211523.4375000000000	3702.4787597656250	-97.6406860351562
10	178007.8125000000000	4425.9677734375000	-96.9447860717773
11	149648.4375000000000	5281.1528320312500	-95.5994796752930
12	125976.5625000000000	6497.7871093750000	-94.6313858032227
13	106054.6875000000000	7413.2475585937500	-94.0126113891602
14	89179.6874999999999	8797.0410156250000	-93.1084671020508
15	75117.1874999999999	10449.6044921875000	-92.5812911987305
16	63164.0624999999999	12452.1816406250000	-92.2447662353516
17	53320.3124999999999	14757.7412109375000	-91.8431549072266
18	44882.8124999999999	17502.8164062500000	-91.4574127197266
19	37617.1874999999999	20895.0312500000000	-91.2256011962891
20	31757.8125000000000	24721.8261718750000	-90.9446945190430
21	26835.9375000000000	28584.3632812500000	-98.8388366699219
22	22617.1875000000000	34148.9765625000000	-97.5626373291016
23	18867.1875000000000	39218.5664062499999	-96.1068038940430
24	15663.1093750000000	49781.4960937499999	-95.2428131103516
25	13476.5625000000000	57769.2226562499999	-94.2532882690430
26	11089.9394531250000	70512.6171874999999	-93.4364013671875
27	9492.1875000000000	82346.4999999999999	-93.5397567749023
28	7888.7197265625000	99384.5078124999999	-92.0538711547852
29	6745.4267578125000	115288.0546875000000	-92.0493316650391
30	5602.1342773437500	138988.1718750000000	-91.2450408935547
31	4687.5000000000000	166802.7031250000000	-91.1851882934570
32	4001.5244140625000	195182.8906250000000	-90.8890457153320
33	3315.5488281250000	235824.0156250000000	-90.5546646118164
34	2790.1784667968750	272633.7812500000000	-98.4885787963867
35	2343.7500000000000	325601.9687499999990	-97.4092559814453
36	1979.1666259765625	386041.7187499999990	-96.0881271362305
37	1674.1071777343750	461650.0312499999990	-94.7524032592773
38	1417.1511230468750	544506.6874999999990	-93.8204956054687
39	1199.1279296875000	642364.4374999999990	-93.0471115112305
40	1004.4642944335937	767468.6874999999990	-92.0510559082031
