IMPEDANCE MEASUREMENT 
4/11/2023-4:02 PM
Chamber temperature (K): 298.34
Chamber pressure (MPa): -0.65
Description: 	1e-4molal_NaCl_chiller
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	705.8273925781250	-90.4636840820312
1	841523.4374999999990	833.9572143554687	-90.9189376831055
2	708164.0624999999990	979.1286621093750	-89.3814010620117
3	595664.0624999999990	6681.2421875000000	-42.2658538818359
4	501210.9374999999990	10588.7500000000000	-48.3962593078613
5	421757.8124999999990	14668.8095703125000	-52.9270782470703
6	354960.9374999999990	17943.8300781250000	-56.3834419250488
7	298710.9374999999990	2068.8181152343750	-92.2392044067383
8	251367.1875000000000	2444.3952636718750	-88.7842254638672
9	211523.4375000000000	2865.9226074218750	-85.6162338256836
10	178007.8125000000000	3378.6071777343750	-82.8298034667969
11	149648.4375000000000	3934.5822753906250	-79.4186553955078
12	125976.5625000000000	4543.7104492187500	-76.3406600952148
13	106054.6875000000000	5304.8779296875000	-73.1347274780273
14	89179.6874999999999	6156.3681640625000	-69.3319625854492
15	75117.1874999999999	7060.1826171875000	-65.6441650390625
16	63164.0624999999999	8099.9165039062500	-61.4826202392578
17	53320.3124999999999	9104.1806640625000	-57.0601654052734
18	44882.8124999999999	10177.7646484375000	-52.3686943054199
19	37617.1874999999999	11276.1435546875000	-47.3766899108887
20	31757.8125000000000	12295.6953125000000	-42.1390609741211
21	26835.9375000000000	12542.1630859375000	-50.3751106262207
22	22617.1875000000000	13396.8232421875000	-44.0088844299316
23	18867.1875000000000	14216.4365234375000	-37.7498397827148
24	15663.1093750000000	14811.2441406250000	-32.2318344116211
25	13476.5625000000000	15232.8457031250000	-28.1793880462646
26	11089.9394531250000	15876.1875000000000	-18.1429882049561
27	9492.1875000000000	16050.1464843750000	-19.8241806030273
28	7888.7197265625000	16133.6376953125000	-17.4037609100342
29	6745.4267578125000	16203.9687500000000	-14.6955804824829
30	5602.1342773437500	16431.7402343750000	-12.2723674774170
31	4687.5000000000000	16529.7460937500000	-10.5450210571289
32	4001.5244140625000	16598.2343750000000	-9.0567579269409
33	3315.5488281250000	16652.2109375000000	-7.5695409774780
34	2790.1784667968750	16690.8339843750000	-6.4269895553589
35	2343.7500000000000	16721.8203125000000	-5.4080476760864
36	1979.1666259765625	16748.4804687500000	-4.6065196990967
37	1674.1071777343750	16772.1210937500000	-3.9741396903992
38	1417.1511230468750	16773.9843750000000	-3.3743448257446
39	1199.1279296875000	16786.6738281250000	-2.8953702449799
40	1004.4642944335937	16782.2480468750000	-2.4722757339478
