IMPEDANCE MEASUREMENT 
4/11/2023-4:51 PM
Chamber temperature (K): 296.99
Chamber pressure (MPa): -0.97
Description: 	1e-4molal_NaCl_chiller
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	965.7973022460937	-89.6845779418945
1	841523.4374999999990	5646.5781250000000	-11.2160406112671
2	708164.0624999999990	7658.0253906250000	-12.6259212493896
3	595664.0624999999990	9072.4355468750000	-11.2470016479492
4	501210.9374999999990	9647.7050781250000	-13.6986112594604
5	421757.8124999999990	10812.5410156250000	-20.6762294769287
6	354960.9374999999990	12034.0166015625000	-20.4829444885254
7	298710.9374999999990	545.4503173828125	-62.8532180786133
8	251367.1875000000000	567.0347290039062	-58.4597091674805
9	211523.4375000000000	640.2398071289062	-54.7782135009766
10	178007.8125000000000	663.6699829101562	-51.4082412719727
11	149648.4375000000000	748.7518310546875	-48.6237525939941
12	125976.5625000000000	762.9566650390625	-47.3859596252441
13	106054.6875000000000	855.6887207031250	-45.6224174499512
14	89179.6874999999999	748.4808349609375	-42.4683685302734
15	75117.1874999999999	802.9915161132812	-41.4287757873535
16	63164.0624999999999	861.9711303710937	-40.5178718566895
17	53320.3124999999999	925.4191284179687	-39.7369995117187
18	44882.8124999999999	992.3679809570312	-38.8420333862305
19	37617.1874999999999	1065.6398925781250	-38.0845336914062
20	31757.8125000000000	1142.8884277343750	-37.3590583801270
21	26835.9375000000000	1222.3051757812500	-36.7790603637695
22	22617.1875000000000	1309.1065673828125	-35.9993820190430
23	18867.1875000000000	1412.0756835937500	-35.4272956848145
24	15663.1093750000000	1513.1968994140625	-34.4432334899902
25	13476.5625000000000	1602.3734130859375	-33.6184654235840
26	11089.9394531250000	1728.4483642578125	-32.9931449890137
27	9492.1875000000000	1831.3464355468750	-32.2751617431641
