IMPEDANCE MEASUREMENT 
4/11/2023-1:25 PM
Chamber temperature (K): 298.02
Chamber pressure (MPa): -0.63
Description: 	Special_DIwater
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	695.1050415039062	-59.0772361755371
1	841523.4374999999990	771.4560546875000	-55.9695358276367
2	708164.0624999999990	839.6350708007812	-49.8493576049805
3	595664.0624999999990	904.1262817382812	-44.7206001281738
4	501210.9374999999990	962.0843505859375	-39.0837364196777
5	421757.8124999999990	1012.1813964843750	-34.0723419189453
6	354960.9374999999990	1056.8466796875000	-29.6411514282227
7	298710.9374999999990	1081.8974609375000	-25.4797763824463
8	251367.1875000000000	1110.4777832031250	-21.9036769866943
9	211523.4375000000000	1135.1080322265625	-18.4897270202637
10	178007.8125000000000	1144.2073974609375	-15.9587802886963
11	149648.4375000000000	1152.8172607421875	-13.3001031875610
12	125976.5625000000000	1165.4591064453125	-11.3553609848022
13	106054.6875000000000	1167.9091796875000	-9.7543668746948
14	89179.6874999999999	1173.7344970703125	-8.1216182708740
15	75117.1874999999999	1176.6877441406250	-9.0020856857300
16	63164.0624999999999	1178.6807861328125	-7.5710759162903
17	53320.3124999999999	1181.2550048828125	-6.4339027404785
18	44882.8124999999999	1182.6181640625000	-5.4379997253418
19	37617.1874999999999	1183.8074951171875	-4.5819325447083
20	31757.8125000000000	1184.5384521484375	-3.8782577514648
21	26835.9375000000000	1185.7929687500000	-3.2518541812897
22	22617.1875000000000	1185.5623779296875	-2.7978076934814
23	18867.1875000000000	1192.5043945312500	-2.0999066829681
24	15663.1093750000000	1186.5556640625000	-1.9769257307053
25	13476.5625000000000	1186.3275146484375	-1.7279458045959
26	11089.9394531250000	1186.7802734375000	-1.4449383020401
27	9492.1875000000000	1186.9979248046875	-1.2841572761536
28	7888.7197265625000	1185.2379150390625	-1.0643696784973
29	6745.4267578125000	1188.8447265625000	-0.9127190709114
30	5602.1342773437500	1187.1831054687500	-0.8803592920303
31	4687.5000000000000	1187.5218505859375	-0.7957139611244
32	4001.5244140625000	1187.7845458984375	-0.7497912645340
33	3315.5488281250000	1187.9864501953125	-0.7137973308563
34	2790.1784667968750	1188.1093750000000	-0.6998546123505
35	2343.7500000000000	1188.4937744140625	-0.7035407423973
36	1979.1666259765625	1188.8417968750000	-0.7280974984169
37	1674.1071777343750	1189.1213378906250	-0.7652207016945
38	1417.1511230468750	1189.5520019531250	-0.8197498321533
39	1199.1279296875000	1189.8220214843750	-0.8967546820641
40	1004.4642944335937	1190.2691650390625	-0.9931855797768
