IMPEDANCE MEASUREMENT 
4/11/2023-1:25 PM
Chamber temperature (K): 298.00
Chamber pressure (MPa): -0.64
Description: 	Special_DIwater
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	696.9631958007812	-58.9397430419922
1	841523.4374999999990	774.1793212890625	-55.7145080566406
2	708164.0624999999990	844.7037353515625	-50.1019058227539
3	595664.0624999999990	903.8933715820312	-44.5332984924316
4	501210.9374999999990	964.0327758789062	-39.0419006347656
5	421757.8124999999990	1013.2668457031250	-34.0876617431641
6	354960.9374999999990	1054.5886230468750	-29.6370677947998
7	298710.9374999999990	1087.2264404296875	-25.4609794616699
8	251367.1875000000000	1112.7755126953125	-21.6861610412598
9	211523.4375000000000	1135.2934570312500	-18.5601367950439
10	178007.8125000000000	1145.9969482421875	-15.5429630279541
11	149648.4375000000000	1153.7634277343750	-13.3490524291992
12	125976.5625000000000	1172.4306640625000	-11.5653581619263
13	106054.6875000000000	1168.8225097656250	-9.4642477035522
14	89179.6874999999999	1174.3461914062500	-8.0802812576294
15	75117.1874999999999	1177.0083007812500	-8.9642057418823
16	63164.0624999999999	1180.2053222656250	-7.5535993576050
17	53320.3124999999999	1181.8348388671875	-6.4031548500061
18	44882.8124999999999	1183.2586669921875	-5.4121870994568
19	37617.1874999999999	1184.3858642578125	-4.5432434082031
20	31757.8125000000000	1185.1838378906250	-3.8535962104797
21	26835.9375000000000	1185.9182128906250	-3.2962393760681
22	22617.1875000000000	1186.0681152343750	-2.7803509235382
23	18867.1875000000000	1186.6530761718750	-2.3507146835327
24	15663.1093750000000	1187.0122070312500	-1.9898282289505
25	13476.5625000000000	1187.1745605468750	-1.7217445373535
26	11089.9394531250000	1187.6975097656250	-1.4522215127945
27	9492.1875000000000	1187.5104980468750	-1.2801173925400
28	7888.7197265625000	1187.7519531250000	-1.1008685827255
29	6745.4267578125000	1187.8251953125000	-0.9697100520134
30	5602.1342773437500	1187.7637939453125	-0.8826816678047
31	4687.5000000000000	1188.2303466796875	-0.7985866069794
32	4001.5244140625000	1188.3618164062500	-0.7468438744545
33	3315.5488281250000	1188.6269531250000	-0.7148482799530
34	2790.1784667968750	1188.7874755859375	-0.7006049752235
35	2343.7500000000000	1189.0548095703125	-0.7077484130859
36	1979.1666259765625	1189.5554199218750	-0.7252386808395
37	1674.1071777343750	1189.8408203125000	-0.7673858404160
38	1417.1511230468750	1190.3485107421875	-0.8208733201027
39	1199.1279296875000	1190.7005615234375	-0.8971581459045
40	1004.4642944335937	1191.2041015625000	-0.9999730587006
