IMPEDANCE MEASUREMENT 
4/11/2023-11:34 AM
Chamber temperature (K): 296.12
Chamber pressure (MPa): -0.63
Description: 	Special_chillerFluid_inChiller
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	4.5287842750549	57.1476860046387
1	841523.4374999999990	3.8790264129639	53.1673355102539
2	708164.0624999999990	3.3917753696442	48.9506454467773
3	595664.0624999999990	3.0210211277008	44.4405632019043
4	501210.9374999999990	2.7399728298187	39.7665710449219
5	421757.8124999999990	2.5271637439728	35.0604782104492
6	354960.9374999999990	2.3669657707214	30.4162616729736
7	298710.9374999999990	2.2485561370850	25.9562683105469
8	251367.1875000000000	2.1606183052063	21.7002410888672
9	211523.4375000000000	2.0981304645538	17.7571601867676
10	178007.8125000000000	2.0544414520264	14.0466127395630
11	149648.4375000000000	2.0239734649658	10.6198129653931
12	125976.5625000000000	2.0065102577209	7.4093956947327
13	106054.6875000000000	1.9996789693832	4.5264921188354
14	89179.6874999999999	1.9975858926773	1.6010882854462
15	75117.1874999999999	2.0050897598267	-1.1309930086136
16	63164.0624999999999	2.0197141170502	-3.8221507072449
17	53320.3124999999999	2.0409276485443	-6.4258546829224
18	44882.8124999999999	2.0697917938232	-9.0722675323486
19	37617.1874999999999	2.1075384616852	-11.8331460952759
20	31757.8125000000000	2.1522543430328	-14.5498981475830
21	26835.9375000000000	2.2069914340973	-17.3598403930664
22	22617.1875000000000	2.2741699218750	-20.3478717803955
23	18867.1875000000000	2.3614144325256	-23.6981754302979
24	15663.1093750000000	2.4720072746277	-27.3247585296631
25	13476.5625000000000	2.5809216499329	-30.3947811126709
26	11089.9394531250000	2.7548246383667	-34.5664176940918
27	9492.1875000000000	2.9259483814240	-37.9842491149902
28	7888.7197265625000	3.1767168045044	-42.1330184936523
29	6745.4267578125000	3.4348850250244	-45.6420631408691
30	5602.1342773437500	3.8106212615967	-49.7129478454590
31	4687.5000000000000	4.2533044815063	-53.4735755920410
32	4001.5244140625000	4.7271161079407	-56.6347999572754
33	3315.5488281250000	5.4053702354431	-60.1269416809082
34	2790.1784667968750	6.1571569442749	-63.0590133666992
35	2343.7500000000000	7.0650014877319	-65.7353134155273
36	1979.1666259765625	8.1102905273437	-68.0578308105469
37	1674.1071777343750	9.3344030380249	-70.1118774414062
38	1417.1511230468750	10.7659311294556	-71.9183502197266
39	1199.1279296875000	12.4523324966431	-73.5219573974609
40	1004.4642944335937	14.5628633499146	-75.0078125000000
