IMPEDANCE MEASUREMENT 
4/11/2023-11:47 AM
Chamber temperature (K): 298.24
Chamber pressure (MPa): -0.81
Description: 	Special_chillerFluid_inChiller
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	4.4859256744385	57.4435234069824
1	841523.4374999999990	3.8411514759064	53.4800224304199
2	708164.0624999999990	3.3549914360046	49.2573051452637
3	595664.0624999999990	2.9835357666016	44.7678565979004
4	501210.9374999999990	2.7043411731720	40.1094703674316
5	421757.8124999999990	2.4920783042908	35.3944740295410
6	354960.9374999999990	2.3319592475891	30.6966361999512
7	298710.9374999999990	2.2128233909607	26.2355823516846
8	251367.1875000000000	2.1243374347687	21.9679698944092
9	211523.4375000000000	2.0618817806244	17.9692802429199
10	178007.8125000000000	2.0166573524475	14.2473554611206
11	149648.4375000000000	1.9869108200073	10.7505254745483
12	125976.5625000000000	1.9695532321930	7.5591239929199
13	106054.6875000000000	1.9615036249161	4.5862083435059
14	89179.6874999999999	1.9592424631119	1.6437634229660
15	75117.1874999999999	1.9667332172394	-1.1277205944061
16	63164.0624999999999	1.9813001155853	-3.8497366905212
17	53320.3124999999999	2.0021278858185	-6.4787774085999
18	44882.8124999999999	2.0308983325958	-9.1514482498169
19	37617.1874999999999	2.0683219432831	-11.9428710937500
20	31757.8125000000000	2.1127746105194	-14.6892099380493
21	26835.9375000000000	2.1670243740082	-17.5199356079102
22	22617.1875000000000	2.2335584163666	-20.5388603210449
23	18867.1875000000000	2.3204545974731	-23.9181308746338
24	15663.1093750000000	2.4308111667633	-27.5637588500977
25	13476.5625000000000	2.5387144088745	-30.6684494018555
26	11089.9394531250000	2.7120909690857	-34.8500480651855
27	9492.1875000000000	2.8821585178375	-38.2946395874023
28	7888.7197265625000	3.1313169002533	-42.4527664184570
29	6745.4267578125000	3.3893933296204	-45.9545326232910
30	5602.1342773437500	3.7625131607056	-50.0378761291504
31	4687.5000000000000	4.2035093307495	-53.7998504638672
32	4001.5244140625000	4.6746582984924	-56.9569473266602
33	3315.5488281250000	5.3495597839355	-60.4360122680664
34	2790.1784667968750	6.0973143577576	-63.3510894775391
35	2343.7500000000000	7.0004701614380	-66.0181045532227
36	1979.1666259765625	8.0399150848389	-68.3298416137695
37	1674.1071777343750	9.2569637298584	-70.3552169799805
38	1417.1511230468750	10.6820449829102	-72.1623611450195
39	1199.1279296875000	12.3589391708374	-73.7441558837891
40	1004.4642944335937	14.4526653289795	-75.2243347167969
