IMPEDANCE MEASUREMENT 
4/11/2023-11:26 AM
Chamber temperature (K): 296.13
Chamber pressure (MPa): -0.31
Description: 	Special_chillerFluid_sampleCham
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	4.6057105064392	57.4949913024902
1	841523.4374999999990	3.9308834075928	53.7651748657227
2	708164.0624999999990	3.4229087829590	49.6728401184082
3	595664.0624999999990	3.0368409156799	45.2339477539062
4	501210.9374999999990	2.7443635463715	40.6246376037598
5	421757.8124999999990	2.5234315395355	35.8880500793457
6	354960.9374999999990	2.3569293022156	31.2201652526855
7	298710.9374999999990	2.2334172725677	26.6910343170166
8	251367.1875000000000	2.1411411762238	22.4022178649902
9	211523.4375000000000	2.0758082866669	18.3524761199951
10	178007.8125000000000	2.0284514427185	14.5668439865112
11	149648.4375000000000	1.9980159997940	11.0628328323364
12	125976.5625000000000	1.9788671731949	7.8190832138062
13	106054.6875000000000	1.9708533287048	4.7837352752686
14	89179.6874999999999	1.9681971073151	1.8656337261200
15	75117.1874999999999	1.9751427173615	-0.9232842326164
16	63164.0624999999999	1.9892083406448	-3.6590931415558
17	53320.3124999999999	2.0100536346436	-6.3032398223877
18	44882.8124999999999	2.0385668277740	-8.9833469390869
19	37617.1874999999999	2.0758335590363	-11.7877454757690
20	31757.8125000000000	2.1201941967010	-14.5432682037354
21	26835.9375000000000	2.1742355823517	-17.3731365203857
22	22617.1875000000000	2.2410204410553	-20.3956966400146
23	18867.1875000000000	2.3276736736298	-23.7605037689209
24	15663.1093750000000	2.4376618862152	-27.4069728851318
25	13476.5625000000000	2.5462131500244	-30.5014247894287
26	11089.9394531250000	2.7188935279846	-34.6773300170898
27	9492.1875000000000	2.8894774913788	-38.0999870300293
28	7888.7197265625000	3.1379146575928	-42.2496261596680
29	6745.4267578125000	3.3952736854553	-45.7501220703125
30	5602.1342773437500	3.7682881355286	-49.7997322082520
31	4687.5000000000000	4.2083406448364	-53.5411109924316
32	4001.5244140625000	4.6779880523682	-56.6817054748535
33	3315.5488281250000	5.3507561683655	-60.1462478637695
34	2790.1784667968750	6.0953774452209	-63.0422477722168
35	2343.7500000000000	6.9941225051880	-65.6885452270508
36	1979.1666259765625	8.0298948287964	-67.9861526489258
37	1674.1071777343750	9.2387409210205	-70.0047225952148
38	1417.1511230468750	10.6536064147949	-71.7915344238281
39	1199.1279296875000	12.3198814392090	-73.3585281372070
40	1004.4642944335937	14.4001302719116	-74.8239974975586
