IMPEDANCE MEASUREMENT 
4/11/2023-11:26 AM
Chamber temperature (K): 296.11
Chamber pressure (MPa): -0.48
Description: 	Special_chillerFluid_sampleCham
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	4.6046133041382	57.4630165100098
1	841523.4374999999990	3.9303443431854	53.7528495788574
2	708164.0624999999990	3.4245252609253	49.6307792663574
3	595664.0624999999990	3.0376744270325	45.2029037475586
4	501210.9374999999990	2.7458593845367	40.5354080200195
5	421757.8124999999990	2.5246946811676	35.8577880859375
6	354960.9374999999990	2.3580245971680	31.1932468414307
7	298710.9374999999990	2.2345070838928	26.6872673034668
8	251367.1875000000000	2.1431610584259	22.3689556121826
9	211523.4375000000000	2.0773441791534	18.3372879028320
10	178007.8125000000000	2.0310978889465	14.5195655822754
11	149648.4375000000000	1.9992408752441	11.0532770156860
12	125976.5625000000000	1.9805693626404	7.8026127815247
13	106054.6875000000000	1.9732248783112	4.7713823318481
14	89179.6874999999999	1.9699622392654	1.8503335714340
15	75117.1874999999999	1.9769972562790	-0.9404808282852
16	63164.0624999999999	1.9911156892776	-3.6806168556213
17	53320.3124999999999	2.0119867324829	-6.3233971595764
18	44882.8124999999999	2.0403392314911	-9.0131225585937
19	37617.1874999999999	2.0778079032898	-11.8072395324707
20	31757.8125000000000	2.1222987174988	-14.5593099594116
21	26835.9375000000000	2.1766681671143	-17.4035720825195
22	22617.1875000000000	2.2436342239380	-20.4199714660645
23	18867.1875000000000	2.3300330638885	-23.7889404296875
24	15663.1093750000000	2.4409651756287	-27.4370231628418
25	13476.5625000000000	2.5495254993439	-30.5384292602539
26	11089.9394531250000	2.7226219177246	-34.7200202941895
27	9492.1875000000000	2.8939552307129	-38.1537322998047
28	7888.7197265625000	3.1432523727417	-42.3052062988281
29	6745.4267578125000	3.4015488624573	-45.8039894104004
30	5602.1342773437500	3.7754967212677	-49.8798179626465
31	4687.5000000000000	4.2167601585388	-53.6074867248535
32	4001.5244140625000	4.6883964538574	-56.7529029846191
33	3315.5488281250000	5.3632960319519	-60.2237014770508
34	2790.1784667968750	6.1118450164795	-63.1208801269531
35	2343.7500000000000	7.0139126777649	-65.7714004516602
36	1979.1666259765625	8.0537929534912	-68.0675125122070
37	1674.1071777343750	9.2680654525757	-70.0928421020508
38	1417.1511230468750	10.6906728744507	-71.8803634643555
39	1199.1279296875000	12.3631029129028	-73.4678192138672
40	1004.4642944335937	14.4584522247314	-74.9222183227539
