IMPEDANCE MEASUREMENT 
4/12/2023-9:51 AM
Chamber temperature (K): 296.33
Chamber pressure (MPa): -0.94
Description: 	1e-4_NaCl_Chiller
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	724.2308959960937	-89.2594299316406
1	841523.4374999999990	846.6762695312500	-89.4102706909180
2	708164.0624999999990	985.9275512695312	-87.8376388549805
3	595664.0624999999990	5464.3305664062500	-38.8561210632324
4	501210.9374999999990	7796.7451171875000	-45.0817794799805
5	421757.8124999999990	10991.8369140625000	-49.9324836730957
6	354960.9374999999990	14361.1572265625000	-53.0237998962402
7	298710.9374999999990	2040.1660156250000	-90.0808334350586
8	251367.1875000000000	2410.1506347656250	-86.4223632812500
9	211523.4375000000000	2836.5361328125000	-82.8997497558594
10	178007.8125000000000	3314.3857421875000	-79.0948486328125
11	149648.4375000000000	3871.1364746093750	-75.4830856323242
12	125976.5625000000000	4454.9667968750000	-71.6286468505859
13	106054.6875000000000	5156.5468750000000	-67.6118392944336
14	89179.6874999999999	5876.7153320312500	-62.9190864562988
15	75117.1874999999999	6635.3095703125000	-58.3342323303223
16	63164.0624999999999	7452.4653320312500	-53.3796272277832
17	53320.3124999999999	8194.0126953125000	-48.5711441040039
18	44882.8124999999999	8956.5214843750000	-43.4482269287109
19	37617.1874999999999	9595.9160156250000	-38.5371894836426
20	31757.8125000000000	10148.3134765625000	-33.9548149108887
21	26835.9375000000000	10154.8750000000000	-41.8906440734863
22	22617.1875000000000	10625.2666015625000	-36.3330802917480
23	18867.1875000000000	11784.1611328125000	-26.9431838989258
24	15663.1093750000000	11345.0312500000000	-26.0523853302002
25	13476.5625000000000	11541.0253906250000	-22.7444076538086
26	11089.9394531250000	11734.9287109375000	-18.9442558288574
27	9492.1875000000000	11846.8759765625000	-16.4337425231934
28	7888.7197265625000	11996.2275390625000	-13.7627191543579
29	6745.4267578125000	12018.1474609375000	-11.7678966522217
30	5602.1342773437500	12130.1875000000000	-9.9551362991333
31	4687.5000000000000	12162.9462890625000	-8.4005374908447
32	4001.5244140625000	12194.4091796875000	-7.2272596359253
33	3315.5488281250000	12224.4589843750000	-6.0501461029053
34	2790.1784667968750	12245.1689453125000	-5.1407775878906
35	2343.7500000000000	12262.8525390625000	-4.3661112785339
36	1979.1666259765625	12277.3769531250000	-3.7414872646332
37	1674.1071777343750	12294.3398437500000	-3.1758565902710
38	1417.1511230468750	12295.8662109375000	-2.7561984062195
39	1199.1279296875000	12293.0156250000000	-2.4047436714172
40	1004.4642944335937	12319.5917968750000	-2.0700833797455
