IMPEDANCE MEASUREMENT 
4/12/2023-10:40 AM
Chamber temperature (K): 293.30
Chamber pressure (MPa): -0.99
Description: 	1e-4_NaCl_outsideChiller
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	725.6503906250000	-89.2453918457031
1	841523.4374999999990	849.8457031250000	-89.7588958740234
2	708164.0624999999990	990.5717773437500	-87.8969573974609
3	595664.0624999999990	7900.5395507812500	-35.2178268432617
4	501210.9374999999990	11811.4736328125000	-43.5352096557617
5	421757.8124999999990	15862.2626953125000	-49.5895423889160
6	354960.9374999999990	19697.2460937500000	-52.9264450073242
7	298710.9374999999990	2065.6926269531250	-90.3872299194336
8	251367.1875000000000	2432.7348632812500	-86.6335754394531
9	211523.4375000000000	2841.8027343750000	-83.2565078735352
10	178007.8125000000000	3329.8217773437500	-79.8251800537109
11	149648.4375000000000	3890.7536621093750	-76.0453109741211
12	125976.5625000000000	4466.5170898437500	-72.3645629882812
13	106054.6875000000000	5209.4790039062500	-68.3563003540039
14	89179.6874999999999	5955.6264648437500	-64.1890411376953
15	75117.1874999999999	6775.2114257812500	-59.7566452026367
16	63164.0624999999999	7598.7587890625000	-54.7992591857910
17	53320.3124999999999	8406.8759765625000	-50.0551795959473
18	44882.8124999999999	9204.0371093750000	-45.0069427490234
19	37617.1874999999999	9939.5371093750000	-39.9722251892090
20	31757.8125000000000	10574.0263671875000	-35.4041748046875
21	26835.9375000000000	10639.2617187500000	-43.2393760681152
22	22617.1875000000000	11167.8740234375000	-37.3182411193848
23	18867.1875000000000	11574.4921875000000	-31.6438789367676
24	15663.1093750000000	11962.1640625000000	-26.9558715820312
25	13476.5625000000000	12182.7988281250000	-23.3925838470459
26	11089.9394531250000	12401.6240234375000	-19.5000724792480
27	9492.1875000000000	12543.9960937500000	-16.8351879119873
28	7888.7197265625000	12697.2656250000000	-14.2216405868530
29	6745.4267578125000	12739.1630859375000	-12.3559007644653
30	5602.1342773437500	12811.9677734375000	-10.3089447021484
31	4687.5000000000000	12878.3232421875000	-8.7082357406616
32	4001.5244140625000	12917.8945312500000	-7.4714241027832
33	3315.5488281250000	12948.4130859375000	-6.2489118576050
34	2790.1784667968750	12977.5546875000000	-5.3062062263489
35	2343.7500000000000	12986.9355468750000	-4.5056233406067
36	1979.1666259765625	13002.7802734375000	-3.8638184070587
37	1674.1071777343750	13017.4843750000000	-3.3000583648682
38	1417.1511230468750	13025.8593750000000	-2.8457529544830
39	1199.1279296875000	13036.8056640625000	-2.4465248584747
40	1004.4642944335937	13051.5566406250000	-2.1041152477264
