IMPEDANCE MEASUREMENT 
4/12/2023-11:17 AM
Chamber temperature (K): 291.32
Chamber pressure (MPa): -0.99
Description: 	1e-4_NaCl_outsideChiller
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	742.0745239257812	-89.4840164184570
1	841523.4374999999990	867.6607666015625	-89.7474746704102
2	708164.0624999999990	1009.3892211914062	-88.0645980834961
3	595664.0624999999990	8425.4648437500000	-32.4779167175293
4	501210.9374999999990	12420.8447265625000	-43.2711830139160
5	421757.8124999999990	16539.4042968750000	-49.3371353149414
6	354960.9374999999990	20417.0820312500000	-53.6372909545898
7	298710.9374999999990	2088.1264648437500	-89.8952865600586
8	251367.1875000000000	2454.9379882812500	-86.5687408447266
9	211523.4375000000000	2878.8032226562500	-83.0835800170898
10	178007.8125000000000	3372.1059570312500	-79.6810302734375
11	149648.4375000000000	3938.2819824218750	-76.0201721191406
12	125976.5625000000000	4538.6435546875000	-72.4102249145508
13	106054.6875000000000	5263.4428710937500	-68.3569641113281
14	89179.6874999999999	6022.5400390625000	-64.5998611450195
15	75117.1874999999999	6833.8828125000000	-60.2605552673340
16	63164.0624999999999	7698.6083984375000	-55.7005729675293
17	53320.3124999999999	8553.0312500000000	-50.8541221618652
18	44882.8124999999999	9375.8632812500000	-45.9400215148926
19	37617.1874999999999	10201.0957031250000	-40.8328552246094
20	31757.8125000000000	10874.4638671875000	-36.2687911987305
21	26835.9375000000000	10943.7080078125000	-43.9691467285156
22	22617.1875000000000	11520.2392578125000	-38.1526603698730
23	18867.1875000000000	11994.7822265625000	-33.4620552062988
24	15663.1093750000000	12374.0126953125000	-27.5299263000488
25	13476.5625000000000	12614.5957031250000	-24.0839920043945
26	11089.9394531250000	12888.3925781250000	-19.9476928710937
27	9492.1875000000000	13042.0673828125000	-17.4996623992920
28	7888.7197265625000	13200.3681640625000	-14.5370540618896
29	6745.4267578125000	13215.6679687500000	-12.4348917007446
30	5602.1342773437500	13322.5791015625000	-10.4719476699829
31	4687.5000000000000	13381.1025390625000	-8.8360824584961
32	4001.5244140625000	13420.1923828125000	-7.5928368568420
33	3315.5488281250000	13456.9873046875000	-6.3429980278015
34	2790.1784667968750	13471.9765625000000	-5.3779425621033
35	2343.7500000000000	13495.5839843750000	-4.5423755645752
36	1979.1666259765625	13504.6484375000000	-3.9005234241486
37	1674.1071777343750	13528.7607421875000	-3.3139610290527
38	1417.1511230468750	13525.8320312500000	-2.8580887317657
39	1199.1279296875000	13538.1777343750000	-2.4592237472534
40	1004.4642944335937	13533.9101562500000	-2.1193087100983
