IMPEDANCE MEASUREMENT 
4/12/2023-12:56 PM
Chamber temperature (K): 287.26
Chamber pressure (MPa): -0.74
Description: 	1e-4_NaCl_outsideChiller
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	748.8275146484375	-91.8280029296875
1	841523.4374999999990	889.7800292968750	-91.8273696899414
2	708164.0624999999990	5931.5361328125000	-31.7467079162598
3	595664.0624999999990	10047.5576171875000	-38.3570556640625
4	501210.9374999999990	13703.0361328125000	-47.2025756835937
5	421757.8124999999990	17805.0703125000000	-52.5836677551270
6	354960.9374999999990	21935.2285156250000	-56.0002288818359
7	298710.9374999999990	2280.2451171875000	-90.5552825927734
8	251367.1875000000000	2693.5874023437500	-86.7114715576172
9	211523.4375000000000	3178.0871582031250	-82.9840011596680
10	178007.8125000000000	3736.5480957031250	-79.4536209106445
11	149648.4375000000000	4323.3627929687500	-74.9616699218750
12	125976.5625000000000	4980.2338867187500	-70.6791915893555
13	106054.6875000000000	5773.2475585937500	-66.7280960083008
14	89179.6874999999999	6569.0029296875000	-62.0247306823730
15	75117.1874999999999	7393.0043945312500	-57.2326507568359
16	63164.0624999999999	8241.4287109375000	-52.0952491760254
17	53320.3124999999999	9020.2929687500000	-47.2475395202637
18	44882.8124999999999	9779.4267578125000	-42.3848838806152
19	37617.1874999999999	10466.0654296875000	-37.1865158081055
20	31757.8125000000000	11044.7128906250000	-33.0340156555176
21	26835.9375000000000	10979.9013671875000	-38.5806312561035
22	22617.1875000000000	11446.7529296875000	-33.4827346801758
23	18867.1875000000000	11815.7988281250000	-29.8933563232422
24	15663.1093750000000	12206.7109375000000	-24.4421615600586
25	13476.5625000000000	12412.2558593750000	-21.4423789978027
26	11089.9394531250000	12649.5351562500000	-18.0758991241455
27	9492.1875000000000	12790.1728515625000	-15.7636985778809
28	7888.7197265625000	12883.3544921875000	-13.4915399551392
29	6745.4267578125000	13048.0234375000000	-11.7772588729858
30	5602.1342773437500	13150.6406250000000	-9.8968820571899
31	4687.5000000000000	13193.3574218750000	-8.4901027679443
32	4001.5244140625000	13249.4375000000000	-7.3969588279724
33	3315.5488281250000	13299.9082031250000	-6.3213777542114
34	2790.1784667968750	13342.3867187500000	-5.4759883880615
35	2343.7500000000000	13377.7294921875000	-4.7397184371948
36	1979.1666259765625	13404.5742187500000	-4.1704111099243
37	1674.1071777343750	13437.3730468750000	-3.6711022853851
38	1417.1511230468750	13467.2744140625000	-3.2351520061493
39	1199.1279296875000	13494.3056640625000	-2.8895962238312
40	1004.4642944335937	13473.2998046875000	-2.5649197101593
