IMPEDANCE MEASUREMENT 
4/12/2023-2:05 PM
Chamber temperature (K): 282.25
Chamber pressure (MPa): -0.43
Description: 	1e-4_NaCl_outsideChiller
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	751.6824951171875	-89.8018035888672
1	841523.4374999999990	876.2366943359375	-89.2127456665039
2	708164.0624999999990	6680.6367187500000	-26.3205394744873
3	595664.0624999999990	11117.3535156250000	-34.1731529235840
4	501210.9374999999990	15176.9082031250000	-42.3719673156738
5	421757.8124999999990	19191.3398437500000	-46.9972229003906
6	354960.9374999999990	23093.5703125000000	-51.2757225036621
7	298710.9374999999990	2053.7934570312500	-84.9471054077148
8	251367.1875000000000	2385.2312011718750	-80.9647293090820
9	211523.4375000000000	2768.0913085937500	-76.6028366088867
10	178007.8125000000000	3188.3254394531250	-72.4028244018555
11	149648.4375000000000	3654.8078613281250	-67.7457733154297
12	125976.5625000000000	4179.6406250000000	-63.6158294677734
13	106054.6875000000000	4646.2041015625000	-59.2182464599609
14	89179.6874999999999	5181.3256835937500	-54.3322334289551
15	75117.1874999999999	5688.7343750000000	-49.8893814086914
16	63164.0624999999999	6187.3955078125000	-45.4862442016602
17	53320.3124999999999	6641.9956054687500	-41.4318580627441
18	44882.8124999999999	7062.8032226562500	-37.5935974121094
19	37617.1874999999999	7445.8999023437500	-33.8361434936523
20	31757.8125000000000	7853.1616210937500	-30.8700580596924
21	26835.9375000000000	4688.3940429687500	-45.4121780395508
22	22617.1875000000000	5008.7133789062500	-41.8875236511230
23	18867.1875000000000	5196.8232421875000	-39.0939826965332
24	15663.1093750000000	5651.4682617187500	-35.7078781127930
25	13476.5625000000000	5916.1235351562500	-33.6280097961426
26	11089.9394531250000	6255.6250000000000	-31.1943969726562
27	9492.1875000000000	6528.1518554687500	-29.5403347015381
28	7888.7197265625000	6852.3500976562500	-27.6686573028564
29	6745.4267578125000	7107.7832031250000	-26.4283828735352
30	5602.1342773437500	7454.0488281250000	-24.8242797851562
31	4687.5000000000000	7779.9770507812500	-23.4980182647705
32	4001.5244140625000	8070.1977539062500	-22.3537807464600
33	3315.5488281250000	8405.2441406250000	-21.0657329559326
34	2790.1784667968750	8717.8486328125000	-19.9298858642578
35	2343.7500000000000	9018.7314453125000	-18.8299713134766
36	1979.1666259765625	9304.0224609375000	-17.7891559600830
37	1674.1071777343750	9576.4365234375000	-16.8246192932129
38	1417.1511230468750	9841.7607421875000	-15.8822431564331
39	1199.1279296875000	10089.1386718750000	-15.0331573486328
40	1004.4642944335937	10408.0400390625000	-14.1583499908447
