IMPEDANCE MEASUREMENT 
4/12/2023-9:38 AM
Chamber temperature (K): 296.43
Chamber pressure (MPa): -0.34
Description: 	1e-4_NaCl_outsideChiller
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	766.0796508789062	-90.6385879516602
1	841523.4374999999990	902.6232299804687	-91.2992706298828
2	708164.0624999999990	1058.9091796875000	-89.6972045898437
3	595664.0624999999990	1255.9812011718750	-88.1729278564453
4	501210.9374999999990	3955.3623046875000	-45.4372329711914
5	421757.8124999999990	5182.8452148437500	-53.5474205017090
6	354960.9374999999990	6741.8608398437500	-57.8110275268555
7	298710.9374999999990	2365.5566406250000	-90.5786895751953
8	251367.1875000000000	2806.9226074218750	-87.2242736816406
9	211523.4375000000000	3308.1772460937500	-83.1741943359375
10	178007.8125000000000	3837.4355468750000	-79.1220321655273
11	149648.4375000000000	4566.8984375000000	-74.8567810058594
12	125976.5625000000000	5247.9096679687500	-70.8383331298828
13	106054.6875000000000	6086.9560546875000	-66.0934143066406
14	89179.6874999999999	6914.8291015625000	-61.1706161499023
15	75117.1874999999999	7767.1621093750000	-56.1182479858398
16	63164.0624999999999	8647.6025390625000	-50.7220878601074
17	53320.3124999999999	9422.4472656250000	-45.7549133300781
18	44882.8124999999999	10146.8037109375000	-40.5749511718750
19	37617.1874999999999	10817.6523437500000	-35.5195999145508
20	31757.8125000000000	11337.6240234375000	-31.0498828887939
21	26835.9375000000000	11478.0498046875000	-35.6703071594238
22	22617.1875000000000	11875.6660156250000	-30.7014198303223
23	18867.1875000000000	12135.2343750000000	-30.4263038635254
24	15663.1093750000000	12492.9765625000000	-21.7769908905029
25	13476.5625000000000	12630.2705078125000	-18.8196907043457
26	11089.9394531250000	12769.5312500000000	-15.5838890075684
27	9492.1875000000000	12844.3242187500000	-13.3978099822998
28	7888.7197265625000	12927.3867187500000	-11.1707868576050
29	6745.4267578125000	12974.0742187500000	-9.4790744781494
30	5602.1342773437500	13032.5517578125000	-8.0163440704346
31	4687.5000000000000	13041.5507812500000	-6.6956911087036
32	4001.5244140625000	13063.8710937500000	-5.7444586753845
33	3315.5488281250000	13079.8359375000000	-4.7847008705139
34	2790.1784667968750	13087.1845703125000	-4.0658631324768
35	2343.7500000000000	13093.1640625000000	-3.4410352706909
36	1979.1666259765625	13105.0546875000000	-2.9459059238434
37	1674.1071777343750	13101.5156250000000	-2.5344514846802
38	1417.1511230468750	13112.1445312500000	-2.1668083667755
39	1199.1279296875000	13118.2099609375000	-1.8605701923370
40	1004.4642944335937	13115.7119140625000	-1.6250090599060
