IMPEDANCE MEASUREMENT 
4/11/2023-4:03 PM
Chamber temperature (K): 298.35
Chamber pressure (MPa): -1.23
Description: 	1e-4molal_NaCl_chiller
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	707.2434082031250	-90.9382247924805
1	841523.4374999999990	835.2065429687500	-91.0016937255859
2	708164.0624999999990	978.4143066406250	-89.3657684326172
3	595664.0624999999990	6657.0258789062500	-42.2701988220215
4	501210.9374999999990	10601.4882812500000	-48.0623474121094
5	421757.8124999999990	14672.4609375000000	-53.2557487487793
6	354960.9374999999990	18362.3964843750000	-56.6713256835937
7	298710.9374999999990	2066.6616210937500	-92.1812515258789
8	251367.1875000000000	2446.1921386718750	-88.8283920288086
9	211523.4375000000000	2863.7124023437500	-85.9381027221680
10	178007.8125000000000	3352.7202148437500	-82.7052001953125
11	149648.4375000000000	3931.4130859375000	-79.3278198242187
12	125976.5625000000000	4580.6440429687500	-76.6181564331055
13	106054.6875000000000	5309.3784179687500	-73.1675033569336
14	89179.6874999999999	6147.6669921875000	-69.3437652587891
15	75117.1874999999999	7044.8129882812500	-65.5441207885742
16	63164.0624999999999	8065.0776367187500	-61.3471984863281
17	53320.3124999999999	9104.1640625000000	-56.9879188537598
18	44882.8124999999999	10142.2744140625000	-52.1435012817383
19	37617.1874999999999	11223.9287109375000	-47.4344215393066
20	31757.8125000000000	12199.6738281250000	-42.6329498291016
21	26835.9375000000000	12471.4414062500000	-50.4386863708496
22	22617.1875000000000	13367.4560546875000	-43.9145774841309
23	18867.1875000000000	14060.3017578125000	-37.8865737915039
24	15663.1093750000000	14806.1445312500000	-32.2342987060547
25	13476.5625000000000	15172.0781250000000	-28.1949634552002
26	11089.9394531250000	15596.0029296875000	-23.5861358642578
27	9492.1875000000000	15759.7529296875000	-21.1087951660156
28	7888.7197265625000	16317.1855468750000	-13.2452907562256
29	6745.4267578125000	16315.8427734375000	-14.8524246215820
30	5602.1342773437500	16357.0595703125000	-12.4547414779663
31	4687.5000000000000	16469.6445312500000	-10.5487289428711
32	4001.5244140625000	16529.0996093750000	-9.0802841186523
33	3315.5488281250000	16588.9394531250000	-7.5650439262390
34	2790.1784667968750	16631.2324218750000	-6.4177279472351
35	2343.7500000000000	16647.1972656250000	-5.4279375076294
36	1979.1666259765625	16680.4687500000000	-4.6391415596008
37	1674.1071777343750	16691.5976562500000	-3.9328379631042
38	1417.1511230468750	16713.7851562500000	-3.3661267757416
39	1199.1279296875000	16714.6171875000000	-2.9087188243866
40	1004.4642944335937	16740.2089843750000	-2.4613537788391
