IMPEDANCE MEASUREMENT 
4/11/2023-4:21 PM
Chamber temperature (K): 297.35
Chamber pressure (MPa): -1.04
Description: 	1e-4molal_NaCl_chiller
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	703.1978759765625	-90.3317489624023
1	841523.4374999999990	827.6719970703125	-90.8555374145508
2	708164.0624999999990	973.7565917968750	-89.0918273925781
3	595664.0624999999990	6683.7158203125000	-42.3527183532715
4	501210.9374999999990	10660.2470703125000	-48.5869331359863
5	421757.8124999999990	14624.1855468750000	-53.3454284667969
6	354960.9374999999990	18444.1992187500000	-56.5516433715820
7	298710.9374999999990	2035.8360595703125	-92.0284042358398
8	251367.1875000000000	2401.5959472656250	-88.3974304199219
9	211523.4375000000000	2814.4128417968750	-85.4069137573242
10	178007.8125000000000	3319.0073242187500	-82.6656341552734
11	149648.4375000000000	3859.5000000000000	-78.9732742309570
12	125976.5625000000000	4508.7495117187500	-76.0385131835937
13	106054.6875000000000	5225.7832031250000	-72.9183883666992
14	89179.6874999999999	6020.5302734375000	-69.4977035522461
15	75117.1874999999999	6917.6127929687500	-65.8614578247070
16	63164.0624999999999	7910.7709960937500	-61.7523956298828
17	53320.3124999999999	8926.7529296875000	-57.5840644836426
18	44882.8124999999999	10010.7539062500000	-53.1065254211426
19	37617.1874999999999	11109.1201171875000	-48.0828399658203
20	31757.8125000000000	12061.4189453125000	-43.4116821289062
21	26835.9375000000000	12457.9833984375000	-51.5102920532227
22	22617.1875000000000	13275.6201171875000	-45.0285186767578
23	18867.1875000000000	14095.7929687500000	-39.2715759277344
24	15663.1093750000000	14737.5107421875000	-33.0844612121582
25	13476.5625000000000	15171.9023437500000	-29.0352630615234
26	11089.9394531250000	15858.6416015625000	-18.7071018218994
27	9492.1875000000000	15759.1689453125000	-20.5993175506592
28	7888.7197265625000	16267.3808593750000	-13.6759004592896
29	6745.4267578125000	16269.1025390625000	-15.1933317184448
30	5602.1342773437500	16383.2958984375000	-12.6522073745728
31	4687.5000000000000	16501.3886718750000	-10.8101100921631
32	4001.5244140625000	16568.7207031250000	-9.2913923263550
33	3315.5488281250000	16625.0917968750000	-7.7505822181702
34	2790.1784667968750	16667.5585937500000	-6.5526685714722
35	2343.7500000000000	16693.5175781250000	-5.5388135910034
36	1979.1666259765625	16724.9238281250000	-4.7508249282837
37	1674.1071777343750	16744.7832031250000	-4.0461363792419
38	1417.1511230468750	16752.5019531250000	-3.4428589344025
39	1199.1279296875000	16762.8691406250000	-2.9542818069458
40	1004.4642944335937	16776.7617187500000	-2.5177929401398
