IMPEDANCE MEASUREMENT 
4/12/2023-9:50 AM
Chamber temperature (K): 296.33
Chamber pressure (MPa): -0.70
Description: 	1e-4_NaCl_Chiller
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	726.2726440429687	-89.2410659790039
1	841523.4374999999990	850.7648315429687	-89.5727691650391
2	708164.0624999999990	988.6317138671875	-87.5297317504883
3	595664.0624999999990	5308.5561523437500	-38.5703163146973
4	501210.9374999999990	7589.2636718750000	-44.5910758972168
5	421757.8124999999990	10618.0615234375000	-49.3613166809082
6	354960.9374999999990	14116.4990234375000	-53.0416030883789
7	298710.9374999999990	2047.0666503906250	-89.9928512573242
8	251367.1875000000000	2410.1770019531250	-86.3634262084961
9	211523.4375000000000	2833.4726562500000	-82.8066101074219
10	178007.8125000000000	3280.6879882812500	-79.4067687988281
11	149648.4375000000000	3852.7446289062500	-75.3295211791992
12	125976.5625000000000	4497.3989257812500	-71.4868545532227
13	106054.6875000000000	5145.2607421875000	-67.5606307983398
14	89179.6874999999999	5880.2456054687500	-62.9624481201172
15	75117.1874999999999	6654.2509765625000	-58.2992134094238
16	63164.0624999999999	7464.0507812500000	-53.2435493469238
17	53320.3124999999999	8190.0205078125000	-48.5412254333496
18	44882.8124999999999	8916.2724609375000	-43.4613304138184
19	37617.1874999999999	9566.4335937500000	-38.5509986877441
20	31757.8125000000000	10148.0908203125000	-33.8662376403809
21	26835.9375000000000	10151.6201171875000	-41.8636779785156
22	22617.1875000000000	10601.1806640625000	-36.1936645507812
23	18867.1875000000000	11413.9902343750000	-26.3520145416260
24	15663.1093750000000	11340.5019531250000	-25.9839305877686
25	13476.5625000000000	11538.4589843750000	-22.6659641265869
26	11089.9394531250000	11720.8144531250000	-19.0209636688232
27	9492.1875000000000	11861.4833984375000	-16.4438171386719
28	7888.7197265625000	11940.2353515625000	-13.7222089767456
29	6745.4267578125000	12051.4853515625000	-11.8651390075684
30	5602.1342773437500	12083.3837890625000	-9.8801164627075
31	4687.5000000000000	12159.9492187500000	-8.4070014953613
32	4001.5244140625000	12189.6152343750000	-7.2304248809814
33	3315.5488281250000	12224.9394531250000	-6.0454726219177
34	2790.1784667968750	12247.0048828125000	-5.1447124481201
35	2343.7500000000000	12263.5380859375000	-4.3716030120850
36	1979.1666259765625	12266.9023437500000	-3.7250938415527
37	1674.1071777343750	12285.8554687500000	-3.1811668872833
38	1417.1511230468750	12293.4882812500000	-2.7584071159363
39	1199.1279296875000	12303.8935546875000	-2.3872113227844
40	1004.4642944335937	12293.2753906250000	-2.0506711006165
