IMPEDANCE MEASUREMENT 
4/12/2023-9:50 AM
Chamber temperature (K): 296.32
Chamber pressure (MPa): -1.08
Description: 	1e-4_NaCl_Chiller
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	726.5010986328125	-89.2721786499023
1	841523.4374999999990	848.9404907226562	-89.5726928710937
2	708164.0624999999990	989.9964599609375	-87.6864318847656
3	595664.0624999999990	1159.3778076171875	-86.0315399169922
4	501210.9374999999990	6907.1948242187500	-43.2749252319336
5	421757.8124999999990	10469.4248046875000	-49.1634597778320
6	354960.9374999999990	14090.1533203125000	-53.5353507995605
7	298710.9374999999990	2048.4411621093750	-90.0337905883789
8	251367.1875000000000	2396.3073730468750	-86.3621978759766
9	211523.4375000000000	2815.5424804687500	-82.5974044799805
10	178007.8125000000000	3319.5393066406250	-78.5233535766602
11	149648.4375000000000	3863.8669433593750	-75.4159927368164
12	125976.5625000000000	4499.8833007812500	-71.2060470581055
13	106054.6875000000000	5137.6289062500000	-67.4227066040039
14	89179.6874999999999	5878.2324218750000	-62.9674186706543
15	75117.1874999999999	6671.9042968750000	-58.2607879638672
16	63164.0624999999999	7403.5712890625000	-53.5086174011230
17	53320.3124999999999	8196.0986328125000	-48.4896278381348
18	44882.8124999999999	8923.1406250000000	-43.5154418945312
19	37617.1874999999999	9593.8935546875000	-38.4693450927734
20	31757.8125000000000	10143.8505859375000	-33.8930244445801
21	26835.9375000000000	10168.4140625000000	-42.2125549316406
22	22617.1875000000000	10616.6855468750000	-36.1899108886719
23	18867.1875000000000	10184.9970703125000	-30.4527244567871
24	15663.1093750000000	11353.4619140625000	-26.0664501190186
25	13476.5625000000000	11548.1240234375000	-22.6113128662109
26	11089.9394531250000	11743.0537109375000	-18.9146938323975
27	9492.1875000000000	11874.6982421875000	-16.2886638641357
28	7888.7197265625000	12001.8398437500000	-13.6610441207886
29	6745.4267578125000	12054.3066406250000	-11.7861166000366
30	5602.1342773437500	12129.2861328125000	-9.9727392196655
31	4687.5000000000000	12156.8408203125000	-8.4091072082520
32	4001.5244140625000	12192.9775390625000	-7.2328524589539
33	3315.5488281250000	12225.1796875000000	-6.0440945625305
34	2790.1784667968750	12243.4980468750000	-5.1450767517090
35	2343.7500000000000	12260.4667968750000	-4.3635511398315
36	1979.1666259765625	12280.5878906250000	-3.7244651317596
37	1674.1071777343750	12292.7109375000000	-3.2001705169678
38	1417.1511230468750	12293.2695312500000	-2.7580571174622
39	1199.1279296875000	12298.1015625000000	-2.3801813125610
40	1004.4642944335937	12290.3017578125000	-2.0697593688965
