IMPEDANCE MEASUREMENT 
4/12/2023-10:07 AM
Chamber temperature (K): 295.29
Chamber pressure (MPa): 0.03
Description: 	1e-4_NaCl_outsideChiller
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	724.2456054687500	-89.2584228515625
1	841523.4374999999990	848.8076171875000	-89.7605743408203
2	708164.0624999999990	990.0607910156250	-87.8618316650391
3	595664.0624999999990	6552.1010742187500	-39.9864845275879
4	501210.9374999999990	10192.9628906250000	-46.3520431518555
5	421757.8124999999990	13998.1191406250000	-50.5822448730469
6	354960.9374999999990	17602.0585937500000	-54.1863746643066
7	298710.9374999999990	2051.7929687500000	-90.0169067382812
8	251367.1875000000000	2417.3356933593750	-86.4225997924805
9	211523.4375000000000	2840.3073730468750	-82.9643402099609
10	178007.8125000000000	3317.2180175781250	-79.4153747558594
11	149648.4375000000000	3868.3427734375000	-75.7145309448242
12	125976.5625000000000	4487.4291992187500	-71.7192077636719
13	106054.6875000000000	5137.4580078125000	-68.0658569335937
14	89179.6874999999999	5917.0791015625000	-63.2639961242676
15	75117.1874999999999	6687.5166015625000	-58.7707214355469
16	63164.0624999999999	7492.4155273437500	-54.0259132385254
17	53320.3124999999999	8258.0332031250000	-49.0279960632324
18	44882.8124999999999	9035.5888671875000	-44.0320320129395
19	37617.1874999999999	9726.0986328125000	-39.0102958679199
20	31757.8125000000000	10315.1455078125000	-34.1957283020020
21	26835.9375000000000	10315.0664062500000	-42.4472389221191
22	22617.1875000000000	10829.7890625000000	-36.5614051818848
23	18867.1875000000000	11131.3085937500000	-30.9141178131104
24	15663.1093750000000	11561.9365234375000	-26.1883506774902
25	13476.5625000000000	11739.9902343750000	-22.9620170593262
26	11089.9394531250000	11968.2187500000000	-19.2485694885254
27	9492.1875000000000	12114.4707031250000	-16.5191917419434
28	7888.7197265625000	12207.1767578125000	-13.9836540222168
29	6745.4267578125000	12292.8535156250000	-11.9801158905029
30	5602.1342773437500	12370.7265625000000	-10.1236572265625
31	4687.5000000000000	12413.8496093750000	-8.5052719116211
32	4001.5244140625000	12442.0869140625000	-7.3051633834839
33	3315.5488281250000	12469.4560546875000	-6.1184186935425
34	2790.1784667968750	12495.7138671875000	-5.1989507675171
35	2343.7500000000000	12511.7734375000000	-4.4084091186523
36	1979.1666259765625	12526.3662109375000	-3.7826502323151
37	1674.1071777343750	12540.0966796875000	-3.2461836338043
38	1417.1511230468750	12544.4414062500000	-2.7852525711060
39	1199.1279296875000	12552.0429687500000	-2.4135317802429
40	1004.4642944335937	12553.4443359375000	-2.0551290512085
