IMPEDANCE MEASUREMENT 
4/12/2023-10:26 AM
Chamber temperature (K): 294.31
Chamber pressure (MPa): -0.34
Description: 	1e-4_NaCl_outsideChiller
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	724.8472290039062	-89.4124984741211
1	841523.4374999999990	849.0268554687500	-89.6018524169922
2	708164.0624999999990	992.7879028320312	-88.0166091918945
3	595664.0624999999990	7279.7392578125000	-40.6776657104492
4	501210.9374999999990	11424.0810546875000	-46.5536308288574
5	421757.8124999999990	15403.3359375000000	-51.7269935607910
6	354960.9374999999990	19365.5800781250000	-54.4890937805176
7	298710.9374999999990	2065.7119140625000	-90.3274459838867
8	251367.1875000000000	2429.4775390625000	-86.7836990356445
9	211523.4375000000000	2838.3564453125000	-83.3490905761719
10	178007.8125000000000	3324.4907226562500	-79.4264984130859
11	149648.4375000000000	3851.3037109375000	-76.0867919921875
12	125976.5625000000000	4472.2280273437500	-72.6072235107422
13	106054.6875000000000	5170.6982421875000	-68.0873565673828
14	89179.6874999999999	5941.8286132812500	-63.7761116027832
15	75117.1874999999999	6751.2626953125000	-59.1545562744141
16	63164.0624999999999	7569.6777343750000	-54.5692024230957
17	53320.3124999999999	8346.8232421875000	-49.5585250854492
18	44882.8124999999999	9134.2226562500000	-44.4709968566895
19	37617.1874999999999	9830.3476562500000	-39.5323638916016
20	31757.8125000000000	10444.9414062500000	-34.9423904418945
21	26835.9375000000000	10498.7197265625000	-42.6917190551758
22	22617.1875000000000	11010.3828125000000	-36.8828163146973
23	18867.1875000000000	11171.0791015625000	-31.3671321868896
24	15663.1093750000000	11791.5898437500000	-26.5131473541260
25	13476.5625000000000	11989.4814453125000	-23.1554737091064
26	11089.9394531250000	12222.6591796875000	-19.4036502838135
27	9492.1875000000000	12281.4785156250000	-16.8219509124756
28	7888.7197265625000	12415.1054687500000	-14.0318374633789
29	6745.4267578125000	12538.9296875000000	-12.0977163314819
30	5602.1342773437500	12575.0029296875000	-10.3448867797852
31	4687.5000000000000	12648.9677734375000	-8.6007099151611
32	4001.5244140625000	12688.4287109375000	-7.3896813392639
33	3315.5488281250000	12721.2919921875000	-6.1817240715027
34	2790.1784667968750	12738.1904296875000	-5.2477359771729
35	2343.7500000000000	12761.4433593750000	-4.4613280296326
36	1979.1666259765625	12774.7392578125000	-3.7999560832977
37	1674.1071777343750	12795.7119140625000	-3.3008561134338
38	1417.1511230468750	12798.2587890625000	-2.8092267513275
39	1199.1279296875000	12800.8466796875000	-2.4467296600342
40	1004.4642944335937	12815.1103515625000	-2.0826861858368
