IMPEDANCE MEASUREMENT 
4/12/2023-11:03 AM
Chamber temperature (K): 292.31
Chamber pressure (MPa): -0.61
Description: 	1e-4molal_NaCl_Chiller
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	738.5705566406250	-89.7203826904297
1	841523.4374999999990	864.9894409179687	-89.8727340698242
2	708164.0624999999990	1004.9501342773437	-88.1114654541016
3	595664.0624999999990	8173.7138671875000	-32.8751678466797
4	501210.9374999999990	12233.4785156250000	-43.4394760131836
5	421757.8124999999990	16202.4091796875000	-49.0096931457520
6	354960.9374999999990	20218.1816406250000	-53.2160911560059
7	298710.9374999999990	2086.6330566406250	-89.7477798461914
8	251367.1875000000000	2445.0561523437500	-86.2933044433594
9	211523.4375000000000	2865.1691894531250	-82.7983932495117
10	178007.8125000000000	3363.9885253906250	-79.4194030761719
11	149648.4375000000000	3908.1887207031250	-76.0282745361328
12	125976.5625000000000	4534.1972656250000	-72.3780364990234
13	106054.6875000000000	5217.8710937500000	-68.6705932617187
14	89179.6874999999999	5996.0234375000000	-64.2323760986328
15	75117.1874999999999	6807.0825195312500	-59.9372329711914
16	63164.0624999999999	7649.9140625000000	-55.1040458679199
17	53320.3124999999999	8481.2587890625000	-50.4306373596191
18	44882.8124999999999	9300.3251953125000	-45.4745483398437
19	37617.1874999999999	10083.2070312500000	-40.5366592407227
20	31757.8125000000000	10727.0488281250000	-35.6927986145020
21	26835.9375000000000	10787.2753906250000	-43.6011161804199
22	22617.1875000000000	11346.1748046875000	-37.6955642700195
23	18867.1875000000000	11611.6015625000000	-32.6846160888672
24	15663.1093750000000	12216.1787109375000	-27.2797679901123
25	13476.5625000000000	12441.7578125000000	-23.7367992401123
26	11089.9394531250000	12637.7343750000000	-19.5582981109619
27	9492.1875000000000	12880.7167968750000	-16.7554378509521
28	7888.7197265625000	12968.4062500000000	-14.3094453811646
29	6745.4267578125000	13037.3291015625000	-12.3751506805420
30	5602.1342773437500	13127.8818359375000	-10.3786096572876
31	4687.5000000000000	13167.3125000000000	-8.7714967727661
32	4001.5244140625000	13201.0136718750000	-7.5574488639832
33	3315.5488281250000	13235.6171875000000	-6.3146100044250
34	2790.1784667968750	13262.9257812500000	-5.3602728843689
35	2343.7500000000000	13279.8974609375000	-4.5413594245911
36	1979.1666259765625	13297.0800781250000	-3.8811697959900
37	1674.1071777343750	13304.2392578125000	-3.3291931152344
38	1417.1511230468750	13313.2080078125000	-2.8610053062439
39	1199.1279296875000	13319.8007812500000	-2.4674534797668
40	1004.4642944335937	13369.0800781250000	-2.0928018093109
