IMPEDANCE MEASUREMENT 
4/12/2023-11:34 AM
Chamber temperature (K): 290.31
Chamber pressure (MPa): -0.40
Description: 	1e-4_NaCl_outsideChiller
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	736.0738525390625	-89.6095962524414
1	841523.4374999999990	863.6961059570312	-89.8388061523437
2	708164.0624999999990	5713.1279296875000	-29.0964012145996
3	595664.0624999999990	9504.5996093750000	-35.0699005126953
4	501210.9374999999990	13059.3544921875000	-44.2498168945312
5	421757.8124999999990	16836.5625000000000	-49.5967330932617
6	354960.9374999999990	20584.4902343750000	-54.6263771057129
7	298710.9374999999990	2093.5666503906250	-89.9291000366211
8	251367.1875000000000	2464.2263183593750	-86.5418548583984
9	211523.4375000000000	2877.6184082031250	-83.3230590820312
10	178007.8125000000000	3361.9877929687500	-79.8746643066406
11	149648.4375000000000	3929.5439453125000	-76.5984268188477
12	125976.5625000000000	4570.4042968750000	-72.7937850952148
13	106054.6875000000000	5270.7978515625000	-69.5639190673828
14	89179.6874999999999	6053.4511718750000	-65.1343994140625
15	75117.1874999999999	6880.4458007812500	-60.9150276184082
16	63164.0624999999999	7785.8916015625000	-56.1927261352539
17	53320.3124999999999	8632.8125000000000	-51.5641593933105
18	44882.8124999999999	9499.1621093750000	-46.5646018981934
19	37617.1874999999999	10292.5644531250000	-41.6930465698242
20	31757.8125000000000	11056.2265625000000	-37.0377616882324
21	26835.9375000000000	11122.9931640625000	-44.6003227233887
22	22617.1875000000000	11699.3320312500000	-38.6231918334961
23	18867.1875000000000	12169.1074218750000	-32.8733901977539
24	15663.1093750000000	12664.2929687500000	-27.8309326171875
25	13476.5625000000000	12908.2724609375000	-24.2469615936279
26	11089.9394531250000	13142.2119140625000	-20.1764545440674
27	9492.1875000000000	13310.6435546875000	-17.7092494964600
28	7888.7197265625000	13459.1074218750000	-14.5623731613159
29	6745.4267578125000	13606.7949218750000	-12.5757741928101
30	5602.1342773437500	13619.0703125000000	-10.6686935424805
31	4687.5000000000000	13675.6005859375000	-8.9210901260376
32	4001.5244140625000	13712.1767578125000	-7.6517009735107
33	3315.5488281250000	13745.0517578125000	-6.3930859565735
34	2790.1784667968750	13768.8339843750000	-5.4052047729492
35	2343.7500000000000	13783.5000000000000	-4.5878381729126
36	1979.1666259765625	13801.1728515625000	-3.8972282409668
37	1674.1071777343750	13807.0791015625000	-3.3459112644196
38	1417.1511230468750	13819.0859375000000	-2.8686528205872
39	1199.1279296875000	13822.5107421875000	-2.4707093238831
40	1004.4642944335937	13835.2998046875000	-2.1252233982086
