IMPEDANCE MEASUREMENT 
4/12/2023-11:50 AM
Chamber temperature (K): 289.27
Chamber pressure (MPa): -0.87
Description: 	1e-4molal_NaCl_Chiller
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	740.0722656250000	-90.0376892089844
1	841523.4374999999990	870.7343139648437	-89.8164520263672
2	708164.0624999999990	5724.5224609375000	-29.1985263824463
3	595664.0624999999990	9458.8671875000000	-35.3675994873047
4	501210.9374999999990	12852.3076171875000	-45.0177345275879
5	421757.8124999999990	16733.5058593750000	-50.2485694885254
6	354960.9374999999990	20727.9101562500000	-54.7921829223633
7	298710.9374999999990	2110.7019042968750	-90.4137954711914
8	251367.1875000000000	2476.5695800781250	-86.5296478271484
9	211523.4375000000000	2902.2375488281250	-83.3346328735352
10	178007.8125000000000	3386.5385742187500	-79.8537979125977
11	149648.4375000000000	3954.6186523437500	-76.5888519287109
12	125976.5625000000000	4618.4433593750000	-73.1613693237305
13	106054.6875000000000	5265.4677734375000	-69.4428329467773
14	89179.6874999999999	6071.9213867187500	-65.4890289306641
15	75117.1874999999999	6927.6914062500000	-61.2387046813965
16	63164.0624999999999	7832.5424804687500	-56.7573165893555
17	53320.3124999999999	8714.7314453125000	-51.9421882629395
18	44882.8124999999999	9595.2753906250000	-47.2853927612305
19	37617.1874999999999	10450.8583984375000	-42.0521583557129
20	31757.8125000000000	11140.5458984375000	-37.1552391052246
21	26835.9375000000000	11282.2363281250000	-45.0658531188965
22	22617.1875000000000	11927.7460937500000	-39.0597534179687
23	18867.1875000000000	12483.2402343750000	-34.2119178771973
24	15663.1093750000000	12903.0605468750000	-28.2081127166748
25	13476.5625000000000	13165.6708984375000	-24.5292148590088
26	11089.9394531250000	13431.1103515625000	-20.4788475036621
27	9492.1875000000000	13497.5761718750000	-17.5105247497559
28	7888.7197265625000	13706.5576171875000	-15.0651054382324
29	6745.4267578125000	13738.4326171875000	-12.9127798080444
30	5602.1342773437500	13895.8623046875000	-10.7923488616943
31	4687.5000000000000	13966.8056640625000	-9.0124597549438
32	4001.5244140625000	14001.4199218750000	-7.7401256561279
33	3315.5488281250000	14036.6494140625000	-6.4652118682861
34	2790.1784667968750	14065.2832031250000	-5.4765205383301
35	2343.7500000000000	14073.9794921875000	-4.6472001075745
36	1979.1666259765625	14090.3759765625000	-3.9424023628235
37	1674.1071777343750	14104.5488281250000	-3.3906376361847
38	1417.1511230468750	14111.4511718750000	-2.9061145782471
39	1199.1279296875000	14120.2705078125000	-2.5071620941162
40	1004.4642944335937	14137.9316406250000	-2.1519396305084
