IMPEDANCE MEASUREMENT 
4/12/2023-12:08 PM
Chamber temperature (K): 288.27
Chamber pressure (MPa): -0.89
Description: 	1e-4molal_NaCl_Chiller
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	746.5351562500000	-91.4690017700195
1	841523.4374999999990	881.9930419921875	-91.5679473876953
2	708164.0624999999990	1025.1320800781250	-90.0609130859375
3	595664.0624999999990	9073.8662109375000	-39.1370582580566
4	501210.9374999999990	13649.2841796875000	-45.8890571594238
5	421757.8124999999990	17892.8378906250000	-51.1743392944336
6	354960.9374999999990	22219.4394531250000	-55.6495933532715
7	298710.9374999999990	2262.6059570312500	-90.9503707885742
8	251367.1875000000000	2667.8737792968750	-87.1548538208008
9	211523.4375000000000	3150.9860839843750	-83.1168289184570
10	178007.8125000000000	3710.2763671875000	-79.1482467651367
11	149648.4375000000000	4301.8037109375000	-75.5706024169922
12	125976.5625000000000	5022.4077148437500	-71.4676513671875
13	106054.6875000000000	5720.6000976562500	-66.6863708496094
14	89179.6874999999999	6526.3408203125000	-61.8595695495605
15	75117.1874999999999	7353.6943359375000	-57.1146240234375
16	63164.0624999999999	8178.3593750000000	-51.8536376953125
17	53320.3124999999999	8961.1464843750000	-46.9707565307617
18	44882.8124999999999	9666.5048828125000	-41.8617973327637
19	37617.1874999999999	10362.4863281250000	-37.1067733764648
20	31757.8125000000000	10905.1357421875000	-32.6364593505859
21	26835.9375000000000	10844.2089843750000	-38.4347457885742
22	22617.1875000000000	11290.0888671875000	-33.3078422546387
23	18867.1875000000000	11845.2519531250000	-29.4528579711914
24	15663.1093750000000	12010.9960937500000	-24.2739086151123
25	13476.5625000000000	12257.9462890625000	-21.1883182525635
26	11089.9394531250000	12445.3994140625000	-17.9010696411133
27	9492.1875000000000	12628.2041015625000	-15.7140045166016
28	7888.7197265625000	12798.7656250000000	-13.2880897521973
29	6745.4267578125000	12831.7792968750000	-11.3663988113403
30	5602.1342773437500	12858.2753906250000	-9.8363990783691
31	4687.5000000000000	12956.9443359375000	-8.3522462844849
32	4001.5244140625000	13009.6162109375000	-7.2799544334412
33	3315.5488281250000	13057.8535156250000	-6.1881585121155
34	2790.1784667968750	13098.7177734375000	-5.3439173698425
35	2343.7500000000000	13125.2558593750000	-4.6525626182556
36	1979.1666259765625	13153.9160156250000	-4.0391092300415
37	1674.1071777343750	13183.4140625000000	-3.5573496818542
38	1417.1511230468750	13204.5839843750000	-3.1393549442291
39	1199.1279296875000	13221.7763671875000	-2.7865710258484
40	1004.4642944335937	13213.7890625000000	-2.5041892528534
