IMPEDANCE MEASUREMENT 
4/12/2023-12:56 PM
Chamber temperature (K): 287.27
Chamber pressure (MPa): -0.51
Description: 	1e-4_NaCl_outsideChiller
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	750.2894897460937	-91.7185821533203
1	841523.4374999999990	888.6565551757812	-91.8529281616211
2	708164.0624999999990	1036.9416503906250	-90.1917648315430
3	595664.0624999999990	9054.5576171875000	-41.8766975402832
4	501210.9374999999990	13496.6337890625000	-46.6197700500488
5	421757.8124999999990	17774.6914062500000	-52.2557754516602
6	354960.9374999999990	21576.8281250000000	-56.9340133666992
7	298710.9374999999990	2287.5002441406250	-90.5945129394531
8	251367.1875000000000	2700.1582031250000	-86.9805450439453
9	211523.4375000000000	3172.9821777343750	-83.2560577392578
10	178007.8125000000000	3699.5917968750000	-79.3651733398437
11	149648.4375000000000	4359.1391601562500	-75.3227233886719
12	125976.5625000000000	5010.0229492187500	-70.9829635620117
13	106054.6875000000000	5718.6210937500000	-66.2855072021484
14	89179.6874999999999	6566.4243164062500	-61.9642372131348
15	75117.1874999999999	7409.7988281250000	-57.1212463378906
16	63164.0624999999999	8241.5380859375000	-52.1672439575195
17	53320.3124999999999	9041.3945312500000	-47.2888450622559
18	44882.8124999999999	9753.8388671875000	-42.2327384948730
19	37617.1874999999999	10472.6318359375000	-37.2678947448730
20	31757.8125000000000	11081.9873046875000	-32.6934165954590
21	26835.9375000000000	11009.9208984375000	-38.7302703857422
22	22617.1875000000000	11464.1171875000000	-33.5268478393555
23	18867.1875000000000	11676.1669921875000	-28.0623531341553
24	15663.1093750000000	12217.7792968750000	-24.4705142974854
25	13476.5625000000000	12432.5263671875000	-21.3766498565674
26	11089.9394531250000	12655.7695312500000	-18.0198078155518
27	9492.1875000000000	12824.0087890625000	-15.5387010574341
28	7888.7197265625000	12891.5830078125000	-13.7221498489380
29	6745.4267578125000	13122.6718750000000	-11.7136907577515
30	5602.1342773437500	13132.9218750000000	-9.9436807632446
31	4687.5000000000000	13187.4775390625000	-8.4823226928711
32	4001.5244140625000	13242.4863281250000	-7.4091644287109
33	3315.5488281250000	13298.7792968750000	-6.3127889633179
34	2790.1784667968750	13340.0048828125000	-5.4736628532410
35	2343.7500000000000	13378.6572265625000	-4.7510209083557
36	1979.1666259765625	13407.1562500000000	-4.1525077819824
37	1674.1071777343750	13430.7412109375000	-3.6812229156494
38	1417.1511230468750	13466.3291015625000	-3.2385683059692
39	1199.1279296875000	13495.9140625000000	-2.8829498291016
40	1004.4642944335937	13505.4365234375000	-2.5453600883484
