IMPEDANCE MEASUREMENT 
4/12/2023-1:22 PM
Chamber temperature (K): 285.27
Chamber pressure (MPa): -1.12
Description: 	1e-4molal_NaCl_Chiller
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	750.4066772460937	-91.8510818481445
1	841523.4374999999990	892.2783813476562	-92.1383743286133
2	708164.0624999999990	5996.3652343750000	-31.4519977569580
3	595664.0624999999990	10171.3154296875000	-38.5274047851562
4	501210.9374999999990	13812.8281250000000	-47.0180969238281
5	421757.8124999999990	17699.7324218750000	-52.3708724975586
6	354960.9374999999990	21945.6093750000000	-55.9406967163086
7	298710.9374999999990	2300.6579589843750	-90.9462661743164
8	251367.1875000000000	2711.6918945312500	-87.3303680419922
9	211523.4375000000000	3197.3173828125000	-83.4811477661133
10	178007.8125000000000	3751.2316894531250	-79.6993331909180
11	149648.4375000000000	4381.6591796875000	-76.1130676269531
12	125976.5625000000000	5076.7929687500000	-71.6633071899414
13	106054.6875000000000	5807.1586914062500	-67.2894058227539
14	89179.6874999999999	6656.2382812500000	-62.7486877441406
15	75117.1874999999999	7507.1005859375000	-58.0152664184570
16	63164.0624999999999	8365.3789062500000	-53.1705284118652
17	53320.3124999999999	9203.0097656250000	-48.2775154113770
18	44882.8124999999999	9998.8271484375000	-43.1894760131836
19	37617.1874999999999	10715.1533203125000	-38.3757629394531
20	31757.8125000000000	11298.1044921875000	-33.8924980163574
21	26835.9375000000000	11299.6123046875000	-39.4960441589355
22	22617.1875000000000	11840.9931640625000	-34.3733520507812
23	18867.1875000000000	12259.5917968750000	-28.9866504669189
24	15663.1093750000000	12624.0000000000000	-25.2339134216309
25	13476.5625000000000	12864.8476562500000	-22.1278533935547
26	11089.9394531250000	13114.9755859375000	-18.6860218048096
27	9492.1875000000000	13358.4716796875000	-16.3222789764404
28	7888.7197265625000	13394.7060546875000	-14.1109457015991
29	6745.4267578125000	13604.0556640625000	-12.0091295242310
30	5602.1342773437500	13644.9101562500000	-10.5109224319458
31	4687.5000000000000	13759.9736328125000	-9.0778713226318
32	4001.5244140625000	13826.5527343750000	-7.9970064163208
33	3315.5488281250000	13903.6406250000000	-6.9049415588379
34	2790.1784667968750	13964.0507812500000	-6.0569472312927
35	2343.7500000000000	14018.6347656250000	-5.3551549911499
36	1979.1666259765625	14075.1962890625000	-4.7368578910828
37	1674.1071777343750	14121.2705078125000	-4.2155351638794
38	1417.1511230468750	14160.7978515625000	-3.7696561813354
39	1199.1279296875000	14201.9521484375000	-3.4164333343506
40	1004.4642944335937	14238.6748046875000	-3.0660972595215
