IMPEDANCE MEASUREMENT 
4/12/2023-2:21 PM
Chamber temperature (K): 281.24
Chamber pressure (MPa): -1.22
Description: 	1e-4_NaCl_outsideChiller
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	753.4766235351562	-89.9247817993164
1	841523.4374999999990	889.8804321289062	-89.1773452758789
2	708164.0624999999990	6788.5976562500000	-24.8355960845947
3	595664.0624999999990	11163.2539062500000	-32.4082527160645
4	501210.9374999999990	15468.4472656250000	-41.4342269897461
5	421757.8124999999990	19494.4902343750000	-45.8908767700195
6	354960.9374999999990	23645.4824218750000	-50.7356491088867
7	298710.9374999999990	2145.8249511718750	-84.4896697998047
8	251367.1875000000000	2504.6340332031250	-80.2300415039062
9	211523.4375000000000	2880.0178222656250	-76.0082092285156
10	178007.8125000000000	3326.9345703125000	-71.2500610351562
11	149648.4375000000000	3785.2668457031250	-67.1662292480469
12	125976.5625000000000	4292.1440429687500	-62.4747962951660
13	106054.6875000000000	4838.5200195312500	-58.5140762329102
14	89179.6874999999999	5325.1635742187500	-53.4446868896484
15	75117.1874999999999	5839.6987304687500	-49.0866737365723
16	63164.0624999999999	6338.3701171875000	-44.7546882629395
17	53320.3124999999999	6794.1557617187500	-40.5607147216797
18	44882.8124999999999	7204.2915039062500	-36.7316932678223
19	37617.1874999999999	7606.5161132812500	-33.2936401367187
20	31757.8125000000000	7960.9863281250000	-30.1478252410889
21	26835.9375000000000	6874.5097656250000	-38.5415000915527
22	22617.1875000000000	7230.5937500000000	-34.7767791748047
23	18867.1875000000000	7511.5161132812500	-30.5089206695557
24	15663.1093750000000	7941.5405273437500	-28.3454246520996
25	13476.5625000000000	8211.4023437500000	-26.1939201354980
26	11089.9394531250000	8510.1250000000000	-23.8231716156006
27	9492.1875000000000	8773.9511718750000	-22.2212295532227
28	7888.7197265625000	9024.7763671875000	-20.3372421264648
29	6745.4267578125000	9283.6826171875000	-18.8074340820312
30	5602.1342773437500	9561.2236328125000	-17.5993633270264
31	4687.5000000000000	9807.4375000000000	-16.3267822265625
32	4001.5244140625000	10029.6123046875000	-15.3100318908691
33	3315.5488281250000	10279.2509765625000	-14.2158317565918
34	2790.1784667968750	10502.6025390625000	-13.2938184738159
35	2343.7500000000000	10720.6542968750000	-12.4141502380371
36	1979.1666259765625	10918.4931640625000	-11.6840200424194
37	1674.1071777343750	11109.3046875000000	-11.0086097717285
38	1417.1511230468750	11283.8750000000000	-10.3947038650513
39	1199.1279296875000	11461.9628906250000	-9.8362998962402
40	1004.4642944335937	11709.9863281250000	-9.3146495819092
