IMPEDANCE MEASUREMENT 
4/12/2023-2:56 PM
Chamber temperature (K): 279.25
Chamber pressure (MPa): -0.93
Description: 	1e-4molal_NaCl_outsideChiller
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	726.4989013671875	-90.5231246948242
1	841523.4374999999990	5424.2636718750000	-9.2016963958740
2	708164.0624999999990	8088.4697265625000	-23.0610637664795
3	595664.0624999999990	11579.8359375000000	-31.6012325286865
4	501210.9374999999990	15439.5751953125000	-41.0264968872070
5	421757.8124999999990	19497.8417968750000	-46.3080177307129
6	354960.9374999999990	24105.6152343750000	-48.8425216674805
7	298710.9374999999990	2229.8608398437500	-80.0799179077148
8	251367.1875000000000	2569.7226562500000	-75.8347244262695
9	211523.4375000000000	2926.9018554687500	-71.3153991699219
10	178007.8125000000000	3328.4650878906250	-66.9877395629883
11	149648.4375000000000	3737.2148437500000	-62.5645980834961
12	125976.5625000000000	4190.8681640625000	-57.9024505615234
13	106054.6875000000000	4665.8339843750000	-54.2665443420410
14	89179.6874999999999	5101.5649414062500	-49.9614677429199
15	75117.1874999999999	5533.4721679687500	-45.9224700927734
16	63164.0624999999999	5974.1328125000000	-42.0845718383789
17	53320.3124999999999	6342.2338867187500	-38.4038238525391
18	44882.8124999999999	6730.6127929687500	-35.1348495483398
19	37617.1874999999999	7097.6621093750000	-31.7324218750000
20	31757.8125000000000	7382.1943359375000	-29.0740795135498
21	26835.9375000000000	7630.2470703125000	-27.6144008636475
22	22617.1875000000000	7849.1381835937500	-25.2095031738281
23	18867.1875000000000	8110.4458007812500	-22.1487293243408
24	15663.1093750000000	8303.5214843750000	-20.9405002593994
25	13476.5625000000000	8472.7597656250000	-19.7291488647461
26	11089.9394531250000	8718.2568359375000	-18.2055568695068
27	9492.1875000000000	8916.9306640625000	-17.2463245391846
28	7888.7197265625000	9139.2900390625000	-16.2016258239746
29	6745.4267578125000	9339.3642578125000	-15.4415082931519
30	5602.1342773437500	9592.5361328125000	-14.6181116104126
31	4687.5000000000000	9829.1826171875000	-13.8721141815186
32	4001.5244140625000	10033.0771484375000	-13.2711982727051
33	3315.5488281250000	10281.7080078125000	-12.5813455581665
34	2790.1784667968750	10498.2851562500000	-11.9988088607788
35	2343.7500000000000	10906.4501953125000	-10.8953351974487
36	1979.1666259765625	11083.8759765625000	-10.4346714019775
37	1674.1071777343750	11269.8828125000000	-10.0288114547729
38	1417.1511230468750	11275.9736328125000	-10.1544809341431
39	1199.1279296875000	11451.6621093750000	-9.8450365066528
40	1004.4642944335937	11624.6904296875000	-9.6168308258057
