IMPEDANCE MEASUREMENT 
4/12/2023-3:12 PM
Chamber temperature (K): 278.28
Chamber pressure (MPa): -1.02
Description: 	1e-4molal_NaCl_outsideChiller
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	721.0242919921875	-90.4986038208008
1	841523.4374999999990	5123.8491210937500	-5.0905399322510
2	708164.0624999999990	7435.8769531250000	-20.2019462585449
3	595664.0624999999990	10547.2607421875000	-30.8050117492676
4	501210.9374999999990	14056.3203125000000	-40.2389831542969
5	421757.8124999999990	17595.7539062500000	-44.8315696716309
6	354960.9374999999990	21937.4101562500000	-50.2651596069336
7	298710.9374999999990	2503.1528320312500	-83.8908996582031
8	251367.1875000000000	2897.2224121093750	-79.0667648315430
9	211523.4375000000000	3343.9443359375000	-74.1646041870117
10	178007.8125000000000	3817.3710937500000	-69.2016601562500
11	149648.4375000000000	4319.5751953125000	-64.8975296020508
12	125976.5625000000000	4861.4560546875000	-60.2194786071777
13	106054.6875000000000	5343.4614257812500	-55.7656898498535
14	89179.6874999999999	5855.6020507812500	-50.9693565368652
15	75117.1874999999999	6345.9843750000000	-46.7776412963867
16	63164.0624999999999	6844.6108398437500	-43.1477317810059
17	53320.3124999999999	7306.4594726562500	-39.2232437133789
18	44882.8124999999999	7747.1889648437500	-35.6502532958984
19	37617.1874999999999	8155.8754882812500	-32.2660140991211
20	31757.8125000000000	8501.9052734375000	-29.7458419799805
21	26835.9375000000000	22008.1093750000000	-37.7993965148926
22	22617.1875000000000	22779.4277343750000	-33.5442161560059
23	18867.1875000000000	24244.4335937500000	-29.1844139099121
24	15663.1093750000000	24746.6367187500000	-26.2198734283447
25	13476.5625000000000	25620.6074218750000	-23.8080406188965
26	11089.9394531250000	26423.8984375000000	-20.8892784118652
27	9492.1875000000000	26956.0585937500000	-18.8808326721191
28	7888.7197265625000	27778.6425781250000	-16.1780586242676
29	6745.4267578125000	28531.0898437500000	-13.9499492645264
30	5602.1342773437500	29258.0917968750000	-11.7533082962036
31	4687.5000000000000	29893.2480468750000	-9.1867561340332
32	4001.5244140625000	30342.3847656250000	-7.0215911865234
33	3315.5488281250000	30770.0468750000000	-4.3441433906555
34	2790.1784667968750	208706.3593750000000	-8.4057512283325
35	2343.7500000000000	210045.4375000000000	-2.7034492492676
36	1979.1666259765625	208740.9375000000000	2.7803831100464
37	1674.1071777343750	205555.6718750000000	8.1900529861450
38	1417.1511230468750	200090.1718750000000	13.4437198638916
39	1199.1279296875000	192262.0468750000000	18.6104640960693
40	1004.4642944335937	182209.7656250000000	23.9138545989990
