IMPEDANCE MEASUREMENT 
4/12/2023-4:01 PM
Chamber temperature (K): 275.28
Chamber pressure (MPa): -0.53
Description: 	1e-4molal_NaCl_Chiller
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	712.9898071289062	-90.2432479858398
1	841523.4374999999990	861.1213989257812	-89.2370758056641
2	708164.0624999999990	1002.6491699218750	-86.7564468383789
3	595664.0624999999990	1169.6480712890625	-83.8909835815430
4	501210.9374999999990	1361.9782714843750	-81.5263137817383
5	421757.8124999999990	1587.6643066406250	-78.5877532958984
6	354960.9374999999990	1842.3394775390625	-74.6290893554687
7	298710.9374999999990	2453.4982910156250	-82.9169006347656
8	251367.1875000000000	2839.3325195312500	-78.1950988769531
9	211523.4375000000000	3247.1101074218750	-72.9990692138672
10	178007.8125000000000	3699.0541992187500	-68.1535491943359
11	149648.4375000000000	4159.7070312500000	-63.3952522277832
12	125976.5625000000000	4630.9418945312500	-59.4527091979980
13	106054.6875000000000	5130.9101562500000	-54.5778808593750
14	89179.6874999999999	5582.0371093750000	-49.9033355712891
15	75117.1874999999999	6034.0361328125000	-46.0426864624023
16	63164.0624999999999	6458.6699218750000	-42.2725257873535
17	53320.3124999999999	6879.4731445312500	-38.6574745178223
18	44882.8124999999999	7264.4086914062500	-35.6169509887695
19	37617.1874999999999	7626.9072265625000	-32.7201576232910
20	31757.8125000000000	7957.0058593750000	-30.1850624084473
21	26835.9375000000000	20151.7363281250000	-39.2768249511719
22	22617.1875000000000	20982.7343750000000	-35.2847290039062
23	18867.1875000000000	21968.8730468750000	-31.4930095672607
24	15663.1093750000000	22863.9355468750000	-28.8931121826172
25	13476.5625000000000	23605.7207031250000	-27.0113639831543
26	11089.9394531250000	24668.5214843750000	-24.6199378967285
27	9492.1875000000000	25294.7382812500000	-22.7796382904053
28	7888.7197265625000	26280.5722656250000	-20.8258514404297
29	6745.4267578125000	27014.4609375000000	-19.1112346649170
30	5602.1342773437500	27555.0449218750000	-17.2343063354492
31	4687.5000000000000	28656.6562500000000	-16.0839214324951
32	4001.5244140625000	29337.4492187500000	-14.7829427719116
33	3315.5488281250000	30070.0195312500000	-13.2543525695801
34	2790.1784667968750	202213.7812500000000	-22.2062587738037
35	2343.7500000000000	207124.1093750000000	-18.6088275909424
36	1979.1666259765625	210427.7343750000000	-15.4610099792480
37	1674.1071777343750	212860.8750000000000	-12.6084156036377
38	1417.1511230468750	214409.6562500000000	-10.0866613388062
39	1199.1279296875000	215120.3593750000000	-7.8151688575745
40	1004.4642944335937	215570.5312500000000	-5.6265845298767
