IMPEDANCE MEASUREMENT 
4/12/2023-9:38 AM
Chamber temperature (K): 296.41
Chamber pressure (MPa): -0.74
Description: 	1e-4molal_NaCl_outsideChiller
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	764.4598388671875	-90.5413742065430
1	841523.4374999999990	898.7690429687500	-91.2623672485352
2	708164.0624999999990	1067.8126220703125	-89.6703796386719
3	595664.0624999999990	1253.2276611328125	-88.0836868286133
4	501210.9374999999990	1473.7761230468750	-86.2895431518555
5	421757.8124999999990	1736.3885498046875	-84.6651687622070
6	354960.9374999999990	2059.6706542968750	-83.2074661254883
7	298710.9374999999990	2366.7502441406250	-90.8492202758789
8	251367.1875000000000	2806.4738769531250	-87.2114562988281
9	211523.4375000000000	3305.6569824218750	-83.1454315185547
10	178007.8125000000000	3890.9091796875000	-79.6058349609375
11	149648.4375000000000	4521.9003906250000	-75.2069549560547
12	125976.5625000000000	5269.1181640625000	-70.7154769897461
13	106054.6875000000000	6155.4799804687500	-66.0877380371094
14	89179.6874999999999	6910.6499023437500	-61.2855186462402
15	75117.1874999999999	7762.8950195312500	-56.2375869750977
16	63164.0624999999999	8646.0937500000000	-50.9533729553223
17	53320.3124999999999	9418.0302734375000	-45.8857879638672
18	44882.8124999999999	10156.6972656250000	-40.6615142822266
19	37617.1874999999999	10835.0966796875000	-35.6432228088379
20	31757.8125000000000	11352.1025390625000	-31.1770458221436
21	26835.9375000000000	11499.5859375000000	-35.8042221069336
22	22617.1875000000000	11927.3017578125000	-30.7922191619873
23	18867.1875000000000	13158.2060546875000	-26.8411979675293
24	15663.1093750000000	12502.6494140625000	-21.7046031951904
25	13476.5625000000000	12639.7636718750000	-18.8753280639648
26	11089.9394531250000	12797.2998046875000	-15.6322975158691
27	9492.1875000000000	12875.4462890625000	-13.4692955017090
28	7888.7197265625000	12945.8740234375000	-11.2221212387085
29	6745.4267578125000	12993.9101562500000	-9.5981388092041
30	5602.1342773437500	13077.8095703125000	-7.9630308151245
31	4687.5000000000000	13059.6005859375000	-6.7210292816162
32	4001.5244140625000	13073.1796875000000	-5.7631516456604
33	3315.5488281250000	13088.6708984375000	-4.7902340888977
34	2790.1784667968750	13104.4072265625000	-4.0603599548340
35	2343.7500000000000	13105.9003906250000	-3.4448828697205
36	1979.1666259765625	13113.5615234375000	-2.9553723335266
37	1674.1071777343750	13119.5625000000000	-2.5054919719696
38	1417.1511230468750	13118.7539062500000	-2.1774122714996
39	1199.1279296875000	13124.2646484375000	-1.8683063983917
40	1004.4642944335937	13130.5722656250000	-1.6488453149796
