IMPEDANCE MEASUREMENT 
4/12/2023-9:38 AM
Chamber temperature (K): 296.42
Chamber pressure (MPa): -0.90
Description: 	1e-4molal_NaCl_outsideChiller
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	763.0642089843750	-90.6618804931641
1	841523.4374999999990	902.5548095703125	-91.2585906982422
2	708164.0624999999990	1059.7602539062500	-89.8380508422852
3	595664.0624999999990	1254.8625488281250	-88.0456314086914
4	501210.9374999999990	1484.1271972656250	-86.3672561645508
5	421757.8124999999990	1742.9373779296875	-84.6605682373047
6	354960.9374999999990	2059.8435058593750	-82.9209671020508
7	298710.9374999999990	2371.6079101562500	-90.8632049560547
8	251367.1875000000000	2805.2885742187500	-86.8855590820312
9	211523.4375000000000	3322.3142089843750	-82.9925079345703
10	178007.8125000000000	3887.3933105468750	-78.8900146484375
11	149648.4375000000000	4547.9477539062500	-75.1827621459961
12	125976.5625000000000	5265.2465820312500	-70.9523925781250
13	106054.6875000000000	6112.7568359375000	-66.2665939331055
14	89179.6874999999999	6905.7016601562500	-61.1558532714844
15	75117.1874999999999	7765.5742187500000	-56.1538696289062
16	63164.0624999999999	8627.9492187500000	-50.7246246337891
17	53320.3124999999999	9418.4335937500000	-45.7476654052734
18	44882.8124999999999	10162.1845703125000	-40.5329360961914
19	37617.1874999999999	10816.7568359375000	-35.5473327636719
20	31757.8125000000000	11351.5888671875000	-30.9076519012451
21	26835.9375000000000	11489.2929687500000	-35.7224197387695
22	22617.1875000000000	11911.7822265625000	-30.6674308776855
23	18867.1875000000000	12278.0380859375000	-21.0089893341064
24	15663.1093750000000	12492.1230468750000	-21.7823657989502
25	13476.5625000000000	12635.4824218750000	-18.7900981903076
26	11089.9394531250000	12770.5429687500000	-15.5764188766479
27	9492.1875000000000	12875.0146484375000	-13.4135437011719
28	7888.7197265625000	12926.7968750000000	-11.2604846954346
29	6745.4267578125000	12980.8671875000000	-9.5526428222656
30	5602.1342773437500	13007.8066406250000	-8.1701364517212
31	4687.5000000000000	13049.5253906250000	-6.7099065780640
32	4001.5244140625000	13068.8554687500000	-5.7450814247131
33	3315.5488281250000	13083.3310546875000	-4.7858681678772
34	2790.1784667968750	13092.4404296875000	-4.0638399124146
35	2343.7500000000000	13100.4023437500000	-3.4323110580444
36	1979.1666259765625	13108.6279296875000	-2.9242739677429
37	1674.1071777343750	13117.6347656250000	-2.5038945674896
38	1417.1511230468750	13119.6904296875000	-2.1689686775208
39	1199.1279296875000	13118.2167968750000	-1.8795455694199
40	1004.4642944335937	13116.8701171875000	-1.6225892305374
