IMPEDANCE MEASUREMENT 
4/17/2023-11:00 AM
Chamber temperature (K): 288.09
Chamber pressure (MPa): -0.47
Description: 	1e-3molal_NaCl_chiller
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	735.4617919921875	-78.6355361938477
1	841523.4374999999990	848.8959350585937	-77.1466903686523
2	708164.0624999999990	973.6986694335937	-73.4548568725586
3	595664.0624999999990	1114.2562255859375	-69.4970932006836
4	501210.9374999999990	8182.5561523437500	-19.7877330780029
5	421757.8124999999990	12722.9257812500000	-24.9190940856934
6	354960.9374999999990	16545.8828125000000	-27.1094074249268
7	298710.9374999999990	1747.4426269531250	-60.9461059570312
8	251367.1875000000000	1929.1517333984375	-54.4088592529297
9	211523.4375000000000	2086.5957031250000	-48.3298873901367
10	178007.8125000000000	2235.7819824218750	-42.2962913513184
11	149648.4375000000000	2368.0466308593750	-36.8977813720703
12	125976.5625000000000	2491.5078125000000	-32.5149726867676
13	106054.6875000000000	2517.9558105468750	-27.1025123596191
14	89179.6874999999999	2607.0395507812500	-23.5177078247070
15	75117.1874999999999	2656.0617675781250	-20.1234741210937
16	63164.0624999999999	2690.9990234375000	-17.1790142059326
17	53320.3124999999999	2722.0466308593750	-14.7427873611450
18	44882.8124999999999	2742.2070312500000	-12.5403881072998
19	37617.1874999999999	2762.0156250000000	-10.7336235046387
20	31757.8125000000000	2772.9863281250000	-9.1328401565552
21	26835.9375000000000	2681.9089355468750	-17.9982986450195
22	22617.1875000000000	2719.1721191406250	-15.5926952362061
23	18867.1875000000000	2761.4951171875000	-13.3343582153320
24	15663.1093750000000	2776.1926269531250	-11.5829000473022
25	13476.5625000000000	2793.8317871093750	-10.2810201644897
26	11089.9394531250000	2815.4951171875000	-8.8821611404419
27	9492.1875000000000	2832.6774902343750	-7.9271049499512
28	7888.7197265625000	2850.9101562500000	-6.9475431442261
29	6745.4267578125000	2861.6726074218750	-6.2434625625610
30	5602.1342773437500	2878.2485351562500	-5.4823865890503
31	4687.5000000000000	2895.6796875000000	-4.8357477188110
32	4001.5244140625000	2906.3112792968750	-4.3499984741211
33	3315.5488281250000	2919.2739257812500	-3.8389039039612
34	2790.1784667968750	2931.7229003906250	-3.4157085418701
35	2343.7500000000000	2941.3198242187500	-3.0399963855743
36	1979.1666259765625	2949.0795898437500	-2.7022306919098
37	1674.1071777343750	2955.9177246093750	-2.4150853157043
38	1417.1511230468750	2964.3725585937500	-2.1414523124695
39	1199.1279296875000	2969.6462402343750	-1.9092490673065
40	1004.4642944335937	2972.8740234375000	-1.6956425905228
