IMPEDANCE MEASUREMENT 
4/17/2023-12:54 PM
Chamber temperature (K): 281.10
Chamber pressure (MPa): -0.12
Description: 	1e-3molal_NaCl_chiller
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	732.1188354492187	-77.8946990966797
1	841523.4374999999990	890.8268432617187	-76.8693008422852
2	708164.0624999999990	1031.7684326171875	-71.6561584472656
3	595664.0624999999990	1176.7635498046875	-66.2186203002930
4	501210.9374999999990	1319.1553955078125	-60.3145599365234
5	421757.8124999999990	1457.3646240234375	-54.1008071899414
6	354960.9374999999990	1563.1602783203125	-48.1364288330078
7	298710.9374999999990	2419.1394042968750	-53.6980590820312
8	251367.1875000000000	2608.1723632812500	-47.3435211181641
9	211523.4375000000000	2748.7163085937500	-41.2713699340820
10	178007.8125000000000	2878.9243164062500	-35.8483047485352
11	149648.4375000000000	2994.6267089843750	-30.9044418334961
12	125976.5625000000000	3025.3376464843750	-26.5422916412354
13	106054.6875000000000	3107.8881835937500	-22.8930206298828
14	89179.6874999999999	3120.2177734375000	-19.1309642791748
15	75117.1874999999999	3170.2529296875000	-16.3921413421631
16	63164.0624999999999	3194.8242187500000	-13.9396829605103
17	53320.3124999999999	3215.0854492187500	-12.1160793304443
18	44882.8124999999999	3238.3103027343750	-10.4805965423584
19	37617.1874999999999	3256.3627929687500	-8.9645767211914
20	31757.8125000000000	3262.0646972656250	-7.7162246704102
21	26835.9375000000000	10600.6894531250000	-10.1982145309448
22	22617.1875000000000	10570.7705078125000	-7.5141692161560
23	18867.1875000000000	10444.5771484375000	-4.9979038238525
24	15663.1093750000000	10387.9462890625000	-3.1051735877991
25	13476.5625000000000	10271.4707031250000	-1.7455589771271
26	11089.9394531250000	10156.2285156250000	-0.3450660705566
27	9492.1875000000000	10057.9687500000000	0.7729544043541
28	7888.7197265625000	9926.5263671875000	1.7830581665039
29	6745.4267578125000	9803.1552734375000	2.2135548591614
30	5602.1342773437500	9713.2324218750000	2.9554028511047
31	4687.5000000000000	9548.5126953125000	3.6046283245087
32	4001.5244140625000	9454.9189453125000	3.9875931739807
33	3315.5488281250000	9339.9248046875000	4.3689637184143
34	2790.1784667968750	9240.3027343750000	4.6648635864258
35	2343.7500000000000	9142.6523437500000	4.9602489471436
36	1979.1666259765625	9058.2470703125000	5.2476944923401
37	1674.1071777343750	8973.4667968750000	5.5509176254272
38	1417.1511230468750	8893.3339843750000	5.8555102348328
39	1199.1279296875000	8821.5976562500000	6.2298707962036
40	1004.4642944335937	8734.9052734375000	6.6968946456909
