IMPEDANCE MEASUREMENT 
4/18/2023-10:12 AM
Chamber temperature (K): 296.05
Chamber pressure (MPa): 0.17
Description: 	1e-2molal_NaCl_chiller
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	268.7449645996094	-20.9863929748535
1	841523.4374999999990	267.5429992675781	-23.2324924468994
2	708164.0624999999990	264.6126403808594	-19.7980213165283
3	595664.0624999999990	264.3638000488281	-18.1857185363770
4	501210.9374999999990	271.7573547363281	-15.1431093215942
5	421757.8124999999990	274.2426452636719	-12.3355045318604
6	354960.9374999999990	273.9975585937500	-9.9153232574463
7	298710.9374999999990	259.3913269042969	-22.1831321716309
8	251367.1875000000000	261.7239074707031	-18.9669628143311
9	211523.4375000000000	263.8217468261719	-16.2267742156982
10	178007.8125000000000	265.4046020507812	-13.8889532089233
11	149648.4375000000000	266.7763061523437	-11.8285770416260
12	125976.5625000000000	268.3880004882812	-10.1522293090820
13	106054.6875000000000	268.5657348632812	-8.6498546600342
14	89179.6874999999999	268.3651428222656	-7.3616752624512
15	75117.1874999999999	269.0759277343750	-6.3171153068542
16	63164.0624999999999	269.7598876953125	-5.4325480461121
17	53320.3124999999999	270.3852233886719	-4.6825833320618
18	44882.8124999999999	270.9638366699219	-4.0382461547852
19	37617.1874999999999	271.3586120605469	-3.5037188529968
20	31757.8125000000000	271.7646179199219	-3.0677566528320
21	26835.9375000000000	271.9418334960937	-2.7083158493042
22	22617.1875000000000	272.2959899902344	-2.4159898757935
23	18867.1875000000000	272.2980041503906	-2.1614847183228
24	15663.1093750000000	272.6575927734375	-1.9899522066116
25	13476.5625000000000	272.8411865234375	-1.8782422542572
26	11089.9394531250000	272.9798583984375	-1.7952839136124
27	9492.1875000000000	273.3453979492187	-1.7655539512634
28	7888.7197265625000	273.6160583496094	-1.7918648719788
29	6745.4267578125000	273.7540283203125	-1.8381572961807
30	5602.1342773437500	274.2093505859375	-1.9274243116379
31	4687.5000000000000	274.5764465332031	-2.0829071998596
32	4001.5244140625000	274.8729248046875	-2.2530012130737
33	3315.5488281250000	275.3081665039062	-2.5080759525299
34	2790.1784667968750	275.9415893554687	-2.7920734882355
35	2343.7500000000000	276.5662841796875	-3.1395287513733
36	1979.1666259765625	277.3926391601562	-3.5366759300232
37	1674.1071777343750	278.1041259765625	-4.0012698173523
38	1417.1511230468750	279.1126403808594	-4.5279006958008
39	1199.1279296875000	280.2423706054687	-5.1391015052795
40	1004.4642944335937	282.5530090332031	-5.8742370605469
