IMPEDANCE MEASUREMENT 
4/18/2023-10:12 AM
Chamber temperature (K): 296.05
Chamber pressure (MPa): -1.31
Description: 	1e-2molal_NaCl_chiller
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	270.2654113769531	-21.0229930877686
1	841523.4374999999990	269.7437133789062	-23.1134319305420
2	708164.0624999999990	264.4250488281250	-19.7659950256348
3	595664.0624999999990	264.9668273925781	-18.2245750427246
4	501210.9374999999990	271.7449645996094	-15.2707347869873
5	421757.8124999999990	274.2517700195312	-12.3529806137085
6	354960.9374999999990	274.7904663085937	-10.0326604843140
7	298710.9374999999990	259.4049377441406	-22.2703552246094
8	251367.1875000000000	261.3633728027344	-18.9514522552490
9	211523.4375000000000	263.5664367675781	-16.2617816925049
10	178007.8125000000000	265.1051330566406	-13.8810768127441
11	149648.4375000000000	266.8707275390625	-11.8068342208862
12	125976.5625000000000	269.0733032226562	-9.9470701217651
13	106054.6875000000000	269.1059570312500	-8.7202911376953
14	89179.6874999999999	269.1971740722656	-7.2975783348083
15	75117.1874999999999	269.8532714843750	-6.2710876464844
16	63164.0624999999999	270.2373352050781	-5.4057445526123
17	53320.3124999999999	270.7716674804687	-4.6720952987671
18	44882.8124999999999	271.2469177246094	-4.0335440635681
19	37617.1874999999999	271.5100708007812	-3.4895501136780
20	31757.8125000000000	271.9147949218750	-3.0442659854889
21	26835.9375000000000	272.1278686523437	-2.7101981639862
22	22617.1875000000000	272.3279113769531	-2.4117548465729
23	18867.1875000000000	272.7801818847656	-2.1676609516144
24	15663.1093750000000	272.7185058593750	-1.9819253683090
25	13476.5625000000000	273.1644592285156	-1.8726756572723
26	11089.9394531250000	273.2747802734375	-1.7977064847946
27	9492.1875000000000	273.5421752929687	-1.7651102542877
28	7888.7197265625000	273.8019104003906	-1.7793766260147
29	6745.4267578125000	274.0271911621094	-1.8326301574707
30	5602.1342773437500	274.2444458007812	-1.9340552091599
31	4687.5000000000000	274.7044067382812	-2.0816442966461
32	4001.5244140625000	275.0552673339844	-2.2485301494598
33	3315.5488281250000	275.4683532714844	-2.5062546730042
34	2790.1784667968750	276.2188415527344	-2.7930836677551
35	2343.7500000000000	276.7779541015625	-3.1393964290619
36	1979.1666259765625	277.5759582519531	-3.5360388755798
37	1674.1071777343750	278.3414306640625	-3.9973757266998
38	1417.1511230468750	279.3767395019531	-4.5209784507751
39	1199.1279296875000	280.5808105468750	-5.1313982009888
40	1004.4642944335937	282.3478088378906	-5.8680682182312
