IMPEDANCE MEASUREMENT 
4/19/2023-12:10 PM
Chamber temperature (K): 295.02
Chamber pressure (MPa): 0.15
Description: 	1e-1molal_NaCl_chiller
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	42.6376457214355	1.1741967201233
1	841523.4374999999990	43.5798683166504	-2.2659420967102
2	708164.0624999999990	42.5149307250977	-2.1078975200653
3	595664.0624999999990	41.7760009765625	-1.8548793792725
4	501210.9374999999990	41.2519531250000	-1.6160316467285
5	421757.8124999999990	40.9012451171875	-1.4275962114334
6	354960.9374999999990	40.6590080261230	-1.2571387290955
7	298710.9374999999990	40.4850082397461	-1.1521565914154
8	251367.1875000000000	40.3416824340820	-1.0558704137802
9	211523.4375000000000	40.2646331787109	-0.9866105914116
10	178007.8125000000000	40.2308540344238	-0.9364425539970
11	149648.4375000000000	40.1930236816406	-0.9183561801910
12	125976.5625000000000	40.1817245483398	-0.9531686306000
13	106054.6875000000000	40.1659736633301	-0.9876849055290
14	89179.6874999999999	40.1974945068359	-0.9515861868858
15	75117.1874999999999	40.2108612060547	-1.0295962095261
16	63164.0624999999999	40.2355346679687	-1.1271620988846
17	53320.3124999999999	40.2649765014648	-1.2476401329041
18	44882.8124999999999	40.3051719665527	-1.3959476947784
19	37617.1874999999999	40.3472175598145	-1.5686358213425
20	31757.8125000000000	40.3992996215820	-1.7725806236267
21	26835.9375000000000	40.4502334594727	-2.0005095005035
22	22617.1875000000000	40.5275001525879	-2.2716474533081
23	18867.1875000000000	40.6131515502930	-2.6153221130371
24	15663.1093750000000	40.7238616943359	-3.0137825012207
25	13476.5625000000000	40.8143692016602	-3.3766553401947
26	11089.9394531250000	40.9740715026855	-3.9309580326080
27	9492.1875000000000	41.1139984130859	-4.4391660690308
28	7888.7197265625000	41.3229370117187	-5.1214694976807
29	6745.4267578125000	41.5223770141602	-5.7808032035828
30	5602.1342773437500	41.8104553222656	-6.6581640243530
31	4687.5000000000000	42.1241683959961	-7.6263999938965
32	4001.5244140625000	42.4647827148437	-8.5912141799927
33	3315.5488281250000	42.9434432983398	-9.8839282989502
34	2790.1784667968750	43.4691543579102	-11.2238550186157
35	2343.7500000000000	44.1009063720703	-12.7377347946167
36	1979.1666259765625	44.8263549804687	-14.3783845901489
37	1674.1071777343750	45.6767539978027	-16.1803874969482
38	1417.1511230468750	46.6791572570801	-18.1646289825439
39	1199.1279296875000	47.8760719299316	-20.3583469390869
40	1004.4642944335937	49.4011421203613	-22.9262313842773
