IMPEDANCE MEASUREMENT 
4/19/2023-12:25 PM
Chamber temperature (K): 294.02
Chamber pressure (MPa): -0.71
Description: 	1e-1molal_NaCl_chiller
Driving voltage (V): 1.000E-2
Start freq (Hz): 1.000E+6
Stop freq (Hz): 1.000E+3
# freq steps: 40
Index #	Frequency (Hz)	Impedance (ohm)	Phase (degrees)
0	1000195.3125000000000	43.5020027160645	0.9856212735176
1	841523.4374999999990	44.4940795898437	-2.3771700859070
2	708164.0624999999990	43.3750915527344	-2.1707673072815
3	595664.0624999999990	42.6589775085449	-1.9374555349350
4	501210.9374999999990	42.1476211547852	-1.6677552461624
5	421757.8124999999990	41.7809486389160	-1.5030869245529
6	354960.9374999999990	41.5078735351562	-1.3321396112442
7	298710.9374999999990	41.3382301330566	-1.2086977958679
8	251367.1875000000000	41.2170600891113	-1.1072891950607
9	211523.4375000000000	41.1266250610352	-1.0350266695023
10	178007.8125000000000	41.0933151245117	-0.9906969666481
11	149648.4375000000000	41.0519599914551	-0.9514781236649
12	125976.5625000000000	40.9964714050293	-0.9621579647064
13	106054.6875000000000	41.0076980590820	-1.0022288560867
14	89179.6874999999999	41.0615081787109	-0.9649615883827
15	75117.1874999999999	41.0766792297363	-1.0405569076538
16	63164.0624999999999	41.1001777648926	-1.1375039815903
17	53320.3124999999999	41.1304588317871	-1.2510448694229
18	44882.8124999999999	41.1651268005371	-1.3912658691406
19	37617.1874999999999	41.2102088928223	-1.5740165710449
20	31757.8125000000000	41.2603645324707	-1.7734555006027
21	26835.9375000000000	41.3222351074219	-2.0051214694977
22	22617.1875000000000	41.3933715820312	-2.2750928401947
23	18867.1875000000000	41.4822616577148	-2.6097636222839
24	15663.1093750000000	41.5957527160645	-3.0023739337921
25	13476.5625000000000	41.6910438537598	-3.3829567432404
26	11089.9394531250000	41.8502388000488	-3.9316191673279
27	9492.1875000000000	41.9969596862793	-4.4331970214844
28	7888.7197265625000	42.2046813964844	-5.1184315681458
29	6745.4267578125000	42.4093132019043	-5.7667641639709
30	5602.1342773437500	42.7013511657715	-6.6477212905884
31	4687.5000000000000	43.0281486511230	-7.6145730018616
32	4001.5244140625000	43.3772697448730	-8.5782670974731
33	3315.5488281250000	43.8677062988281	-9.8639354705811
34	2790.1784667968750	44.4061927795410	-11.1994190216064
35	2343.7500000000000	45.0514450073242	-12.7040863037109
36	1979.1666259765625	45.7902107238770	-14.3385257720947
37	1674.1071777343750	46.6593399047852	-16.1285552978516
38	1417.1511230468750	47.6817932128906	-18.1007041931152
39	1199.1279296875000	48.8991012573242	-20.2834091186523
40	1004.4642944335937	50.4484901428223	-22.8338317871094
