Timestamp                   	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
4:55:35.685 PM 7/11/2023 	 0.939658 	 1.965510 	 295.980610 	 295.782452 	 296.171291 	 295.723450 	 295.952598 	 295.659438
4:55:45.685 PM 7/11/2023 	 1.050446 	 2.020502 	 295.979844 	 295.781072 	 296.167522 	 295.707910 	 295.947416 	 295.602941
4:55:56.185 PM 7/11/2023 	 1.274183 	 2.167665 	 295.979384 	 295.780459 	 296.161816 	 295.709729 	 295.943118 	 295.664073
4:56:06.185 PM 7/11/2023 	 1.135800 	 2.416778 	 295.978771 	 295.781839 	 296.150568 	 295.727651 	 295.936570 	 295.835416
4:56:16.685 PM 7/11/2023 	 0.880497 	 2.284368 	 295.979844 	 295.785518 	 296.181004 	 295.699284 	 295.960904 	 295.833406
4:56:27.185 PM 7/11/2023 	 1.124153 	 1.874143 	 295.979384 	 295.785977 	 296.181184 	 295.720644 	 295.950735 	 295.728645
4:56:37.186 PM 7/11/2023 	 1.059343 	 1.495159 	 295.979691 	 295.784138 	 296.169422 	 295.716872 	 295.954491 	 295.740874
4:56:47.685 PM 7/11/2023 	 1.005262 	 1.777037 	 295.979691 	 295.782605 	 296.178265 	 295.737960 	 295.964279 	 295.738901
4:56:57.686 PM 7/11/2023 	 1.367009 	 1.975970 	 295.980457 	 295.783831 	 296.184445 	 295.735675 	 295.965288 	 295.701788
4:57:08.185 PM 7/11/2023 	 1.446038 	 2.310749 	 295.979691 	 295.783985 	 296.178679 	 295.714842 	 295.949640 	 295.648005
4:57:18.185 PM 7/11/2023 	 1.419368 	 1.462144 	 295.976779 	 295.781532 	 296.195192 	 295.729489 	 295.961928 	 295.620288
4:57:28.686 PM 7/11/2023 	 1.157383 	 1.844442 	 295.972948 	 295.781685 	 296.172733 	 295.703713 	 295.959686 	 295.618515
