Timestamp                   	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 Rraw (Ohm)	RTD1 Rraw (Ohm)	DAQ thermistor T (K)
4:55:35.685 PM 7/11/2023 	 4.007247 	 297.647000 	 44.546000 	 -75.478817 	 4.020859 	 297.647000 	 44.546000 	 -75.478817 	 108.933560 	 108.848267 	 301.054501
4:55:45.685 PM 7/11/2023 	 4.008514 	 297.647000 	 44.546000 	 -75.709668 	 4.021478 	 297.647000 	 44.546000 	 -75.709668 	 108.933262 	 108.847731 	 301.056824
4:55:56.185 PM 7/11/2023 	 4.011094 	 297.647000 	 44.546000 	 -75.901118 	 4.023168 	 297.647000 	 44.546000 	 -75.901118 	 108.933084 	 108.847493 	 301.058625
4:56:06.185 PM 7/11/2023 	 4.009465 	 297.647000 	 44.546000 	 -76.192821 	 4.026033 	 297.647000 	 44.546000 	 -76.192821 	 108.932845 	 108.848029 	 301.060060
4:56:16.685 PM 7/11/2023 	 4.006590 	 297.647000 	 44.546000 	 -75.108841 	 4.024584 	 297.647000 	 44.546000 	 -75.108841 	 108.933262 	 108.849459 	 301.060399
4:56:27.185 PM 7/11/2023 	 4.009381 	 297.647000 	 44.546000 	 -75.561806 	 4.019793 	 297.647000 	 44.546000 	 -75.561806 	 108.933084 	 108.849637 	 301.060112
4:56:37.186 PM 7/11/2023 	 4.008642 	 297.647000 	 44.546000 	 -75.394501 	 4.015414 	 297.647000 	 44.546000 	 -75.394501 	 108.933203 	 108.848923 	 301.059173
4:56:47.685 PM 7/11/2023 	 4.008050 	 297.647000 	 44.546000 	 -74.958472 	 4.018716 	 297.647000 	 44.546000 	 -74.958472 	 108.933203 	 108.848327 	 301.057685
4:56:57.686 PM 7/11/2023 	 4.012250 	 297.647000 	 44.546000 	 -74.913543 	 4.021025 	 297.647000 	 44.546000 	 -74.913543 	 108.933501 	 108.848803 	 301.056354
4:57:08.185 PM 7/11/2023 	 4.013111 	 297.647000 	 44.546000 	 -75.610581 	 4.024850 	 297.647000 	 44.546000 	 -75.610581 	 108.933203 	 108.848863 	 301.053901
4:57:18.185 PM 7/11/2023 	 4.012845 	 297.647000 	 44.546000 	 -75.063217 	 4.015057 	 297.647000 	 44.546000 	 -75.063217 	 108.932071 	 108.847910 	 301.051161
